"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial"
"28",40,4,-0.0157007188658101,4,28,0.013390373,"High Temp",80,"day",2,10
"29",41,4,-0.0161481189232821,4,29,0.012948312,"High Temp",80,"day ",2,10
"30",42,4,-0.0187094384963557,4,30,0.010412041,"High Temp",80,"day",2,10
"31",43,4,-0.0180286819950075,4,31,0.01108503,"High Temp",80,"day ",2,10
"32",44,4,-0.0159539047142418,4,32,0.013139177,"High Temp",80,"day",2,10
"33",45,4,-0.011802316194164,4,33,0.017249206,"High Temp",80,"day ",2,10
"34",46,4,-0.00960589454324435,4,34,0.01942261,"High Temp",80,"day",2,10
"35",47,4,-0.0103032895139015,4,35,0.01873247,"High Temp",80,"day ",2,10
"36",48,4,-0.0101389429672605,4,36,0.018898799,"High Temp",80,"day",2,10
"37",49,4,-0.0285197843699849,4,37,0.000714961,"High Temp",80,"night ",2,10
"38",50,4,-0.024949041692634,4,38,0.004250857,"High Temp",80,"night ",2,10
"39",51,4,-0.0249473596419486,4,39,0.00425266,"High Temp",80,"night ",2,10
"40",52,4,-0.0257958196793052,4,40,0.003410991,"High Temp",80,"night ",2,10
"41",53,4,-0.0252960141950635,4,41,0.003906611,"High Temp",80,"night ",2,10
"42",54,4,-0.0253133775682986,4,42,0.003892957,"High Temp",80,"night ",2,10
"43",55,4,-0.0241345612201537,4,43,0.005056137,"High Temp",80,"night ",2,10
"44",56,4,-0.0234531194388968,4,44,0.005733904,"High Temp",80,"night ",2,10
"45",57,4,-0.0286023768797813,4,45,0.000632689,"High Temp",80,"night ",2,10
"46",58,4,-0.0291330237017738,4,46,0.000109566,"High Temp",80,"night ",2,10
"47",59,4,-0.0299171584712565,4,47,-0.000666791,"High Temp",80,"night ",2,10
"48",60,4,-0.0278281382272024,4,48,0.001405973,"High Temp",80,"night ",2,10
"49",61,4,-0.0088285241560303,4,49,0.020199203,"High Temp",80,"day ",3,10
"50",62,4,-0.0111722048120864,4,50,0.017878721,"High Temp",80,"day",3,10
"51",63,4,-0.0064442092313166,4,51,0.022555545,"High Temp",80,"day ",3,10
"52",64,4,-0.00955183923087612,4,52,0.019477256,"High Temp",80,"day",3,10
"53",65,4,-0.00936118382358404,4,53,0.019665055,"High Temp",80,"day ",3,10
"54",67,4,-0.0133423433740739,4,55,0.015722715,"High Temp",80,"day ",3,10
"55",68,4,-0.0131677981654212,4,56,0.015897712,"High Temp",80,"day",3,10
"56",69,4,-0.0170488901223917,4,57,0.01205486,"High Temp",80,"day ",3,10
"57",70,4,-0.00989909061303722,4,58,0.019138435,"High Temp",80,"day",3,10
"58",71,4,-0.0133709059962936,4,59,0.015699732,"High Temp",80,"day ",3,10
"59",72,4,-0.010845816156492,4,60,0.01819935,"High Temp",80,"day",3,10
"60",73,4,-0.0282931848742278,4,61,0.000943254,"High Temp",80,"night",3,10
"61",74,4,-0.0248197844063775,4,62,0.004381613,"High Temp",80,"night",3,10
"62",75,4,-0.024866174986621,4,63,0.004334248,"High Temp",80,"night",3,10
"63",76,4,-0.0249831252860435,4,64,0.004216943,"High Temp",80,"night",3,10
"64",77,4,-0.0239090825959099,4,65,0.005281191,"High Temp",80,"night",3,10
"65",78,4,-0.023682095756179,4,66,0.005506706,"High Temp",80,"night",3,10
"66",79,4,-0.0255814209116037,4,67,0.003624557,"High Temp",80,"night",3,10
