"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial"
"55",67,2,-0.0162168926398594,55,0.011316177,"High Temp",67,"day ",3,10
"56",68,2,-0.0144948329642281,56,0.013023465,"High Temp",67,"day",3,10
"57",69,2,-0.0159258590858541,57,0.011604363,"High Temp",67,"day ",3,10
"58",70,2,-0.0144125238590975,58,0.013106905,"High Temp",67,"day",3,10
"59",71,2,-0.0136294977648265,59,0.013880595,"High Temp",67,"day ",3,10
"60",72,2,-0.0144407333780096,60,0.013080957,"High Temp",67,"day",3,10
"61",73,2,-0.0368653827340438,61,-0.009124032,"High Temp",67,"night",3,10
"62",74,2,-0.0292494816776907,62,-0.001576965,"High Temp",67,"night",3,10
"63",75,2,-0.0314077206192728,63,-0.003716594,"High Temp",67,"night",3,10
"64",76,2,-0.0314480597254979,64,-0.003760115,"High Temp",67,"night",3,10
"65",77,2,-0.0302947866159631,65,-0.002614223,"High Temp",67,"night",3,10
"66",78,2,-0.0296103850041961,66,-0.001937044,"High Temp",67,"night",3,10
"67",79,2,-0.0282060762747049,67,-0.000546003,"High Temp",67,"night",3,10
