"","X","AutoResp.Cycle.Loop","Chamber","MO2.no.Background.Correction","Hour","Treatment","Time.of.Day","Day","MO2","Genotype","Trial"
"29",29,41,1,0.000717498703019499,29,50,"day",2,0.012330025,50,4
"30",30,42,1,0.00956559414251222,30,50,"day",2,0.021535296,50,4
"31",31,43,1,-0.00346386895288831,31,50,"day",2,0.007967404,50,4
"32",32,44,1,9.21408794197924e-05,32,50,"day",2,0.011672047,50,4
"33",33,45,1,-0.000779581218189092,33,50,"day",2,0.01077189,50,4
"34",34,46,1,0.000405296626888096,34,50,"day",2,0.012000783,50,4
"35",35,47,1,0.00232165534543826,35,50,"day",2,0.013998314,50,4
"36",36,48,1,-0.00061655967712607,36,50,"day",2,0.010940175,50,4
"37",37,49,1,-0.0109966484009432,37,50,"night",2,0.000151246,50,4
"38",38,50,1,-0.0107941014534714,38,50,"night",2,0.000361537,50,4
"39",39,51,1,-0.01308478116935,39,50,"night",2,-0.002030524,50,4
"40",40,52,1,-0.0181008555367983,40,50,"night",2,-0.007243494,50,4
"41",41,53,1,-0.019136790284212,41,50,"night",2,-0.008322369,50,4
"42",42,54,1,-0.0160329311504375,42,50,"night",2,-0.005089905,50,4
"43",43,55,1,-0.0180163742565295,43,50,"night",2,-0.007155906,50,4
"44",44,56,1,-0.0147965584369488,44,50,"night",2,-0.00380426,50,4
"45",45,57,1,-0.0170453003351847,45,50,"night",2,-0.006145713,50,4
"46",46,58,1,-0.0138384174532363,46,50,"night",2,-0.002805368,50,4
"47",47,59,1,-0.0173659656327474,47,50,"night",2,-0.006478818,50,4
"48",48,60,1,-0.0145375274508916,48,50,"night",2,-0.003533692,50,4
"49",49,61,1,0.00169992686267674,49,50,"day",3,0.01335327,50,4
"50",50,62,1,0.0040418899171877,50,50,"day",3,0.015785466,50,4
"51",51,63,1,-0.00542826304753305,51,50,"day",3,0.005927206,50,4
"52",52,64,1,0.00198144591098211,52,50,"day",3,0.013647462,50,4
"53",53,65,1,-0.00013612231072524,53,50,"day",3,0.011441022,50,4
"54",54,66,1,0.0101867900873416,54,50,"day",3,0.022177716,50,4
"55",55,67,1,0.000908563765496663,55,50,"day",3,0.012525065,50,4
"56",56,68,1,0.00933980751664397,56,50,"day",3,0.021300398,50,4
"57",57,69,1,0.00170938482935727,57,50,"day",3,0.013361973,50,4
"58",58,70,1,0.00276171191995632,58,50,"day",3,0.014449727,50,4
"59",59,71,1,0.00374865945932755,59,50,"day",3,0.015482494,50,4
"60",60,72,1,-0.000634197876916395,60,50,"day",3,0.010917469,50,4
"61",61,73,1,-0.0299576059705666,61,50,"night",3,-0.019583546,50,4
"62",62,74,1,-0.0300883034534775,62,50,"night",3,-0.019719053,50,4
"63",63,75,1,-0.0253512381486993,63,50,"night",3,-0.014787761,50,4
"64",64,76,1,-0.0290170874650708,64,50,"night",3,-0.018605035,50,4
"65",65,77,1,-0.0257941837965926,65,50,"night",3,-0.015248267,50,4
"66",66,78,1,-0.028314123964011,66,50,"night",3,-0.017871136,50,4
"67",67,79,1,-0.0277628776027421,67,50,"night",3,-0.017300321,50,4
"68",68,80,1,-0.0260919483839872,68,50,"night",3,-0.015558733,50,4
"69",69,81,1,-0.0259692672029459,69,50,"night",3,-0.015433727,50,4
"70",70,82,1,-0.0240177330603507,70,50,"night",3,-0.013400279,50,4
"71",71,83,1,-0.0255325405826149,71,50,"night",3,-0.014979171,50,4
"72",1,13,2,-0.00443908819019584,1,29,"day",1,0.013660191,50,4
"73",2,14,2,-0.00536498104311936,2,29,"day",1,0.012695658,50,4
"74",3,15,2,-0.0104293175642347,3,29,"day",1,0.007419795,50,4
"75",4,16,2,0.013151545753604,4,29,"day",1,0.031954235,50,4
"76",5,17,2,0.00252320983828102,5,29,"day",1,0.020905327,50,4
"77",6,18,2,0.0174434479998267,6,29,"day",1,0.036425069,50,4
"78",7,19,2,-0.000148873537766602,7,29,"day",1,0.018118556,50,4
"79",8,20,2,0.00578833676797063,8,29,"day",1,0.024301493,50,4
"80",9,21,2,0.00790948350589316,9,29,"day",1,0.026498306,50,4
"81",10,22,2,0.0163357739968624,10,29,"day",1,0.035272412,50,4
"82",11,23,2,-0.00436613842307205,11,29,"day",1,0.013725055,50,4
"83",12,24,2,0.00194015113680139,12,29,"day",1,0.020292858,50,4
"84",13,25,2,-0.0219411409072981,13,29,"night",1,-0.004543062,50,4
"85",14,26,2,-0.00951376133099761,14,29,"night",1,0.008385655,50,4
"86",15,27,2,-0.010937569438185,15,29,"night",1,0.006905897,50,4
"87",16,28,2,-0.00848647790182877,16,29,"night",1,0.0094538,50,4
"88",17,29,2,-0.00869153792342267,17,29,"night",1,0.00924023,50,4
"89",18,30,2,-0.00894360889149396,18,29,"night",1,0.008977869,50,4
"90",19,31,2,-0.0064746069905599,19,29,"night",1,0.011547432,50,4
"91",20,32,2,-0.0091990270270932,20,29,"night",1,0.00871139,50,4
"92",21,33,2,-0.00586108827656932,21,29,"night",1,0.012185777,50,4
"93",22,34,2,-0.0100189496305785,22,29,"night",1,0.007857846,50,4
"94",23,35,2,-0.00553594081387947,23,29,"night",1,0.012523513,50,4
"95",24,36,2,-0.0109140016064028,24,29,"night",1,0.006925984,50,4
"96",25,37,2,0.00645483710641657,25,29,"day",2,0.02499433,50,4
"97",26,38,2,-0.00422907599555317,26,29,"day",2,0.013876,50,4
"98",27,39,2,0.00149963293704425,27,29,"day",2,0.019834495,50,4
"99",28,40,2,-3.82980362850818e-05,28,29,"day",2,0.018234879,50,4
"100",29,41,2,-0.00118618568906863,29,29,"day",2,0.017043607,50,4
"101",30,42,2,0.00387671931395363,30,29,"day",2,0.022308191,50,4
"102",31,43,2,-0.00360120715184475,31,29,"day",2,0.01452461,50,4
"103",32,44,2,-0.00186237612157507,32,29,"day",2,0.016333305,50,4
"104",33,45,2,0.00157304583392735,33,29,"day",2,0.019915007,50,4
"105",34,46,2,-0.00246216509617187,34,29,"day",2,0.015709566,50,4
"106",35,47,2,0.00074313916808318,35,29,"day",2,0.019052417,50,4
"107",36,48,2,-0.00211572969395762,36,29,"day",2,0.016074667,50,4
"108",37,49,2,-0.0128355717101559,37,29,"night",2,0.00493168,50,4
"109",38,50,2,-0.0206504851459023,38,29,"night",2,-0.00320004,50,4
"110",39,51,2,-0.0183703897650985,39,29,"night",2,-0.0008283,50,4
"111",40,52,2,-0.0227381654858679,40,29,"night",2,-0.005373106,50,4
"112",41,53,2,-0.0235790376341554,41,29,"night",2,-0.006251918,50,4
"113",42,54,2,-0.0207980245806068,42,29,"night",2,-0.00335479,50,4
"114",43,55,2,-0.0229178604608077,43,29,"night",2,-0.005564407,50,4
"115",44,56,2,-0.018809228322943,44,29,"night",2,-0.001285354,50,4
"116",45,57,2,-0.0217584750162507,45,29,"night",2,-0.004357325,50,4
"117",46,58,2,-0.0188149958240773,46,29,"night",2,-0.001291243,50,4
"118",47,59,2,-0.0227134850369387,47,29,"night",2,-0.00534894,50,4
"119",48,60,2,-0.0183168289098298,48,29,"night",2,-0.000772538,50,4
"120",49,61,2,-0.00155817928069193,49,29,"day",3,0.016659108,50,4
"121",50,62,2,0.0018068875005745,50,29,"day",3,0.020157279,50,4
"122",51,63,2,-0.00191158754920008,51,29,"day",3,0.016281253,50,4
"123",52,64,2,0.000745467040878489,52,29,"day",3,0.019048339,50,4
"124",53,65,2,-0.00442810464998171,53,29,"day",3,0.013666388,50,4
"125",54,66,2,0.00347246379202907,54,29,"day",3,0.021885592,50,4
"126",55,67,2,-0.00236108153792648,55,29,"day",3,0.015819622,50,4
"127",56,68,2,0.00124274370344759,56,29,"day",3,0.019569176,50,4
"128",57,69,2,-0.00164901623885262,57,29,"day",3,0.016561536,50,4
"129",58,70,2,-0.00101191748703198,58,29,"day",3,0.017218663,50,4
"130",59,71,2,0.000457241203095961,59,29,"day",3,0.018751237,50,4
"131",60,72,2,-0.00434112386948741,60,29,"day",3,0.013753788,50,4
"132",61,73,2,-0.0260800434510827,61,29,"night",3,-0.008852218,50,4
"133",62,74,2,-0.0275966909544549,62,29,"night",3,-0.010431819,50,4
"134",63,75,2,-0.021411990628295,63,29,"night",3,-0.003992947,50,4
"135",64,76,2,-0.0275423476735791,64,29,"night",3,-0.010374353,50,4
"136",65,77,2,-0.0234269836132121,65,29,"night",3,-0.006090844,50,4
"137",66,78,2,-0.026124699958661,66,29,"night",3,-0.008898896,50,4
"138",67,79,2,-0.0252145003315028,67,29,"night",3,-0.007953099,50,4
"139",68,80,2,-0.0244853422037953,68,29,"night",3,-0.007192659,50,4
"140",69,81,2,-0.0231654623640178,69,29,"night",3,-0.005819364,50,4
"141",70,82,2,-0.020740215087338,70,29,"night",3,-0.003293015,50,4
"142",71,83,2,-0.0220942588647981,71,29,"night",3,-0.00470658,50,4
"143",1,13,3,0.00857937494822324,1,15,"day",1,0.021763355,50,4
"144",2,14,3,0.00696511572813102,2,15,"day",1,0.02007683,50,4
"145",3,15,3,0.00596957667946233,3,15,"day",1,0.019037082,50,4
"146",4,16,3,0.0066476361081429,4,15,"day",1,0.019746489,50,4
"147",5,17,3,0.00443777397891158,5,15,"day",1,0.017434104,50,4
"148",6,18,3,7.51306651418188e-05,6,15,"day",1,0.01291006,50,4
"149",7,19,3,-0.00180319789395976,7,15,"day",1,0.010951443,50,4
"150",8,20,3,-0.00173815093434471,8,15,"day",1,0.011019514,50,4
"151",9,21,3,-0.00102472327589386,9,15,"day",1,0.011758313,50,4
"152",10,22,3,0.00388594715112393,10,15,"day",1,0.016869818,50,4
"153",11,23,3,0.000370526159854835,11,15,"day",1,0.013211495,50,4
"154",12,24,3,0.00148557496105002,12,15,"day",1,0.014373857,50,4
"155",13,25,3,-0.0223864137635915,13,15,"night",1,-0.010457349,50,4
"156",14,26,3,-0.0268305260524701,14,15,"night",1,-0.015084784,50,4
"157",15,27,3,-0.0270054305547632,15,15,"night",1,-0.015264465,50,4
"158",16,28,3,-0.0288628269123287,16,15,"night",1,-0.017197625,50,4
"159",17,29,3,-0.0302541086406545,17,15,"night",1,-0.018644873,50,4
"160",18,30,3,-0.0272293171686551,18,15,"night",1,-0.015499532,50,4
"161",19,31,3,-0.0260937380994682,19,15,"night",1,-0.014316385,50,4
"162",20,32,3,-0.0285773868796047,20,15,"night",1,-0.016900685,50,4
"163",21,33,3,-0.0277204231034392,21,15,"night",1,-0.016007582,50,4
"164",22,34,3,-0.0277096481860059,22,15,"night",1,-0.015995646,50,4
"165",23,35,3,-0.026774323841259,23,15,"night",1,-0.015024796,50,4
"166",24,36,3,-0.0259678293557935,24,15,"night",1,-0.014186733,50,4
"167",25,37,3,-0.00829539541563901,25,15,"day",2,0.00420048,50,4
"168",26,38,3,-0.00333375815835918,26,15,"day",2,0.009362907,50,4
"169",27,39,3,-0.00208275483129879,27,15,"day",2,0.010663847,50,4
"170",28,40,3,-0.00187868534215587,28,15,"day",2,0.010877763,50,4
"171",29,41,3,-0.00393421283266238,29,15,"day",2,0.008739028,50,4
"172",30,42,3,-0.00624742614405836,30,15,"day",2,0.006323974,50,4
"173",31,43,3,-0.00377342830517392,31,15,"day",2,0.008904529,50,4
"174",32,44,3,-0.00177141433246224,32,15,"day",2,0.010987019,50,4
"175",33,45,3,-0.00187210845922953,33,15,"day",2,0.010883177,50,4
"176",34,46,3,-0.00118741046694056,34,15,"day",2,0.011592746,50,4
"177",35,47,3,-0.0018095568666669,35,15,"day",2,0.0109472,50,4
"178",36,48,3,-0.000600180080902187,36,15,"day",2,0.012205824,50,4
"179",37,49,3,-0.0107975252965754,37,15,"night",2,0.001604714,50,4
"180",38,50,3,-0.010564718933338,38,15,"night",2,0.001846989,50,4
"181",39,51,3,-0.0190588271716914,39,15,"night",2,-0.007002494,50,4
"182",40,52,3,-0.02199826411237,40,15,"night",2,-0.010048397,50,4
"183",41,53,3,-0.0228034977285981,41,15,"night",2,-0.010887537,50,4
"184",42,54,3,-0.0218729725791599,42,15,"night",2,-0.009921271,50,4
"185",43,55,3,-0.0218783287073962,43,15,"night",2,-0.009927931,50,4
"186",44,56,3,-0.0196007205072684,44,15,"night",2,-0.007556376,50,4
"187",45,57,3,-0.0203748743253188,45,15,"night",2,-0.008363658,50,4
"188",46,58,3,-0.0192279765145984,46,15,"night",2,-0.007167674,50,4
"189",47,59,3,-0.0203914588172243,47,15,"night",2,-0.008379455,50,4
"190",48,60,3,-0.0208545006759554,48,15,"night",2,-0.008861535,50,4
"191",49,61,3,0.00177463256866154,49,15,"day",3,0.014677712,50,4
"192",50,62,3,-0.00180730710751584,50,15,"day",3,0.010950493,50,4
"193",51,63,3,-0.00382071582220288,51,15,"day",3,0.008848347,50,4
"194",52,64,3,-0.00138541504780605,52,15,"day",3,0.011389456,50,4
"195",53,65,3,-0.00204076773960286,53,15,"day",3,0.01070688,50,4
"196",54,66,3,-0.000787381854440759,54,15,"day",3,0.01201293,50,4
"197",55,67,3,-0.0012875256910019,55,15,"day",3,0.011493642,50,4
"198",56,68,3,-0.0138135567854586,56,15,"day",3,-0.001529129,50,4
"199",57,69,3,0.000828297732022401,57,15,"day",3,0.013695204,50,4
"200",58,70,3,7.08851351638874e-05,58,15,"day",3,0.012901272,50,4
"201",59,71,3,0.00321094211752911,59,15,"day",3,0.016171382,50,4
"202",60,72,3,-0.00293491155070346,60,15,"day",3,0.009773482,50,4
"203",61,73,3,-0.00860351158517055,61,15,"night",3,0.00388879,50,4
"204",62,74,3,-0.00773438633521033,62,15,"night",3,0.004790276,50,4
"205",63,75,3,-0.0100832319942485,63,15,"night",3,0.002351137,50,4
"206",64,76,3,-0.0120432741368601,64,15,"night",3,0.000311552,50,4
"207",65,77,3,-0.0107097163200383,65,15,"night",3,0.001699004,50,4
"208",66,78,3,-0.0119567553802623,66,15,"night",3,0.000402342,50,4
"209",67,79,3,-0.0108359526690565,67,15,"night",3,0.001565984,50,4
"210",68,80,3,-0.0109409254630705,68,15,"night",3,0.001457358,50,4
"211",69,81,3,-0.00984133298738823,69,15,"night",3,0.002599193,50,4
"212",70,82,3,-0.00887746863160221,70,15,"night",3,0.003604948,50,4
"213",71,83,3,-0.0100186613348212,71,15,"night",3,0.002413631,50,4
"214",1,13,4,0.00437552651324743,1,0,"day",1,0.017412585,50,4
"215",2,14,4,0.00127683502858571,2,0,"day",1,0.014191682,50,4
"216",3,15,4,-0.000512374318753838,3,0,"day",1,0.01233111,50,4
"217",4,16,4,0.000102062988142822,4,0,"day",1,0.012971712,50,4
"218",5,17,4,-0.000619128427380848,5,0,"day",1,0.0122191,50,4
"219",6,18,4,0.000870783610889376,6,0,"day",1,0.013771107,50,4
"220",7,19,4,-0.000318604562035804,7,0,"day",1,0.012529639,50,4
"221",8,20,4,-0.000459510335130341,8,0,"day",1,0.012385276,50,4
"222",9,21,4,0.01426592715099,9,0,"day",1,0.027682574,50,4
"223",10,22,4,0.0029470627837262,10,0,"day",1,0.015922686,50,4
"224",11,23,4,0.000759686906169854,11,0,"day",1,0.013650121,50,4
"225",12,24,4,0.0021662679746576,12,0,"day",1,0.015113525,50,4
"226",13,25,4,-0.0287196223082285,13,0,"night",1,-0.016965037,50,4
"227",14,26,4,-0.0247354646555466,14,0,"night",1,-0.012823275,50,4
"228",15,27,4,-0.0244129493467722,15,0,"night",1,-0.012486375,50,4
"229",16,28,4,-0.0262205982907025,16,0,"night",1,-0.01436854,50,4
"230",17,29,4,-0.0237146897487513,17,0,"night",1,-0.011764416,50,4
"231",18,30,4,-0.0245219644605932,18,0,"night",1,-0.012604358,50,4
"232",19,31,4,-0.0233679509251178,19,0,"night",1,-0.011406079,50,4
"233",20,32,4,-0.0236898291206077,20,0,"night",1,-0.011739835,50,4
"234",21,33,4,-0.0227014125732096,21,0,"night",1,-0.010710651,50,4
"235",22,34,4,-0.00734133513151819,22,0,"night",1,0.00524037,50,4
"236",23,35,4,-0.000211014939717069,23,0,"night",1,0.012644373,50,4
"237",24,36,4,0.000942908674682347,24,0,"night",1,0.013844817,50,4
"238",25,37,4,0.00171385828473034,25,0,"day",2,0.014647944,50,4
"239",26,38,4,0.00283745498233871,26,0,"day",2,0.015811515,50,4
"240",27,39,4,-0.00146751058397236,27,0,"day",2,0.011337685,50,4
"241",28,40,4,8.34777244010097e-05,28,0,"day",2,0.012950992,50,4
"242",29,41,4,-0.00128170902186866,29,0,"day",2,0.011533373,50,4
"243",30,42,4,0.00890472176281157,30,0,"day",2,0.022118641,50,4
"244",31,43,4,0.000994890971818072,31,0,"day",2,0.013886761,50,4
"245",32,44,4,0.00158419765558846,32,0,"day",2,0.014501752,50,4
"246",33,45,4,-0.000153829948903638,33,0,"day",2,0.012700453,50,4
"247",34,46,4,0.00172272877423099,34,0,"day",2,0.014648987,50,4
"248",35,47,4,-3.83140083800391e-05,35,0,"day",2,0.012823619,50,4
"249",36,48,4,0.0014160607893219,36,0,"day",2,0.014334392,50,4
"250",37,49,4,-0.0271041141661436,37,0,"night",2,-0.015287338,50,4
"251",38,50,4,-0.0238036843914304,38,0,"night",2,-0.011857217,50,4
"252",39,51,4,-0.028215700641907,39,0,"night",2,-0.016443121,50,4
"253",40,52,4,-0.0232766999301789,40,0,"night",2,-0.011307836,50,4
"254",41,53,4,-0.0256993654802438,41,0,"night",2,-0.013829332,50,4
"255",42,54,4,-0.0242109105413408,42,0,"night",2,-0.012280313,50,4
"256",43,55,4,-0.0257762519042193,43,0,"night",2,-0.013910108,50,4
"257",44,56,4,-0.00416019801816553,44,0,"night",2,0.008544381,50,4
"258",45,57,4,-0.00313827914913554,45,0,"night",2,0.009601611,50,4
"259",46,58,4,-0.0237899114918754,46,0,"night",2,-0.011842897,50,4
"260",47,59,4,-0.024299948076587,47,0,"night",2,-0.012373292,50,4
"261",48,60,4,-0.0233197001743534,48,0,"night",2,-0.011354907,50,4
"262",49,61,4,-0.00014875805437953,49,0,"day",3,0.012698156,50,4
"263",50,62,4,0.00473870736280117,50,0,"day",3,0.017788909,50,4
"264",51,63,4,-0.00117599431815864,51,0,"day",3,0.011633881,50,4
"265",52,64,4,-0.000206153603842613,52,0,"day",3,0.012648451,50,4
"266",53,65,4,-0.00223470832448723,53,0,"day",3,0.010526359,50,4
"267",54,66,4,-0.00158271328039948,54,0,"day",3,0.011211795,50,4
"268",55,67,4,0.00991789951530793,55,0,"day",3,0.023165667,50,4
"269",56,68,4,0.0103562459518816,56,0,"day",3,0.023619067,50,4
"270",57,69,4,0.00802541796954626,57,0,"day",3,0.021201747,50,4
"271",58,70,4,0.0117313400076058,58,0,"day",3,0.025044944,50,4
"272",59,71,4,0.00427847400446107,59,0,"day",3,0.01730858,50,4
"273",60,72,4,0.00435142272676739,60,0,"day",3,0.017381306,50,4
"274",61,73,4,-0.047045831346012,61,0,"night",3,-0.036008355,50,4
"275",62,74,4,-0.0278172305478365,62,0,"night",3,-0.016034207,50,4
"276",63,75,4,-0.0276189884476846,63,0,"night",3,-0.015825678,50,4
"277",64,76,4,-0.0177933649990555,64,0,"night",3,-0.00561978,50,4
"278",65,77,4,-0.00957489787148362,65,0,"night",3,0.002917577,50,4
"279",66,78,4,-0.00923793133307224,66,0,"night",3,0.003270665,50,4
"280",67,79,4,-0.00316908740396112,67,0,"night",3,0.00957252,50,4
"281",68,80,4,-0.00537754146624922,68,0,"night",3,0.007280774,50,4
"282",69,81,4,-0.00058863316706881,69,0,"night",3,0.012251144,50,4
"283",70,82,4,-0.00259551234465403,70,0,"night",3,0.010170848,50,4
"284",71,83,4,-0.00140962989925289,71,0,"night",3,0.011394949,50,4
"285",1,13,5,0.0171149240695266,1,29,"day",1,0.027099078,60,4
"286",2,14,5,0.00172712141641169,2,29,"day",1,0.011071978,60,4
"287",3,15,5,0.00938565268656741,3,29,"day",1,0.019033857,60,4
"288",4,16,5,0.00504586806114735,4,29,"day",1,0.014524665,60,4
"289",5,17,5,0.00197587747404309,5,29,"day",1,0.011314821,60,4
"290",6,18,5,0.000179795915067077,6,29,"day",1,0.009468851,60,4
"291",7,19,5,-0.00733469805069515,7,29,"day",1,0.001638175,60,4
"292",8,20,5,0.00651220142003248,8,29,"day",1,0.016047893,60,4
"293",9,21,5,-0.00164614340114787,9,29,"day",1,0.007556328,60,4
"294",10,22,5,0.00770841459492821,10,29,"day",1,0.01728709,60,4
"295",11,23,5,0.00588881404701066,11,29,"day",1,0.015396788,60,4
"296",12,24,5,0.00691271812830815,12,29,"day",1,0.016455211,60,4
"297",13,25,5,-0.05241962411716,13,29,"night",1,-0.045288688,60,4
"298",14,26,5,-0.0392414769256971,14,29,"night",1,-0.031568401,60,4
"299",15,27,5,-0.0420219109865841,15,29,"night",1,-0.034460613,60,4
"300",16,28,5,-0.0412926249434188,16,29,"night",1,-0.033704538,60,4
"301",17,29,5,-0.0388175874068859,17,29,"night",1,-0.031125348,60,4
"302",18,30,5,-0.0365707923941479,18,29,"night",1,-0.028788712,60,4
"303",19,31,5,-0.0361114634095704,19,29,"night",1,-0.028305461,60,4
"304",20,32,5,-0.0375183971843126,20,29,"night",1,-0.029774167,60,4
"305",21,33,5,-0.0382551907744729,21,29,"night",1,-0.030536917,60,4
"306",22,34,5,-0.0397369864757472,22,29,"night",1,-0.032084445,60,4
"307",23,35,5,-0.0392373791648581,23,29,"night",1,-0.031561676,60,4
"308",24,36,5,-0.0384787723670707,24,29,"night",1,-0.03077364,60,4
"309",25,37,5,0.000883359013997539,25,29,"day",2,0.010195,60,4
"310",26,38,5,-0.0148758173529316,26,29,"day",2,-0.006215306,60,4
"311",27,39,5,0.00325491687359042,27,29,"day",2,0.01265845,60,4
"312",28,40,5,0.00136752930429644,28,29,"day",2,0.010689129,60,4
"313",29,41,5,0.00448321747759053,29,29,"day",2,0.013927862,60,4
"314",30,42,5,-0.000330500494400333,30,29,"day",2,0.008927255,60,4
"315",31,43,5,-0.00603491045359611,31,29,"day",2,0.002979937,60,4
"316",32,44,5,-0.00405063093575954,32,29,"day",2,0.005048026,60,4
"317",33,45,5,-0.0024519443373158,33,29,"day",2,0.006717127,60,4
"318",34,46,5,-0.000821808345801727,34,29,"day",2,0.008417556,60,4
"319",35,47,5,-0.00423533846219894,35,29,"day",2,0.004866356,60,4
"320",36,48,5,0.00188076622888697,36,29,"day",2,0.011231479,60,4
"321",37,49,5,-0.0193319236425941,37,29,"night",2,-0.010829815,60,4
"322",38,50,5,-0.0321632409089192,38,29,"night",2,-0.024185223,60,4
"323",39,51,5,-0.0455091759556522,39,29,"night",2,-0.038097204,60,4
"324",40,52,5,-0.0541219774862408,40,29,"night",2,-0.047056999,60,4
"325",41,53,5,-0.0559640274449497,41,29,"night",2,-0.048972755,60,4
"326",42,54,5,-0.0530898875551782,42,29,"night",2,-0.045988576,60,4
"327",43,55,5,-0.054577681590356,43,29,"night",2,-0.04753533,60,4
"328",44,56,5,-0.0504054868420831,44,29,"night",2,-0.043191901,60,4
"329",45,57,5,-0.0518220318470432,45,29,"night",2,-0.044663555,60,4
"330",46,58,5,-0.0498290044370028,46,29,"night",2,-0.042592422,60,4
"331",47,59,5,-0.0528925683062633,47,29,"night",2,-0.045777325,60,4
"332",48,60,5,-0.0533120730932385,48,29,"night",2,-0.046218169,60,4
"333",49,61,5,-0.0105330481671213,49,29,"day",3,-0.001686383,60,4
"334",50,62,5,0.0014230683855312,50,29,"day",3,0.010751459,60,4
"335",51,63,5,-0.0066136605696369,51,29,"day",3,0.002370617,60,4
"336",52,64,5,-0.0150278993479266,52,29,"day",3,-0.006377969,60,4
"337",53,65,5,-0.012893901278248,53,29,"day",3,-0.004156605,60,4
"338",54,66,5,-0.0186660783228372,54,29,"day",3,-0.01015606,60,4
"339",55,67,5,-0.00904116257466338,55,29,"day",3,-0.000143254,60,4
"340",56,68,5,-0.00573285863442491,56,29,"day",3,0.003304027,60,4
"341",57,69,5,-0.00822958260039868,57,29,"day",3,0.000705237,60,4
"342",58,70,5,-0.00563524710124542,58,29,"day",3,0.003402947,60,4
"343",59,71,5,-0.00752621158621119,59,29,"day",3,0.001441402,60,4
"344",60,72,5,-0.00923714433627699,60,29,"day",3,-0.000344578,60,4
"345",61,73,5,-0.0339824974412966,61,29,"night",3,-0.026077799,60,4
"346",62,74,5,-0.0302275386975159,62,29,"night",3,-0.022174136,60,4
"347",63,75,5,-0.00538132452236655,63,29,"night",3,0.003695573,60,4
"348",64,76,5,-0.0103832496175673,64,29,"night",3,-0.001523917,60,4
"349",65,77,5,-0.00632993846237799,65,29,"night",3,0.002699912,60,4
"350",66,78,5,-0.0105744896325307,66,29,"night",3,-0.001723089,60,4
"351",67,79,5,-0.00712444398667746,67,29,"night",3,0.001871348,60,4
"352",68,80,5,-0.010619314800951,68,29,"night",3,-0.001772182,60,4
"353",69,81,5,-0.00551994955998476,69,29,"night",3,0.003539215,60,4
"354",70,82,5,-0.00886721551592724,70,29,"night",3,5.22512e-05,60,4
"355",71,83,5,-0.00466006475651293,71,29,"night",3,0.004435107,60,4
"356",1,13,6,-0.003195670247637,1,50,"day",1,-0.003006213,60,4
"357",2,14,6,-0.0216282709279357,2,50,"day",1,-0.02219703,60,4
"358",3,15,6,0.000284260221567083,3,50,"day",1,0.000600606,60,4
"359",4,16,6,-0.022852944036175,4,50,"day",1,-0.023480525,60,4
"360",5,17,6,-0.0246689054836151,5,50,"day",1,-0.025382573,60,4
"361",6,18,6,-0.00652515396722764,6,50,"day",1,-0.00646167,60,4
"362",7,19,6,-0.0130828697872678,7,50,"day",1,-0.013300832,60,4
"363",8,20,6,-0.0289521415428379,8,50,"day",1,-0.029820068,60,4
