"","X","AutoResp.Cycle.Loop","Chamber","MO2.no.Background.Correction","NA.","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial"
"62",62,78,1,-0.00177400618538276,1,68,-0.0024085,50,84,"night",3,2
"63",63,79,1,-0.00285747291438315,1,69,-0.003546737,50,84,"night",3,2
"64",64,80,1,-0.00332004486781366,1,70,-0.004033582,50,84,"night",3,2
"65",65,81,1,-0.00268724495714686,1,71,-0.003368328,50,84,"night",3,2
"66",66,82,1,-0.00647612373036318,1,72,-0.00734507,50,84,"night ",3,2
"67",1,11,2,0.00927253662769755,NA,1,0.025978943,29,84,"day",1,2
"68",2,12,2,-0.00254593556979803,NA,2,0.013572321,29,84,"day",1,2
"69",3,13,2,-0.00747559724030551,NA,3,0.008398455,29,84,"day",1,2
"70",4,15,2,-0.00549884328455807,NA,5,0.010477914,29,84,"day",1,2
"71",5,16,2,-0.0011642777768947,NA,6,0.015032777,29,84,"day",1,2
"72",6,17,2,-8.30288516592047e-06,NA,7,0.016240725,29,84,"day",1,2
"73",7,18,2,0.00134456728486436,NA,8,0.017658412,29,84,"day",1,2
"74",8,19,2,-0.0132642880418766,NA,9,0.002339832,29,84,"day",1,2
"75",9,20,2,0.000881365588043658,NA,10,0.017179709,29,84,"day",1,2
"76",10,21,2,0.00610169192993476,NA,11,0.022652551,29,84,"day",1,2
"77",11,22,2,-0.00602194791677977,NA,12,0.009937386,29,84,"day",1,2
"78",12,23,2,-0.00682500190563815,NA,13,0.009097611,29,84,"night",1,2
"79",13,24,2,-0.010837044436017,NA,14,0.004884101,29,84,"night",1,2
"80",14,25,2,-0.0029328975911618,NA,15,0.013188284,29,84,"night",1,2
"81",15,26,2,-0.00602122884805871,NA,16,0.009936261,29,84,"night",1,2
"82",16,27,2,-0.00534038881950885,NA,17,0.010655333,29,84,"night",1,2
"83",17,28,2,-0.00500325181277114,NA,18,0.011005887,29,84,"night",1,2
"84",18,29,2,-0.00521006451052312,NA,19,0.010791437,29,84,"night",1,2
"85",19,30,2,-0.00373097126486938,NA,20,0.012344252,29,84,"night",1,2
"86",20,31,2,-0.0053874452201881,NA,21,0.010603308,29,84,"night",1,2
"87",21,32,2,-0.00385464359821002,NA,22,0.01221209,29,84,"night",1,2
"88",22,33,2,-0.00196805069884664,NA,23,0.014194056,29,84,"night",1,2
"89",23,34,2,-0.00744497148801264,NA,24,0.008439783,29,84,"night",2,2
"90",24,36,2,-0.000648853636244496,NA,26,0.015566429,29,84,"day ",2,2
"91",25,37,2,0.00163626294059083,NA,27,0.017967146,29,84,"day",2,2
"92",26,38,2,-0.0082816637552144,NA,28,0.007558681,29,84,"day ",2,2
"93",27,39,2,-0.00445197587516887,NA,29,0.011583457,29,84,"day",2,2
"94",28,40,2,-6.67647535759538e-05,NA,30,0.016185297,29,84,"day ",2,2
"95",29,41,2,0.00107672947158528,NA,31,0.01737698,29,84,"day",2,2
"96",30,42,2,-0.00586719434048439,NA,32,0.010096199,29,84,"day ",2,2
"97",31,44,2,-0.00695624169877408,NA,34,0.008950775,29,84,"day ",2,2
"98",32,45,2,-0.00540071919784957,NA,35,0.010582665,29,84,"day",2,2
"99",33,46,2,-0.00491988980625639,NA,36,0.011095418,29,84,"day",2,2
"100",34,47,2,-0.0166077152002163,NA,37,-0.001169939,29,84,"night ",2,2
"101",35,48,2,-0.00575846967970953,NA,38,0.01021914,29,84,"night ",2,2
"102",36,49,2,-0.0172843890028099,NA,39,-0.001874413,29,84,"night ",2,2
"103",37,50,2,-0.0056621514973788,NA,40,0.010321442,29,84,"night ",2,2
"104",38,51,2,-0.0162514371423743,NA,41,-0.00079042,29,84,"night ",2,2
"105",39,52,2,-0.0070230180620455,NA,42,0.008893329,29,84,"night ",2,2
"106",40,53,2,-0.0158010631552081,NA,43,-0.000321482,29,84,"night ",2,2
"107",41,54,2,-0.00676536558634768,NA,44,0.009167894,29,84,"night ",2,2
"108",42,55,2,-0.0149945795864091,NA,45,0.000526314,29,84,"night ",2,2
"109",43,56,2,-0.0100080825983524,NA,46,0.005764689,29,84,"night ",2,2
"110",44,57,2,-0.0121566012635464,NA,47,0.003502008,29,84,"night ",2,2
"111",45,58,2,-0.011695295717496,NA,48,0.00398953,29,84,"night",2,2
"112",46,59,2,0.000685375323464936,NA,49,0.01696907,29,84,"day",3,2
"113",47,60,2,3.44273036147322e-05,NA,50,0.016291866,29,84,"day ",3,2
"114",48,61,2,-0.00596134023489935,NA,51,0.010001212,29,84,"day",3,2
"115",49,62,2,-0.00797523677956199,NA,52,0.007887495,29,84,"day ",3,2
"116",50,63,2,0.00158652036022652,NA,53,0.017923741,29,84,"day",3,2
"117",51,64,2,-0.00525165762730216,NA,54,0.010741,29,84,"day",3,2
"118",52,65,2,-0.00275752736606599,NA,55,0.013366563,29,84,"day ",3,2
"119",53,66,2,-0.00653132356893569,NA,56,0.009400172,29,84,"day",3,2
"120",54,67,2,-0.0123636519329258,NA,57,0.003293332,29,84,"day ",3,2
"121",55,68,2,0.00294656225677024,NA,58,0.019340346,29,84,"day",3,2
"122",56,69,2,-0.00466995951395669,NA,59,0.011359126,29,84,"day",3,2
"123",57,70,2,-0.00294769083850486,NA,60,0.013163149,29,84,"day",3,2
"124",58,71,2,-0.013884533788522,NA,61,0.00169827,29,84,"night",3,2
"125",59,72,2,-0.00565589902545372,NA,62,0.010326396,29,84,"night",3,2
"126",60,73,2,-0.0069181384889499,NA,63,0.009000276,29,84,"night",3,2
"127",61,74,2,-0.00058112036825186,NA,64,0.015643397,29,84,"night",3,2
"128",62,75,2,-0.00850065155126823,NA,65,0.007339816,29,84,"night",3,2
"129",63,76,2,-0.00669425148285989,NA,66,0.009234084,29,84,"night",3,2
"130",64,77,2,-0.00787712148150107,NA,67,0.007994159,29,84,"night",3,2
"131",65,78,2,-0.00530989400179349,NA,68,0.010688885,29,84,"night",3,2
"132",66,79,2,-0.00583148619994898,NA,69,0.01014345,29,84,"night",3,2
"133",67,80,2,-0.00301217803026892,NA,70,0.01310436,29,84,"night",3,2
"134",68,81,2,-0.00549316047434003,NA,71,0.010498811,29,84,"night",3,2
"135",69,82,2,-0.00622159463861457,NA,72,0.009733021,29,84,"night ",3,2
"136",1,11,3,0.00555995650919839,3,1,0.032699651,15,84,"day",1,2
"137",2,12,3,-0.000517402823008281,3,2,0.026319915,15,84,"day",1,2
"138",3,13,3,-0.00164440759347013,3,3,0.025140592,15,84,"day",1,2
"139",4,15,3,-0.000482164475033189,3,5,0.026360408,15,84,"day",1,2
"140",5,16,3,0.00346219373680031,3,6,0.030518653,15,84,"day",1,2
"141",6,17,3,0.00213089920433884,3,7,0.029102492,15,84,"day",1,2
"142",7,18,3,0.0020866964235973,3,8,0.029058328,15,84,"day",1,2
"143",8,19,3,-0.00740405793507102,3,9,0.019097462,15,84,"day",1,2
"144",9,20,3,0.00540873803169078,3,10,0.032542804,15,84,"day",1,2
"145",10,21,3,0.00100110584827056,3,11,0.027916383,15,84,"day",1,2
"146",11,22,3,0.00189957715730985,3,12,0.028861017,15,84,"day",1,2
"147",12,23,3,-0.0145022892588692,3,13,0.01165704,15,84,"night",1,2
"148",13,24,3,-0.00693775198675887,3,14,0.01959547,15,84,"night",1,2
"149",14,25,3,-0.00728785134168788,3,15,0.019227781,15,84,"night",1,2
"150",15,26,3,-0.00575732538942958,3,16,0.020834658,15,84,"night",1,2
"151",16,27,3,-0.00641980138699756,3,17,0.020138105,15,84,"night",1,2
"152",17,28,3,-0.0052105988315964,3,18,0.021407605,15,84,"night",1,2
"153",18,29,3,-0.00619862527732512,3,19,0.020371958,15,84,"night",1,2
"154",19,30,3,-0.00600463283552494,3,20,0.020573831,15,84,"night",1,2
"155",20,31,3,-0.00674097215670432,3,21,0.019800718,15,84,"night",1,2
"156",21,32,3,-0.00622083162380648,3,22,0.020348022,15,84,"night",1,2
"157",22,33,3,-0.00624326473934588,3,23,0.020325089,15,84,"night",1,2
"158",23,34,3,-0.00564767002476411,3,24,0.020947102,15,84,"night",2,2
"159",24,36,3,0.00643326258045133,3,26,0.033618159,15,84,"day ",2,2
"160",25,37,3,-0.000278216193098457,3,27,0.026574981,15,84,"day",2,2
"161",26,38,3,-0.00391820283446304,3,28,0.02275443,15,84,"day ",2,2
"162",27,39,3,-0.0016044665168046,3,29,0.025186598,15,84,"day",2,2
"163",28,40,3,-0.000238623545834206,3,30,0.026618816,15,84,"day ",2,2
"164",29,41,3,-0.000507451373163283,3,31,0.026332356,15,84,"day",2,2
"165",30,42,3,5.79680311404937e-06,3,32,0.026872607,15,84,"day ",2,2
"166",31,44,3,0.00254366619659617,3,34,0.0295341,15,84,"day ",2,2
"167",32,45,3,-0.00312666768045976,3,35,0.023583201,15,84,"day",2,2
"168",33,46,3,-0.00459798390070451,3,36,0.022041105,15,84,"day",2,2
"169",34,47,3,-0.0115464961132965,3,37,0.014760605,15,84,"night ",2,2
"170",35,48,3,-0.00680929169409062,3,38,0.019731427,15,84,"night ",2,2
"171",36,49,3,-0.00540091329010759,3,39,0.021209237,15,84,"night ",2,2
"172",37,50,3,-0.00569554463769252,3,40,0.020899472,15,84,"night ",2,2
"173",38,51,3,-0.00513897526035222,3,41,0.02148372,15,84,"night ",2,2
"174",39,52,3,-0.00785484716541241,3,42,0.018632536,15,84,"night ",2,2
"175",40,53,3,-0.00437098603134808,3,43,0.022289952,15,84,"night ",2,2
"176",41,54,3,-0.00718752334827737,3,44,0.01933328,15,84,"night ",2,2
"177",42,55,3,-0.00459470686595805,3,45,0.022056182,15,84,"night ",2,2
"178",43,56,3,-0.00692113368156754,3,46,0.019613329,15,84,"night ",2,2
"179",44,57,3,-0.00567440175099078,3,47,0.020922281,15,84,"night ",2,2
"180",45,58,3,-0.00701680932897641,3,48,0.019512288,15,84,"night",2,2
"181",46,59,3,-0.00169969843968874,3,49,0.025083321,15,84,"day",3,2
"182",47,60,3,0.00572357415250761,3,50,0.032875528,15,84,"day ",3,2
"183",48,62,3,-0.00405998361999888,3,52,0.022607885,15,84,"day ",3,2
"184",49,63,3,-0.00393840671555013,3,53,0.022730412,15,84,"day",3,2
"185",50,64,3,0.00497504024835873,3,54,0.032089319,15,84,"day",3,2
"186",51,65,3,1.56673730123411e-05,3,55,0.026885235,15,84,"day ",3,2
"187",52,66,3,-0.00202400047241844,3,56,0.024744505,15,84,"day",3,2
"188",53,67,3,-0.0106275067004685,3,57,0.015722789,15,84,"day ",3,2
"189",54,68,3,0.00112375637825079,3,58,0.028049973,15,84,"day",3,2
"190",55,69,3,-0.00253764138011757,3,59,0.024208219,15,84,"day",3,2
"191",56,70,3,-0.00472115642915591,3,60,0.0219163,15,84,"day",3,2
"192",57,71,3,-0.00916022982900998,3,61,0.017260004,15,84,"night",3,2
"193",58,72,3,-0.0114054508070309,3,62,0.014920149,15,84,"night",3,2
"194",59,73,3,-0.00558894160473513,3,63,0.021010161,15,84,"night",3,2
"195",60,74,3,-0.0046986698788541,3,64,0.021945969,15,84,"night",3,2
"196",61,75,3,-0.0041833491099248,3,65,0.022489471,15,84,"night",3,2
"197",62,76,3,-0.00222128579626916,3,66,0.024546735,15,84,"night",3,2
"198",63,77,3,-0.00383300319441517,3,67,0.022853704,15,84,"night",3,2
"199",64,78,3,-0.00236650331042618,3,68,0.024393531,15,84,"night",3,2
"200",65,79,3,-0.00435656435037784,3,69,0.022303889,15,84,"night",3,2
"201",66,80,3,-0.00274500054195883,3,70,0.023995964,15,84,"night",3,2
"202",67,81,3,-0.0044561046740614,3,71,0.022199914,15,84,"night",3,2
"203",68,82,3,-0.0070848437087921,3,72,0.019442568,15,84,"night ",3,2
"204",1,11,4,0.00470481299794864,NA,1,0.014620706,0,84,"day",1,2
"205",2,12,4,7.55201952621758e-05,NA,2,0.009762353,0,84,"day",1,2
"206",3,13,4,-0.00183174798564788,NA,3,0.007760375,0,84,"day",1,2
"207",4,14,4,-0.00202402727708894,NA,4,0.007559123,0,84,"day",1,2
"208",5,15,4,-0.00125531080149162,NA,5,0.00836688,0,84,"day",1,2
"209",6,16,4,-0.000399452979989004,NA,6,0.00926369,0,84,"day",1,2
"210",7,17,4,0.000298352565399809,NA,7,0.009994065,0,84,"day",1,2
"211",8,18,4,0.00157860396212056,NA,8,0.011338711,0,84,"day",1,2
"212",9,19,4,-0.000250502047725732,NA,9,0.009419161,0,84,"day",1,2
"213",10,20,4,0.00091484878252319,NA,10,0.010642337,0,84,"day",1,2
"214",11,21,4,-0.000130433799961939,NA,11,0.009544323,0,84,"day",1,2
"215",12,22,4,0.000863340137463493,NA,12,0.010587523,0,84,"day",1,2
"216",13,23,4,-0.00587378936619072,NA,13,0.003524805,0,84,"night",1,2
"217",14,24,4,-0.00133849659370649,NA,14,0.008280333,0,84,"night",1,2
"218",15,25,4,-0.00241308235363283,NA,15,0.007154275,0,84,"night",1,2
"219",16,26,4,-0.00057176237393552,NA,16,0.009087194,0,84,"night",1,2
"220",17,27,4,-0.00202169344417202,NA,17,0.007564386,0,84,"night",1,2
"221",18,28,4,-0.000705356447459854,NA,18,0.008945571,0,84,"night",1,2
"222",19,29,4,-0.00227464885589627,NA,19,0.007299083,0,84,"night",1,2
"223",20,30,4,-0.000776431185626882,NA,20,0.00887222,0,84,"night",1,2
"224",21,31,4,-0.00236358135444924,NA,21,0.007206602,0,84,"night",1,2
"225",22,32,4,-0.00100574981601698,NA,22,0.008631138,0,84,"night",1,2
"226",23,33,4,-0.00208602979851961,NA,23,0.0074978,0,84,"night",1,2
"227",24,34,4,-0.0012881289071673,NA,24,0.008332713,0,84,"night",2,2
"228",25,36,4,0.00177128436506515,NA,26,0.011540186,0,84,"day ",2,2
"229",26,37,4,-0.000667626246337937,NA,27,0.00897997,0,84,"day",2,2
"230",27,38,4,-0.00281617151491852,NA,28,0.006725908,0,84,"day ",2,2
"231",28,39,4,-0.00130173865199034,NA,29,0.008316786,0,84,"day",2,2
"232",29,40,4,-0.000256324686069253,NA,30,0.00941334,0,84,"day ",2,2
"233",30,41,4,-0.000404082579066141,NA,31,0.009257325,0,84,"day",2,2
"234",31,42,4,-0.00055103724151447,NA,32,0.009101726,0,84,"day ",2,2
"235",32,44,4,-0.000280884009206591,NA,34,0.009384182,0,84,"day ",2,2
"236",33,45,4,-0.00229617476412846,NA,35,0.007270653,0,84,"day",2,2
"237",34,46,4,-0.00176727825110078,NA,36,0.007825983,0,84,"day",2,2
"238",35,47,4,-0.00666836476546329,NA,37,0.002690806,0,84,"night ",2,2
"239",36,48,4,-0.00379302556671313,NA,38,0.005707419,0,84,"night ",2,2
"240",37,49,4,-0.00193095925958126,NA,39,0.0076607,0,84,"night ",2,2
"241",38,50,4,-0.00252212901133055,NA,40,0.007041356,0,84,"night ",2,2
"242",39,51,4,-0.00150056000317466,NA,41,0.008113805,0,84,"night ",2,2
"243",40,52,4,-0.00240244150440929,NA,42,0.007166101,0,84,"night ",2,2
"244",41,53,4,-0.00125892234381453,NA,43,0.008366353,0,84,"night ",2,2
"245",42,54,4,-0.00251792510777427,NA,44,0.007044605,0,84,"night ",2,2
"246",43,55,4,-0.00161712722677912,NA,45,0.007990546,0,84,"night ",2,2
"247",44,56,4,-0.00297002342303105,NA,46,0.006571665,0,84,"night ",2,2
"248",45,57,4,-0.00232495339705038,NA,47,0.007248268,0,84,"night ",2,2
"249",46,58,4,-0.00308424538270067,NA,48,0.006450465,0,84,"night",2,2
"250",47,59,4,0.00651203379187961,NA,49,0.016519132,0,84,"day",3,2
"251",48,60,4,0.00104414290629018,NA,50,0.010776591,0,84,"day ",3,2
"252",49,61,4,3.92372086952215e-05,NA,51,0.009721037,0,84,"day",3,2
"253",50,62,4,-0.00206054516741979,NA,52,0.00751798,0,84,"day ",3,2
"254",51,63,4,-0.00130179069609783,NA,53,0.008314144,0,84,"day",3,2
"255",52,64,4,-0.000944940553680356,NA,54,0.008689706,0,84,"day",3,2
"256",53,65,4,-0.000492281697187375,NA,55,0.0091637,0,84,"day ",3,2
"257",54,66,4,-0.000589589175313571,NA,56,0.00906102,0,84,"day",3,2
"258",55,67,4,-0.00157655671069593,NA,57,0.008027159,0,84,"day ",3,2
"259",56,68,4,0.000149283274467149,NA,58,0.009839457,0,84,"day",3,2
"260",57,69,4,-0.000620375454112099,NA,59,0.009031057,0,84,"day",3,2
"261",58,70,4,-0.0012762529400729,NA,60,0.008343566,0,84,"day",3,2
"262",59,71,4,-0.00683731380638823,NA,61,0.002515393,0,84,"night",3,2
"263",60,72,4,-0.00395288053640628,NA,62,0.005539869,0,84,"night",3,2
"264",61,73,4,-0.00368783896607379,NA,63,0.005818532,0,84,"night",3,2
"265",62,74,4,-0.00262262266599973,NA,64,0.006937612,0,84,"night",3,2
"266",63,75,4,-0.00278105429071673,NA,65,0.006772513,0,84,"night",3,2
"267",64,76,4,-0.00170983060579217,NA,66,0.007892995,0,84,"night",3,2
"268",65,77,4,-0.00286585872612329,NA,67,0.006681117,0,84,"night",3,2
"269",66,78,4,-0.00185651271905542,NA,68,0.007740923,0,84,"night",3,2
"270",67,79,4,-0.00313917529125676,NA,69,0.006395543,0,84,"night",3,2
"271",68,80,4,-0.00238604392838689,NA,70,0.007184841,0,84,"night",3,2
"272",69,81,4,-0.00312300151772058,NA,71,0.006410537,0,84,"night",3,2
"273",70,82,4,-0.00291224730081498,NA,72,0.006632389,0,84,"night ",3,2
"274",1,11,5,0.00250307444224368,5,1,0.013313156,29,90,"day",1,2
"275",2,12,5,-0.00238445967403782,5,2,0.008179572,29,90,"day",1,2
"276",3,13,5,-0.0014789009800359,5,3,0.009127879,29,90,"day",1,2
"277",4,15,5,-0.000854140659715299,5,5,0.009790743,29,90,"day",1,2
"278",5,16,5,-0.00125937822173797,5,6,0.009359816,29,90,"day",1,2
"279",6,17,5,0.000992266392348518,5,7,0.011722725,29,90,"day",1,2
"280",7,18,5,0.000110143495162873,5,8,0.01079969,29,90,"day",1,2
"281",8,19,5,-0.00222807546362979,5,9,0.008345608,29,90,"day",1,2
"282",9,20,5,0.00631236121540746,5,10,0.017326983,29,90,"day",1,2
"283",10,21,5,0.00231904816096167,5,11,0.013116368,29,90,"day",1,2
"284",11,22,5,-0.00285139102737071,5,12,0.00769172,29,90,"day",1,2
"285",12,23,5,-0.00879817082609213,5,13,0.00145633,29,90,"night",1,2
"286",13,24,5,-0.00239053285654713,5,14,0.008183698,29,90,"night",1,2
"287",14,25,5,-0.00102206066171813,5,15,0.00961789,29,90,"night",1,2
"288",15,26,5,-0.00573875273237306,5,16,0.00466533,29,90,"night",1,2
"289",16,27,5,-0.00216808522681355,5,17,0.008414812,29,90,"night",1,2
"290",17,28,5,-0.00580160858415115,5,18,0.00459772,29,90,"night",1,2
"291",18,29,5,-0.002838808009973,5,19,0.00771241,29,90,"night",1,2
"292",19,30,5,-0.00427507245883094,5,20,0.006201393,29,90,"night",1,2
"293",20,31,5,-0.00349981717528668,5,21,0.007018254,29,90,"night",1,2
"294",21,32,5,-0.00348220641519713,5,22,0.007032234,29,90,"night",1,2
"295",22,33,5,-0.00399521236579129,5,23,0.006499023,29,90,"night",1,2
"296",23,34,5,-0.00421456613577,5,24,0.00625354,29,90,"night",2,2
"297",24,35,5,0.00123061342461882,5,25,0.011978458,29,90,"day",2,2
"298",25,37,5,-0.00483779516422454,5,27,0.005605792,29,90,"day",2,2
"299",26,38,5,-0.00652653513619784,5,28,0.003832111,29,90,"day ",2,2
"300",27,39,5,-0.00145589192762834,5,29,0.00915552,29,90,"day",2,2
"301",28,40,5,0.000765131951944702,5,30,0.011485691,29,90,"day ",2,2
"302",29,41,5,-0.00249838220982941,5,31,0.008064149,29,90,"day",2,2
"303",30,42,5,-0.000663945581874035,5,32,0.009985235,29,90,"day ",2,2
"304",31,43,5,-0.00129233251740025,5,33,0.009328726,29,90,"day",2,2
"305",32,44,5,0.000238619820409509,5,34,0.010937793,29,90,"day ",2,2
"306",33,45,5,-0.00237729300017675,5,35,0.008188627,29,90,"day",2,2
"307",34,46,5,-0.0051029467461172,5,36,0.005327905,29,90,"day",2,2
"308",35,47,5,-0.00737316857274148,5,37,0.002952062,29,90,"night ",2,2
"309",36,48,5,-0.00505134885876091,5,38,0.005390316,29,90,"night ",2,2
"310",37,49,5,-0.0070541409504411,5,39,0.003286572,29,90,"night ",2,2
"311",38,50,5,-0.00348132028960709,5,40,0.007036523,29,90,"night ",2,2
"312",39,51,5,-0.00696506622496449,5,41,0.003384601,29,90,"night ",2,2
"313",40,52,5,-0.000151932001791145,5,42,0.010534668,29,90,"night ",2,2
"314",41,53,5,-0.00404347590183846,5,43,0.006450597,29,90,"night ",2,2
"315",42,54,5,-0.00582234475641897,5,44,0.004584401,29,90,"night ",2,2
"316",43,55,5,-0.00831763276630471,5,45,0.00196909,29,90,"night ",2,2
"317",44,56,5,-0.00545728270028619,5,46,0.004970078,29,90,"night ",2,2
"318",45,57,5,-0.00856723493518419,5,47,0.001707163,29,90,"night ",2,2
"319",46,58,5,-0.00512646765368342,5,48,0.005315644,29,90,"night",2,2
"320",47,59,5,-0.00318515686347083,5,49,0.007351091,29,90,"day",3,2
"321",48,61,5,-0.00856808901933069,5,51,0.001698496,29,90,"day",3,2
"322",49,62,5,-0.00583427750472222,5,52,0.004564592,29,90,"day ",3,2
"323",50,63,5,-0.00628746173906209,5,53,0.004092618,29,90,"day",3,2
"324",51,64,5,-0.00494333851157397,5,54,0.005501508,29,90,"day",3,2
"325",52,65,5,-0.00439403119948621,5,55,0.006080024,29,90,"day ",3,2
"326",53,66,5,-0.00577855866667683,5,56,0.004623933,29,90,"day",3,2
"327",54,67,5,-0.00131191679231221,5,57,0.009312869,29,90,"day ",3,2
"328",55,68,5,-0.0013820083548255,5,58,0.009251789,29,90,"day",3,2
"329",56,69,5,-0.00222223384274474,5,59,0.008352229,29,90,"day",3,2
"330",57,70,5,-0.000847535763581057,5,60,0.00980133,29,90,"day",3,2
"331",58,71,5,-0.00803640522437746,5,61,0.002258839,29,90,"night",3,2
"332",59,72,5,-0.00362868146352598,5,62,0.006883178,29,90,"night",3,2
"333",60,73,5,-0.00490218343474107,5,63,0.005551201,29,90,"night",3,2
"334",61,74,5,-0.00482243461925845,5,64,0.005634349,29,90,"night",3,2
"335",62,75,5,-0.00749523467435749,5,65,0.002834798,29,90,"night",3,2
"336",63,76,5,-0.0086748039311466,5,66,0.001591188,29,90,"night",3,2
"337",64,77,5,-0.00571938362628259,5,67,0.004696947,29,90,"night",3,2
"338",65,78,5,-0.00894771083946922,5,68,0.001306122,29,90,"night",3,2
"339",66,79,5,-0.00539757182148872,5,69,0.005034277,29,90,"night",3,2
