Genotype,Day ,Date,Colletion Time,Chamber ,Treatment,Temperature,Delta TA,Volume ,BW,GNET
67,3,1/25/24,16:00:00,5,29,27,-4.4,603,5.31,0.103825666
67,3,1/25/24,9:00:00,6,0,27,-2.9,603,5.07,0.071669869
67,3,1/25/24,12:00:00,6,0,27,-34.55,603,5.07,0.853859986
67,3,1/25/24,16:00:00,6,0,27,11.8,603,5.07,-0.291622224
80,3,1/25/24,9:00:00,7,29,27,-16.8,603,4.27,0.492978497
80,3,1/25/24,13:00:00,7,29,27,-2.4,603,4.27,0.0704255
80,3,1/25/24,17:00:00,7,29,27,-1.25,603,4.27,0.036679948
80,3,1/25/24,9:00:00,8,0,27,9.5,603,2.23,-0.533783705
80,3,1/25/24,13:00:00,8,0,27,-8.6,603,2.23,0.483214722
80,3,1/25/24,17:00:00,8,0,27,5.45,603,2.23,-0.306223283
84,1,1/30/24,9:00:00,1,29,30,12.45,603,5.71,-0.273199445
84,1,1/30/24,12:00:00,1,29,30,5.6,603,5.71,-0.122884891
84,1,1/30/24,16:00:00,1,29,30,-17.6,603,5.71,0.386209657
84,1,1/30/24,9:00:00,2,0,30,5.6,603,5.14,-0.136512204
84,1,1/30/24,12:00:00,2,0,30,-19.4,603,5.14,0.472917277
84,1,1/30/24,16:00:00,2,0,30,-3.65,603,5.14,0.088976704
90,1,1/30/24,9:00:00,3,29,30,9.3,603,6.57,-0.177363458
90,1,1/30/24,13:00:00,3,29,30,-4.05,603,6.57,0.077238925
90,1,1/30/24,17:00:00,3,29,30,-17.65,603,6.57,0.336609144
90,1,1/30/24,9:00:00,4,0,30,10.7,603,5.41,-0.247818134
90,1,1/30/24,13:00:00,4,0,30,-10.5,603,5.41,0.243186019
90,1,1/30/24,17:00:00,4,0,30,1.2,603,5.41,-0.027792688
84,1,1/30/24,9:00:00,5,29,27,-5.95,603,6.59,0.113130087
84,1,1/30/24,12:00:00,5,29,27,12.4,603,6.59,-0.235766904
84,1,1/30/24,16:00:00,5,29,27,23.75,603,6.59,-0.451569675
84,1,1/30/24,9:00:00,6,0,27,-2,603,8.27,0.030301983
84,1,1/30/24,12:00:00,6,0,27,-1.8,603,8.27,0.027271785
84,1,1/30/24,16:00:00,6,0,27,-20.5,603,8.27,0.31059533
90,1,1/30/24,9:00:00,7,29,27,-11.6,603,3.11,0.467352069
90,1,1/30/24,13:00:00,7,29,27,-8.8,603,3.11,0.354542949
90,1,1/30/24,17:00:00,7,29,27,-4.95,603,3.11,0.199430409
90,1,1/30/24,9:00:00,8,0,27,-3.35,603,4.55,0.09225289
90,1,1/30/24,13:00:00,8,0,27,-3.75,603,4.55,0.10326816
90,1,1/30/24,17:00:00,8,0,27,-0.8,603,4.55,0.022030541
84,2,1/31/24,9:00:00,1,29,30,3.8,603,5.71,-0.083386176
84,2,1/31/24,12:00:00,1,29,30,-17.35,603,5.71,0.380723725
84,2,1/31/24,16:00:00,1,29,30,10.75,603,5.71,-0.235895103
84,2,1/31/24,9:00:00,2,0,30,-1.65,603,5.14,0.040222346
84,2,1/31/24,12:00:00,2,0,30,-28.15,603,5.14,0.686217596
84,2,1/31/24,16:00:00,2,0,30,8.2,603,5.14,-0.19989287
90,2,1/31/24,9:00:00,3,29,30,-3.45,603,6.57,0.065796122
90,2,1/31/24,13:00:00,3,29,30,-36.65,603,6.57,0.698964597
90,2,1/31/24,17:00:00,3,29,30,-15,603,6.57,0.286070094
90,2,1/31/24,9:00:00,4,0,30,-0.2,603,5.41,0.004632115
90,2,1/31/24,13:00:00,4,0,30,-14.65,603,5.41,0.339302398
90,2,1/31/24,17:00:00,4,0,30,4.05,603,5.41,-0.093800322
84,2,1/31/24,9:00:00,5,29,27,6.4,603,6.59,-0.121686144
84,2,1/31/24,12:00:00,5,29,27,-30.8,603,6.59,0.585614568
84,2,1/31/24,16:00:00,5,29,27,0.1,603,6.59,-0.001901346
84,2,1/31/24,9:00:00,6,0,27,32.2,603,8.27,-0.487861933
84,2,1/31/24,12:00:00,6,0,27,-31.7,603,8.27,0.480286437
84,2,1/31/24,16:00:00,6,0,27,9.5,603,8.27,-0.143934421
90,2,1/31/24,9:00:00,7,29,27,-1.8,603,3.11,0.072520149
90,2,1/31/24,13:00:00,7,29,27,-11.3,603,3.11,0.455265378
90,2,1/31/24,17:00:00,7,29,27,-6.15,603,3.11,0.247777175
90,2,1/31/24,9:00:00,8,0,27,4.85,603,4.55,-0.133560154
90,2,1/31/24,13:00:00,8,0,27,-4.9,603,4.55,0.134937063
90,2,1/31/24,17:00:00,8,0,27,-9.8,603,4.55,0.269874126
84,3,2/1/24,9:00:00,1,29,30,14.5,603,5.71,-0.318184093
84,3,2/1/24,12:00:00,1,29,30,21.7,603,5.71,-0.476178952
84,3,2/1/24,16:00:00,1,29,30,6.2,603,5.71,-0.136051129
84,3,2/1/24,9:00:00,2,0,30,29.55,603,5.14,-0.720345647
84,3,2/1/24,12:00:00,2,0,30,4.5,603,5.14,-0.109697307
84,3,2/1/24,16:00:00,2,0,30,11.1,603,5.14,-0.27058669
90,3,2/1/24,9:00:00,3,29,30,1.15,603,6.57,-0.021932041
90,3,2/1/24,13:00:00,3,29,30,-0.8,603,6.57,0.015257072
90,3,2/1/24,17:00:00,3,29,30,11.9,603,6.57,-0.226948941
90,3,2/1/24,9:00:00,4,0,30,7.65,603,5.41,-0.177178385
90,3,2/1/24,13:00:00,4,0,30,-0.2,603,5.41,0.004632115
90,3,2/1/24,17:00:00,4,0,30,17.35,603,5.41,-0.401835946
84,3,2/1/24,9:00:00,5,29,27,3.05,603,6.59,-0.057991053
84,3,2/1/24,12:00:00,5,29,27,3.85,603,6.59,-0.073201821
84,3,2/1/24,16:00:00,5,29,27,7.35,603,6.59,-0.139748931
84,3,2/1/24,9:00:00,6,0,27,-0.55,603,8.27,0.008333045
84,3,2/1/24,12:00:00,6,0,27,-1.9,603,8.27,0.028786884
84,3,2/1/24,16:00:00,6,0,27,8.05,603,8.27,-0.121965483
90,3,2/1/24,9:00:00,7,29,27,9.7,603,3.11,-0.390803023
90,3,2/1/24,13:00:00,7,29,27,-4.2,603,3.11,0.16921368
90,3,2/1/24,17:00:00,7,29,27,-1.05,603,3.11,0.04230342
90,3,2/1/24,9:00:00,8,0,27,-21.05,603,4.55,0.579678607
90,3,2/1/24,13:00:00,8,0,27,6.8,603,4.55,-0.187259598
90,3,2/1/24,17:00:00,8,0,27,8.45,603,4.55,-0.232697588
97,1,2/6/24,9:00:00,1,29,30,245.35,603,6.96,-4.416959248
97,1,2/6/24,12:00:00,1,29,30,13.45,603,6.96,-0.24213614
97,1,2/6/24,16:00:00,1,29,30,0.4,603,6.96,-0.007201075
97,1,2/6/24,9:00:00,2,0,30,-5.175,603,6.45,0.100530353
97,1,2/6/24,12:00:00,2,0,30,-53.95,603,6.45,1.048041075
97,1,2/6/24,16:00:00,2,0,30,-33.55,603,6.45,0.651747508
101,1,2/6/24,9:00:00,3,29,30,36.6,603,3.855,-1.189606347
101,1,2/6/24,13:00:00,3,29,30,43.2,603,3.855,-1.404125524
101,1,2/6/24,17:00:00,3,29,30,3.1,603,3.855,-0.100759008
101,1,2/6/24,9:00:00,4,0,30,-4.8,603,4.595,0.130888741
101,1,2/6/24,13:00:00,4,0,30,3.5,603,4.595,-0.095439707
101,1,2/6/24,17:00:00,4,0,30,18.8,603,4.595,-0.51264757
97,1,2/6/24,9:00:00,5,29,27,-19.25,603,3.3,0.730909091
97,1,2/6/24,12:00:00,5,29,27,-1.75,603,3.3,0.066446281
97,1,2/6/24,16:00:00,5,29,27,5.7,603,3.3,-0.21642503
97,1,2/6/24,9:00:00,6,0,27,1.25,603,4.3,-0.036424041
97,1,2/6/24,12:00:00,6,0,27,4.65,603,4.3,-0.135497433
97,1,2/6/24,16:00:00,6,0,27,11.05,603,4.3,-0.321988523
101,1,2/6/24,9:00:00,7,29,27,-51.7,603,3.025,2.141468713
101,1,2/6/24,13:00:00,7,29,27,-4.7,603,3.025,0.194678974
101,1,2/6/24,17:00:00,7,29,27,2.05,603,3.025,-0.084913169
101,1,2/6/24,9:00:00,8,0,27,-9.05,603,4.405,0.25742412
101,1,2/6/24,13:00:00,8,0,27,-0.95,603,4.405,0.027022421
101,1,2/6/24,17:00:00,8,0,27,-16.6,603,4.405,0.472181258
97,2,2/7/24,9:00:00,1,29,30,-1.2,603,6.96,0.021603224
97,2,2/7/24,12:00:00,1,29,30,-2.2,603,6.96,0.039605911
97,2,2/7/24,16:00:00,1,29,30,3.25,603,6.96,-0.058508733
97,2,2/7/24,9:00:00,2,0,30,15.65,603,6.45,-0.30401933
97,2,2/7/24,12:00:00,2,0,30,-3.1,603,6.45,0.060221081
97,2,2/7/24,16:00:00,2,0,30,-7.8,603,6.45,0.151524011
101,2,2/7/24,9:00:00,3,29,30,-16.5,603,3.855,0.536297943
101,2,2/7/24,13:00:00,3,29,30,-8.2,603,3.855,0.266523826
101,2,2/7/24,17:00:00,3,29,30,-0.65,603,3.855,0.021126889
101,2,2/7/24,9:00:00,4,0,30,-6.5,603,4.595,0.17724517
101,2,2/7/24,13:00:00,4,0,30,1.2,603,4.595,-0.032722185
101,2,2/7/24,17:00:00,4,0,30,-7.1,603,4.595,0.193606263
97,2,2/7/24,9:00:00,5,29,27,-8.6,603,3.3,0.326536009
97,2,2/7/24,12:00:00,5,29,27,13.05,603,3.3,-0.49549941
97,2,2/7/24,16:00:00,5,29,27,6.1,603,3.3,-0.231612751
97,2,2/7/24,9:00:00,6,0,27,-31.85,603,4.3,0.928084567
97,2,2/7/24,12:00:00,6,0,27,20.1,603,4.3,-0.58569858
97,2,2/7/24,16:00:00,6,0,27,1.9,603,4.3,-0.055364542
101,2,2/7/24,9:00:00,7,29,27,-7.15,603,3.025,0.296160567
101,2,2/7/24,13:00:00,7,29,27,7.6,603,3.025,-0.314800043
101,2,2/7/24,17:00:00,7,29,27,-1.15,603,3.025,0.047634217
101,2,2/7/24,9:00:00,8,0,27,2.75,603,4.405,-0.078222799
101,2,2/7/24,13:00:00,8,0,27,-51.15,603,4.405,1.454944057
101,2,2/7/24,17:00:00,8,0,27,3.5,603,4.405,-0.099556289
97,3,2/8/24,9:00:00,1,29,30,37.3,603,6.96,-0.671500224
97,3,2/8/24,12:00:00,1,29,30,22.55,603,6.96,-0.405960591
97,3,2/8/24,16:00:00,1,29,30,-11.95,603,6.96,0.215132109
97,3,2/8/24,9:00:00,2,0,30,-0.95,603,6.45,0.018454847
97,3,2/8/24,12:00:00,2,0,30,2.4,603,6.45,-0.046622773
97,3,2/8/24,16:00:00,2,0,30,-4.85,603,6.45,0.094216853
101,3,2/8/24,9:00:00,3,29,30,-6.85,603,3.855,0.222644904
101,3,2/8/24,13:00:00,3,29,30,4.65,603,3.855,-0.151138511
101,3,2/8/24,17:00:00,3,29,30,-10.75,603,3.855,0.349406236
101,3,2/8/24,9:00:00,4,0,30,0.1,603,4.595,-0.002726849
101,3,2/8/24,13:00:00,4,0,30,0.85,603,4.595,-0.023178215
101,3,2/8/24,17:00:00,4,0,30,2.3,603,4.595,-0.062717522
97,3,2/8/24,9:00:00,5,29,27,9.45,603,3.3,-0.358809917
97,3,2/8/24,12:00:00,5,29,27,12.15,603,3.3,-0.461327037
97,3,2/8/24,16:00:00,5,29,27,5.05,603,3.3,-0.191744982
97,3,2/8/24,9:00:00,6,0,27,-1.2,603,4.3,0.034967079
97,3,2/8/24,12:00:00,6,0,27,-4.85,603,4.3,0.141325279
97,3,2/8/24,16:00:00,6,0,27,3.15,603,4.3,-0.091788584
101,3,2/8/24,9:00:00,7,29,27,-11.8,603,3.025,0.488768488
101,3,2/8/24,13:00:00,7,29,27,0.25,603,3.025,-0.010355265
101,3,2/8/24,17:00:00,7,29,27,-13.85,603,3.025,0.573681657
101,3,2/8/24,9:00:00,8,0,27,12.95,603,4.405,-0.368358271
101,3,2/8/24,13:00:00,8,0,27,2.55,603,4.405,-0.072533868
101,3,2/8/24,17:00:00,8,0,27,0.05,603,4.405,-0.001422233
50,1,2/13/24,9:00:00,1,29,30,23.4,603,5.735,-0.511244919
50,1,2/13/24,12:00:00,1,29,30,52.35,603,5.735,-1.143746646
50,1,2/13/24,16:00:00,1,29,30,39.05,603,5.735,-0.853167269
50,1,2/13/24,9:00:00,2,0,30,33.75,603,6.005,-0.704218346
50,1,2/13/24,12:00:00,2,0,30,33.65,603,6.005,-0.702131773
50,1,2/13/24,16:00:00,2,0,30,2,603,6.005,-0.041731458
60,1,2/13/24,9:00:00,3,29,30,-1.05,603,6.055,0.021728098
60,1,2/13/24,13:00:00,3,29,30,25.9,603,6.055,-0.535959763
60,1,2/13/24,17:00:00,3,29,30,36.15,603,6.055,-0.748067391
60,1,2/13/24,9:00:00,4,0,30,11.9,603,5.015,-0.297318952
60,1,2/13/24,13:00:00,4,0,30,17.9,603,5.015,-0.447227668
60,1,2/13/24,17:00:00,4,0,30,-4,603,5.015,0.099939144
50,1,2/13/24,9:00:00,5,29,27,4.65,603,5.455,-0.106808242
50,1,2/13/24,12:00:00,5,29,27,59.85,603,5.455,-1.37472544
50,1,2/13/24,16:00:00,5,29,27,35.5,603,5.455,-0.815417763
50,1,2/13/24,9:00:00,6,0,27,12.45,603,5.845,-0.266889449
50,1,2/13/24,12:00:00,6,0,27,24.3,603,5.845,-0.520916756
50,1,2/13/24,16:00:00,6,0,27,5.2,603,5.845,-0.111471899
60,1,2/13/24,9:00:00,7,29,27,8.8,603,4.915,-0.224339486
60,1,2/13/24,13:00:00,7,29,27,-1.95,603,4.915,0.049711591
60,1,2/13/24,17:00:00,7,29,27,0.2,603,4.915,-0.005098625
60,1,2/13/24,9:00:00,8,0,27,-26.75,603,3.535,0.948158489
60,1,2/13/24,13:00:00,8,0,27,7.55,603,3.535,-0.267611088
60,1,2/13/24,17:00:00,8,0,27,-1.85,603,3.535,0.065573578
50,2,2/14/24,9:00:00,1,29,30,-18.45,603,5.735,0.403096955
50,2,2/14/24,12:00:00,1,29,30,0.45,603,5.735,-0.009831633
50,2,2/14/24,16:00:00,1,29,30,-3.7,603,5.735,0.080837872
50,2,2/14/24,9:00:00,2,0,30,1.15,603,6.005,-0.023995588
50,2,2/14/24,12:00:00,2,0,30,5.25,603,6.005,-0.109545076
50,2,2/14/24,16:00:00,2,0,30,-0.65,603,6.005,0.013562724
60,2,2/14/24,9:00:00,3,29,30,-3.3,603,6.055,0.06828831
60,2,2/14/24,13:00:00,3,29,30,-14.95,603,6.055,0.309366736
60,2,2/14/24,17:00:00,3,29,30,-3,603,6.055,0.062080281
60,2,2/14/24,9:00:00,4,0,30,-5,603,5.015,0.12492393
60,2,2/14/24,13:00:00,4,0,30,-0.25,603,5.015,0.006246196
60,2,2/14/24,17:00:00,4,0,30,-13.9,603,5.015,0.347288524
50,2,2/14/24,9:00:00,5,29,27,11.65,603,5.455,-0.267594843
50,2,2/14/24,12:00:00,5,29,27,25.35,603,5.455,-0.582277191
50,2,2/14/24,16:00:00,5,29,27,7.45,603,5.455,-0.171122883
50,2,2/14/24,9:00:00,6,0,27,-0.25,603,5.845,0.005359226
50,2,2/14/24,12:00:00,6,0,27,1.05,603,5.845,-0.022508749
50,2,2/14/24,16:00:00,6,0,27,5.2,603,5.845,-0.111471899
60,2,2/14/24,9:00:00,7,29,27,1.95,603,4.915,-0.049711591
60,2,2/14/24,13:00:00,7,29,27,-7.5,603,4.915,0.191198425
60,2,2/14/24,17:00:00,7,29,27,2.5,603,4.915,-0.063732808
60,2,2/14/24,9:00:00,8,0,27,-2.05,603,3.535,0.072662613
60,2,2/14/24,13:00:00,8,0,27,1.4,603,3.535,-0.049623248
60,2,2/14/24,17:00:00,8,0,27,5.25,603,3.535,-0.18608718
50,3,2/15/24,9:00:00,1,29,30,2.05,603,5.735,-0.044788551
50,3,2/15/24,12:00:00,1,29,30,6.85,603,5.735,-0.149659303
50,3,2/15/24,16:00:00,1,29,30,3.85,603,5.735,-0.084115083
50,3,2/15/24,9:00:00,2,0,30,-1.85,603,6.005,0.038601598
50,3,2/15/24,12:00:00,2,0,30,-6.45,603,6.005,0.134583951
50,3,2/15/24,16:00:00,2,0,30,-0.45,603,6.005,0.009389578
60,3,2/15/24,9:00:00,3,29,30,-0.9,603,6.055,0.018624084
60,3,2/15/24,13:00:00,3,29,30,-4.3,603,6.055,0.088981737
60,3,2/15/24,17:00:00,3,29,30,1.35,603,6.055,-0.027936127
60,3,2/15/24,9:00:00,4,0,30,-7.8,603,5.015,0.19488133
60,3,2/15/24,13:00:00,4,0,30,3.7,603,5.015,-0.092443708
60,3,2/15/24,17:00:00,4,0,30,20.7,603,5.015,-0.517185068
50,3,2/15/24,9:00:00,5,29,27,5.9,603,5.455,-0.135520135
50,3,2/15/24,12:00:00,5,29,27,9.2,603,5.455,-0.211319533
50,3,2/15/24,16:00:00,5,29,27,7.35,603,5.455,-0.168825931
50,3,2/15/24,9:00:00,6,0,27,-2.5,603,5.845,0.053592259
50,3,2/15/24,12:00:00,6,0,27,0.05,603,5.845,-0.001071845
50,3,2/15/24,16:00:00,6,0,27,4.6,603,5.845,-0.098609756
60,3,2/15/24,9:00:00,7,29,27,7.3,603,4.915,-0.186099801
60,3,2/15/24,13:00:00,7,29,27,14.1,603,4.915,-0.359453039
60,3,2/15/24,17:00:00,7,29,27,1.2,603,4.915,-0.030591748
60,3,2/15/24,9:00:00,8,0,27,4.25,603,3.535,-0.150642003
60,3,2/15/24,13:00:00,8,0,27,2.9,603,3.535,-0.102791014
60,3,2/15/24,17:00:00,8,0,27,4.6,603,3.535,-0.163047815
67,1,4/2/24,9:00:00,1,29,30,0.2,603,8.97,-0.002793728
67,1,4/2/24,12:00:00,1,29,30,-21.95,603,8.97,0.306611649
67,1,4/2/24,16:00:00,1,29,30,5.5,603,8.97,-0.07682752
67,1,4/2/24,9:00:00,2,0,30,-54.8,603,7.13,0.963025082
67,1,4/2/24,13:00:00,2,0,30,2.6,603,7.13,-0.045690971
67,1,4/2/24,17:00:00,2,0,30,-4.4,603,7.13,0.077323182
67,1,4/2/24,9:00:00,3,29,30,-10.4,603,8.25,0.157952302
67,1,4/2/24,12:00:00,3,29,30,16.8,603,8.25,-0.255153719
67,1,4/2/24,16:00:00,3,29,30,-33.35,603,8.25,0.506510508
67,1,4/2/24,9:00:00,4,0,30,-0.7,603,8.35,0.010504083
67,1,4/2/24,13:00:00,4,0,30,38.35,603,8.35,-0.575473676
67,1,4/2/24,17:00:00,4,0,30,3.75,603,8.35,-0.056271872
80,1,4/2/24,9:00:00,5,29,27,5.85,603,8.92,-0.082174597
80,1,4/2/24,12:00:00,5,29,27,18.6,603,8.92,-0.261273077
80,1,4/2/24,16:00:00,5,29,27,-65.05,603,8.92,0.913753421
80,1,4/2/24,9:00:00,6,0,27,-66.4,603,10.77,0.772500814
80,1,4/2/24,13:00:00,6,0,27,32.3,603,10.77,-0.375779763
80,1,4/2/24,17:00:00,6,0,27,-7.75,603,10.77,0.090163875
80,1,4/2/24,9:00:00,7,29,27,37.9,603,9.71,-0.489064962
80,1,4/2/24,12:00:00,7,29,27,33.7,603,9.71,-0.434867789
80,1,4/2/24,16:00:00,7,29,27,46.3,603,9.71,-0.597459307
80,1,4/2/24,9:00:00,8,0,27,9.65,603,7.78,-0.155415484
80,1,4/2/24,13:00:00,8,0,27,-0.9,603,7.78,0.014494708
80,1,4/2/24,17:00:00,8,0,27,9.35,603,7.78,-0.150583915
67,2,4/3/24,9:00:00,1,29,30,-13.25,603,8.97,0.185084481
67,2,4/3/24,12:00:00,1,29,30,-1.85,603,8.97,0.025841984
67,2,4/3/24,16:00:00,1,29,30,-4.6,603,8.97,0.064255744
67,2,4/3/24,9:00:00,2,0,30,-48.3,603,7.13,0.848797654
67,2,4/3/24,13:00:00,2,0,30,-14.6,603,7.13,0.256572376
67,2,4/3/24,17:00:00,2,0,30,5.55,603,7.13,-0.09753265
67,2,4/3/24,9:00:00,3,29,30,7.55,603,8.25,-0.114667296
67,2,4/3/24,12:00:00,3,29,30,-25.7,603,8.25,0.390324439
67,2,4/3/24,16:00:00,3,29,30,-0.85,603,8.25,0.012909563
67,2,4/3/24,9:00:00,4,0,30,7.2,603,8.35,-0.108041994
67,2,4/3/24,13:00:00,4,0,30,-3.3,603,8.35,0.049519247
67,2,4/3/24,17:00:00,4,0,30,2.65,603,8.35,-0.039765456
80,2,4/3/24,9:00:00,5,29,27,17.75,603,8.92,-0.249333178
80,2,4/3/24,12:00:00,5,29,27,8.05,603,8.92,-0.113077864
80,2,4/3/24,16:00:00,5,29,27,-1,603,8.92,0.01404694
80,2,4/3/24,9:00:00,6,0,27,-87.65,603,10.77,1.019724343
80,2,4/3/24,13:00:00,6,0,27,-1.8,603,10.77,0.020941287
80,2,4/3/24,17:00:00,6,0,27,-16.9,603,10.77,0.196615418
80,2,4/3/24,9:00:00,7,29,27,-0.75,603,9.71,0.009678067
80,2,4/3/24,12:00:00,7,29,27,-7.35,603,9.71,0.094845052
80,2,4/3/24,16:00:00,7,29,27,-7.45,603,9.71,0.096135461
80,2,4/3/24,9:00:00,8,0,27,10.6,603,7.78,-0.170715454
80,2,4/3/24,13:00:00,8,0,27,5.2,603,7.78,-0.083747204
80,2,4/3/24,17:00:00,8,0,27,-11.2,603,7.78,0.180378593
67,3,4/4/24,9:00:00,1,29,30,-28.7,603,8.97,0.40089997
67,3,4/4/24,12:00:00,1,29,30,-32.4,603,8.97,0.452583938
67,3,4/4/24,16:00:00,1,29,30,-31.5,603,8.97,0.440012162
67,3,4/4/24,9:00:00,2,0,30,-79.65,603,7.13,1.399725324
67,3,4/4/24,13:00:00,2,0,30,19.85,603,7.13,-0.34883299
67,3,4/4/24,17:00:00,2,0,30,14.45,603,7.13,-0.253936358
67,3,4/4/24,9:00:00,3,29,30,0.8,603,8.25,-0.012150177
67,3,4/4/24,12:00:00,3,29,30,1.5,603,8.25,-0.022781582
67,3,4/4/24,16:00:00,3,29,30,-1.7,603,8.25,0.025819126
67,3,4/4/24,9:00:00,4,0,30,24,603,8.35,-0.36013998
67,3,4/4/24,13:00:00,4,0,30,15.8,603,8.35,-0.237092153
67,3,4/4/24,17:00:00,4,0,30,0.65,603,8.35,-0.009753791
80,3,4/4/24,9:00:00,5,29,27,15.7,603,8.92,-0.220536952
80,3,4/4/24,12:00:00,5,29,27,4.7,603,8.92,-0.066020616
80,3,4/4/24,16:00:00,5,29,27,8.15,603,8.92,-0.114482558
80,3,4/4/24,9:00:00,6,0,27,55.7,603,10.77,-0.648016496
80,3,4/4/24,13:00:00,6,0,27,2.35,603,10.77,-0.027340014
80,3,4/4/24,17:00:00,6,0,27,-5,603,10.77,0.058170242
80,3,4/4/24,9:00:00,7,29,27,-0.85,603,9.71,0.010968475
80,3,4/4/24,12:00:00,7,29,27,0.5,603,9.71,-0.006452044
