Rec.Trial,Trial,Recovery Phase,Genotype,Treatment,Coral ID,Replicate,alpha,ETRm,Fv/Fm,Y(NPQ)
3.8,7,0,97,NT,97-4,2,0.174,66.176,0.659,0.266
3.8,7,0,97,0,97-9,1,0.23,78.983,0.665,0.257
3.8,7,0,97,0,97-9,2,0.213,89.602,0.651,0.322
3.8,7,0,97,T,97-6,1,0.238,76.476,0.692,0.22
3.8,7,0,97,T,97-6,2,0.222,67.641,0.668,0.309
1.rt10,7,1,101,T,101-13,1,0.209,90.693,0.702,0.223
1.rt10,7,1,101,NT,101-12,1,0.201,88.51,0.7,0.224
1.rt10,7,1,101,0,101-15,1,0.251,92.213,0.706,0.184
1.rt10,7,1,101,N,101-6,1,0.262,89.842,0.703,0.203
1.rt10,7,1,97,T,97-6,1,0.246,103.23,0.655,0.252
1.rt10,7,1,97,NT,97-4,1,0.242,91.446,0.677,0.251
1.rt10,7,1,97,0,97-9,1,0.245,79.446,0.669,0.281
1.rt10,7,1,97,N,97-8,1,0.189,90.36,0.687,0.271
4-Jan,7,2,97,N,97-8,1,0.269,82.697,0.707,0.332
4-Jan,7,2,97,T,97-6,1,0.281,84.117,0.709,0.314
4-Jan,7,2,97,NT,97-4,1,0.278,88.129,0.704,0.308
4-Jan,7,2,97,0,97-9,1,0.272,78.49,0.701,0.337
4-Jan,7,2,101,0,101-15,1,0.257,72.967,0.693,0.308
4-Jan,7,2,101,N,101-6,1,0.197,72.043,0.665,0.33
,7,2,101,T,101-13,1,0.256,75.588,0.681,0.305
,7,2,101,NT,101-12,1,0.253,72.429,0.68,0.331
4.6,7,3,97,NT,97-4,1,0.228,59.133,0.624,0.33
4.6,7,3,97,T,97-6,1,0.174,57.218,0.617,0.315
4.6,7,3,97,N,97-8,1,0.211,61.789,0.626,0.321
4.6,7,3,97,0,97-9,1,0.175,57.164,0.63,0.323
4.6,7,3,101,N,101-6,1,0.218,54.914,0.611,0.31
4.6,7,3,101,NT,101-12,1,0.237,56.116,0.654,0.287
4.6,7,3,101,T,101-13,1,0.244,60.302,0.656,0.27
4.6,7,3,101,0,101-15,1,0.248,54.215,0.663,0.272
4.7,7,4,101,T,101-13,1,0.077,14.183,0.487,0.401
4.7,7,4,101,0,101-15,1,0.057,14.126,0.414,0.376
4.7,7,4,101,NT,101-12,1,0.083,14.444,0.477,0.404
4.7,7,4,101,N,101-6,1,0.07,20.298,0.357,0.328
4.7,7,4,97,0,97-9,1,0.051,15.321,0.47,0.321
4.7,7,4,97,T,97-6,1,0.052,19.108,0.463,0.354
4.7,7,4,97,NT,97-4,1,0.06,21.289,0.501,0.419
4.7,7,4,97,N,97-8,1,0.061,19.199,0.502,0.402
,8,a,60,0,60-1,1,0.265,196.736,0.681,0.211
,8,a,60,0,60-1,2,0.263,177.737,0.627,0.245
,8,a,60,NT,60-8,1,0.251,193.231,0.68,0.244
,8,a,60,NT,60-8,2,0.242,227.71,0.654,0.215
,8,a,60,T,60-9,1,0.25,174.226,0.641,0.25
,8,a,60,T,60-9,2,0.249,160.718,0.653,0.249
,8,a,60,N,60-7,1,0.248,153.696,0.643,0.271
,8,a,60,N,60-7,2,0.248,159.566,0.659,0.276
,8,a,50,0,50-10,1,0.236,132.322,0.646,0.219
,8,a,50,0,50-10,2,0.252,144.815,0.68,0.21
,8,a,50,T,50-9,1,0.25,134.468,0.665,0.193
,8,a,50,T,50-9,2,0.194,138.34,0.653,0.229
,8,a,50,NT,50-7,1,0.244,135.839,0.673,0.144
,8,a,50,NT,50-7,2,0.231,147.595,0.667,0.179
,8,a,50,N,50-8,1,0.199,146.724,0.645,0.163
,8,a,50,N,50-8,2,0.249,154.176,0.667,0.14
,8,0,60,N,60-7,1,0.223,133.795,0.671,0.339
,8,0,60,N,60-7,2,0.189,140.275,0.659,0.346
,8,0,50,0,50-10,1,0.244,124.605,0.661,0.254
,8,0,50,0,50-10,2,0.236,118.063,0.661,0.273
,8,0,60,NT,60-8,1,0.209,119.19,0.649,0.353
,8,0,60,NT,60-8,2,0.193,138.068,0.649,0.386
,8,0,60,0,60-1,1,0.183,134.645,0.657,0.348
,8,0,60,0,60-1,2,0.215,104.221,0.649,0.303
,8,0,60,T,60-9,1,0.213,110.776,0.642,0.37
,8,0,60,T,60-9,2,0.211,111.966,0.621,0.384
,8,0,50,T,50-9,1,0.198,109.96,0.677,0.267
,8,0,50,T,50-9,2,0.224,105.843,0.655,0.266
,8,0,50,N,50-8,1,0.173,121.641,0.66,0.223
,8,0,50,N,50-8,2,0.222,110.481,0.66,0.214
,8,0,50,NT,50-7,1,0.21,114.198,0.673,0.282
,8,0,50,NT,50-7,2,0.174,126.097,0.649,0.297
,8,1,50,0,50-10,1,0.209,138.415,0.704,0.156
,8,1,50,N,50-8,1,0.237,118.417,0.699,0.214
,8,1,50,T,50-9,1,0.214,113.399,0.703,0.178
,8,1,50,NT,50-7,1,0.246,111.776,0.684,0.22
,8,1,60,NT,60-8,1,0.23,117.889,0.673,0.321
,8,1,60,N,60-7,1,0.231,120.077,0.669,0.302
,8,1,60,T,60-9,1,0.23,78.745,0.692,0.252
,8,1,60,0,60-1,1,0.231,109.434,0.655,0.297
,8,2,50,NT,50-7,1,0.25,110.201,0.672,0.179
,8,2,50,N,50-8,1,0.256,133.294,0.701,0.209
,8,2,50,T,50-9,1,0.278,112.558,0.708,0.164
,8,2,50,0,50-10,1,0.262,109.891,0.733,0.159
,8,2,60,N,60-7,1,0.233,129.275,0.674,0.296
,8,2,60,NT,60-8,1,0.232,116.908,0.655,0.305
,8,2,60,T,60-9,1,0.289,162.423,0.692,0.236
,8,2,60,0,60-1,1,0.235,125.302,0.66,0.306
,8,3,50,NT,50-7,1,0.181,64.132,0.691,0.206
,8,3,50,N,50-8,1,0.176,61.592,0.712,0.243
,8,3,50,T,50-9,1,0.24,59.588,0.698,0.196
,8,3,50,0,50-10,1,0.241,61.636,0.712,0.17
,8,3,60,0,60-1,1,0.174,56.957,0.608,0.449
,8,3,60,N,60-7,1,0.144,61.571,0.652,0.446
,8,3,60,NT,60-8,1,0.2,58.1,0.636,0.393
,8,3,60,T,60-9,1,0.148,65.398,0.622,0.27
,8,4,,,,,,,,
,8,4,,,,,,,,
,8,4,,,,,,,,
,8,4,,,,,,,,
,8,4,,,,,,,,
,8,4,,,,,,,,
,8,4,,,,,,,,
,8,4,,,,,,,,
,10,a,80,0,80-18,1,0.235,95.718,0.666,0.374
,10,a,80,0,80-18,2,0.208,98.113,0.667,0.43
,10,a,80,x,80-17,1,0.238,107.948,0.689,0.328
,10,a,80,x,80-17,2,0.234,110.196,0.694,0.326
,10,a,80,T,80-16,1,0.234,90.742,0.705,0.287
,10,a,80,T,80-16,2,0.237,101.6,0.681,0.286
,10,a,80,NT,80-13,1,0.231,98.351,0.668,0.31
,10,a,80,NT,80-13,2,0.245,106.199,0.683,0.303
,10,a,80,N,80-22,1,0.235,101.313,0.689,0.305
,10,a,80,N,80-22,2,0.24,98.817,0.683,0.309
,10,a,67,T,67-18,1,0.272,69.827,0.673,0.185
,10,a,67,T,67-18,2,0.264,62.26,0.694,0.255
,10,a,67,N,67-15,1,0.195,66.502,0.652,0.251
,10,a,67,N,67-15,2,0.263,66.064,0.69,0.24
,10,a,67,x,67-13,1,0.254,74.378,0.685,0.239
,10,a,67,x,67-13,2,0.254,82.238,0.675,0.269
,10,a,67,0,67-11,1,0.194,65.867,0.67,0.236
,10,a,67,0,67-11,2,0.243,68.525,0.68,0.273
,10,a,67,NT,67-14,1,0.287,91.292,0.72,0.122
,10,a,67,NT,67-14,2,0.281,78.261,0.711,0.161
,10,0,80,0,80-18,1,0.24,103.287,0.652,0.321
,10,0,80,0,80-18,2,0.222,87.476,0.634,0.348
,10,0,80,N,80-22,1,0.189,98.665,0.664,0.323
,10,0,80,N,80-22,2,0.221,95.785,0.663,0.327
,10,0,80,T,80-16,1,0.217,80.142,0.664,0.363
,10,0,80,T,80-16,2,0.218,79.227,0.668,0.353
,10,0,80,NT,80-13,1,0.213,83.292,0.662,0.329
,10,0,80,NT,80-13,2,0.221,91.938,0.647,0.33
,10,0,67,0,67-11,1,0.25,74.325,0.704,0.251
,10,0,67,0,67-11,2,0.233,68.196,0.676,0.293
,10,0,67,N,67-15,1,0.179,83.925,0.674,0.276
,10,0,67,N,67-15,2,0.189,77.185,0.674,0.261
,10,0,67,T,67-18,1,0.248,64.92,0.706,0.259
,10,0,67,T,67-18,2,0.198,64.305,0.661,0.283
,10,0,67,NT,67-14,1,0.239,76.846,0.702,0.222
,10,0,67,NT,67-14,2,0.239,72.362,0.707,0.222
,10,1,67,NT,67-14,1,0.208,55.935,0.712,0.262
,10,1,67,N,67-15,1,0.18,54.921,0.646,0.23
,10,1,67,T,67-18,1,0.183,45.644,0.678,0.287
,10,1,67,0,67-11,1,0.198,54.119,0.703,0.225
,10,1,80,N,80-22,1,0.212,74.176,0.683,0.324
,10,1,80,NT,80-13,1,0.223,78.692,0.674,0.345
,10,1,80,T,80-16,1,0.17,59.062,0.697,0.329
,10,1,80,0,80-18,1,0.217,68.563,0.67,0.345
