"","Cycle","Chamber","MO2 no Background Correction","NA","NA","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1"
"50",62,1,-0.0196351938098786,1,1,1,51,0.018491855,"High Temp High NTU",84,"day",3,NA,""
"51",63,1,-0.017553083033355,1,1,1,52,0.019430259,"High Temp High NTU",84,"day",3,NA,""
"52",64,1,-0.0218102346079606,1,1,1,53,0.016783279,"High Temp High NTU",84,"day",3,NA,""
"53",65,1,-0.0198385461456483,1,1,1,54,0.018151024,"High Temp High NTU",84,"day",3,NA,""
"54",66,1,-0.0228728428009785,1,1,1,55,0.014702701,"High Temp High NTU",84,"day",3,NA,""
"55",67,1,-0.0167851736234557,1,1,1,56,0.020265285,"High Temp High NTU",84,"day",3,NA,""
"56",68,1,-0.00708451785991637,1,1,1,57,0.029047909,"High Temp High NTU",84,"day",3,NA,""
"57",69,1,-0.0129178207109866,1,1,1,58,0.024707591,"High Temp High NTU",84,"day",3,NA,""
"58",70,1,-0.016901767112994,1,1,1,59,0.021097051,"High Temp High NTU",84,"day",3,NA,""
"59",71,1,-0.0328431549038468,1,1,1,60,0.002853923,"High Temp High NTU",84,"day",3,NA,""
"60",72,1,-0.0396165829845944,1,1,1,61,-0.002410926,"High Temp High NTU",84,"night",3,NA,""
"61",73,1,-0.0399356492805551,1,1,1,62,0.000307884,"High Temp High NTU",84,"night",3,NA,""
"62",74,1,-0.0372531873314366,1,1,1,63,0.002042506,"High Temp High NTU",84,"night",3,NA,""
"63",75,1,-0.0368896691684857,1,1,1,64,0.001961334,"High Temp High NTU",84,"night",3,NA,""
"64",76,1,-0.033438627074965,1,1,1,65,0.004251464,"High Temp High NTU",84,"night",3,NA,""
"65",77,1,-0.0335892134831235,1,1,1,66,0.004250744,"High Temp High NTU",84,"night",3,NA,""
"66",78,1,-0.0347947789668858,1,1,1,67,0.003291294,"High Temp High NTU",84,"night",3,NA,""
"67",79,1,-0.0384063118420855,1,1,1,68,-0.004889538,"High Temp High NTU",84,"night",3,NA,""
"68",80,1,-0.053858073110046,1,1,1,69,-0.018050904,"High Temp High NTU",84,"night",3,NA,""
"69",81,1,-0.0535586572977342,1,1,1,70,-0.018099165,"High Temp High NTU",84,"night",3,NA,""
"70",82,1,-0.053338525542379,1,1,1,71,-0.017632581,"High Temp High NTU",84,"night",3,NA,""
"71",83,1,-0.0536778731293304,1,1,1,72,-0.017804259,"High Temp High NTU",84,"night",3,NA,""
