"","X.2","Cycle","Chamber","MO2.no.Background.Correction","NA.","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","Trial"
"133",62,76,2,-0.0326686836768252,2,65,-0.015917195,"High Temp  ",84,"night",3,NA,NA,6
"134",63,77,2,-0.0308253377784506,2,66,-0.013693972,"High Temp  ",84,"night",3,NA,NA,6
"135",64,78,2,-0.0318310070951003,2,67,-0.014562768,"High Temp  ",84,"night",3,NA,NA,6
"136",65,79,2,-0.0370451593868162,2,68,-0.022255597,"High Temp  ",84,"night",3,NA,NA,6
"137",66,80,2,-0.0536532751611028,2,69,-0.036832181,"High Temp  ",84,"night",3,NA,NA,6
"138",67,81,2,-0.0528010586368905,2,70,-0.037039888,"High Temp  ",84,"night",3,NA,NA,6
"139",68,82,2,-0.0545663412501796,2,71,-0.038737497,"High Temp  ",84,"night",3,NA,NA,6
"140",69,83,2,-0.0554539306828028,2,72,-0.040115215,"High Temp  ",84,"night",3,NA,NA,6
"141",1,12,3,-0.00372297149076493,3,1,0.007534907,"High Temp High NTU",90,"day",1,NA,NA,6
"142",2,13,3,-0.00673486115458927,3,2,0.006566707,"High Temp High NTU",90,"day",1,NA,NA,6
"143",3,14,3,-0.00644913764556076,3,3,0.007441314,"High Temp High NTU",90,"day",1,NA,NA,6
"144",4,15,3,-0.00434682050428385,3,4,0.009117081,"High Temp High NTU",90,"day",1,NA,NA,6
"145",5,16,3,-0.00407129961347064,3,5,0.008448084,"High Temp High NTU",90,"day",1,NA,NA,6
"146",6,18,3,-0.00685428783768911,3,7,0.005452196,"High Temp High NTU",90,"day",1,NA,NA,6
"147",7,19,3,-0.00609281807147608,3,8,0.006424824,"High Temp High NTU",90,"day",1,NA,NA,6
"148",8,20,3,-0.00641155490695307,3,9,0.006072431,"High Temp High NTU",90,"day",1,NA,NA,6
"149",9,21,3,-0.0101615174077077,3,10,0.003561213,"High Temp High NTU",90,"day",1,NA,NA,6
"150",10,23,3,-0.0113568878884776,3,12,0.001701228,"High Temp High NTU",90,"day",1,NA,NA,6
"151",11,24,3,-0.0398230311548269,3,13,-0.022102855,"High Temp High NTU",90,"night",1,NA,NA,6
"152",12,25,3,-0.0351081538403022,3,14,-0.01731615,"High Temp High NTU",90,"night",1,NA,NA,6
"153",13,26,3,-0.0328050381845727,3,15,-0.014705185,"High Temp High NTU",90,"night",1,NA,NA,6
"154",14,27,3,-0.0323362881800414,3,16,-0.014387529,"High Temp High NTU",90,"night",1,NA,NA,6
"155",15,28,3,-0.0436332198230145,3,17,-0.025685253,"High Temp High NTU",90,"night",1,NA,NA,6
"156",16,29,3,-0.0356259518047793,3,18,-0.017936605,"High Temp High NTU",90,"night",1,NA,NA,6
"157",17,30,3,-0.0363948846287351,3,19,-0.018419391,"High Temp High NTU",90,"night",1,NA,NA,6
"158",18,31,3,-0.035959135560147,3,20,-0.018060532,"High Temp High NTU",90,"night",1,NA,NA,6
"159",19,32,3,-0.0364167996717642,3,21,-0.018771021,"High Temp High NTU",90,"night",1,NA,NA,6
"160",20,33,3,-0.0360679982681477,3,22,-0.018239076,"High Temp High NTU",90,"night",1,NA,NA,6
"161",21,34,3,-0.036168133010073,3,23,-0.018509914,"High Temp High NTU",90,"night",1,NA,NA,6
"162",22,35,3,-0.0393575425072566,3,24,-0.024102178,"High Temp High NTU",90,"night",1,NA,NA,6
"163",23,36,3,-0.0237598179636235,3,25,-0.007857638,"High Temp High NTU",90,"day",2,NA,NA,6
"164",24,38,3,-0.0158015752627088,3,27,-0.002779073,"High Temp High NTU",90,"day",2,NA,NA,6
"165",25,39,3,-0.0168185935775361,3,28,-0.004079533,"High Temp High NTU",90,"day",2,NA,NA,6
"166",26,40,3,-0.0173236666445623,3,29,-0.004538306,"High Temp High NTU",90,"day",2,NA,NA,6
"167",27,41,3,-0.0148939258163723,3,30,-0.001552678,"High Temp High NTU",90,"day",2,NA,NA,6
"168",28,42,3,-0.0131383754272882,3,31,7.68509e-05,"High Temp High NTU",90,"day",2,NA,NA,6
"169",29,43,3,-0.0133816912256886,3,32,9.95494e-06,"High Temp High NTU",90,"day",2,NA,NA,6
"170",30,44,3,-0.0135847380936609,3,33,-0.000851309,"High Temp High NTU",90,"day",2,NA,NA,6
"171",31,45,3,-0.0132886423514676,3,34,0.00014961,"High Temp High NTU",90,"day",2,NA,NA,6
"172",32,46,3,-0.00590344777366949,3,35,0.006706082,"High Temp High NTU",90,"day",2,NA,NA,6
"173",33,47,3,-0.00901174394153915,3,36,0.004099774,"High Temp High NTU",90,"day",2,NA,NA,6
"174",34,48,3,-0.0207959070061375,3,37,-0.005021949,"High Temp High NTU",90,"night",2,NA,NA,6
"175",35,49,3,-0.0108930208957037,3,38,0.004236389,"High Temp High NTU",90,"night",2,NA,NA,6
"176",36,50,3,-0.0120193322497331,3,39,0.003007818,"High Temp High NTU",90,"night",2,NA,NA,6
"177",37,51,3,-0.0122989374120937,3,40,0.002499215,"High Temp High NTU",90,"night",2,NA,NA,6
"178",38,52,3,-0.0125905349154967,3,41,0.002273271,"High Temp High NTU",90,"night",2,NA,NA,6
"179",39,53,3,-0.0120883484570967,3,42,0.002855324,"High Temp High NTU",90,"night",2,NA,NA,6
"180",40,54,3,-0.0126854594726251,3,43,0.002185154,"High Temp High NTU",90,"night",2,NA,NA,6
"181",41,55,3,-0.0123688832410164,3,44,0.002638191,"High Temp High NTU",90,"night",2,NA,NA,6
"182",42,56,3,-0.0129875332621391,3,45,0.002108984,"High Temp High NTU",90,"night",2,NA,NA,6
"183",43,57,3,-0.012548411716353,3,46,0.002523152,"High Temp High NTU",90,"night",2,NA,NA,6
"184",44,58,3,-0.0130186057986564,3,47,0.002033844,"High Temp High NTU",90,"night",2,NA,NA,6
"185",45,59,3,-0.0127688863838109,3,48,0.002066427,"High Temp High NTU",90,"night",2,NA,NA,6
"186",46,60,3,-0.00687163904959487,3,49,0.006238826,"High Temp High NTU",90,"day",3,NA,NA,6
"187",47,61,3,-0.00816413051311584,3,50,0.005294651,"High Temp High NTU",90,"day",3,NA,NA,6
"188",48,62,3,-0.0128108198277476,3,51,0.001185349,"High Temp High NTU",90,"day",3,NA,NA,6
"189",49,63,3,-0.0116128974184918,3,52,0.001712531,"High Temp High NTU",90,"day",3,NA,NA,6
"190",50,64,3,-0.012649979889618,3,53,0.001357362,"High Temp High NTU",90,"day",3,NA,NA,6
"191",51,65,3,-0.00874453002776715,3,54,0.00536178,"High Temp High NTU",90,"day",3,NA,NA,6
"192",52,66,3,-0.0123635760402279,3,55,0.001289337,"High Temp High NTU",90,"day",3,NA,NA,6
"193",53,67,3,-0.00620733765943743,3,56,0.006892977,"High Temp High NTU",90,"day",3,NA,NA,6
"194",54,68,3,-0.00738830893210432,3,57,0.005706865,"High Temp High NTU",90,"day",3,NA,NA,6
"195",55,69,3,-0.0202149722580481,3,58,-0.005623674,"High Temp High NTU",90,"day",3,NA,NA,6
"196",56,70,3,-0.0196075934869476,3,59,-0.005681731,"High Temp High NTU",90,"day",3,NA,NA,6
"197",57,71,3,-0.000961542533728037,3,60,0.014536541,"High Temp High NTU",90,"day",3,NA,NA,6
"198",58,72,3,-0.0202545643817606,3,61,-0.005125599,"High Temp High NTU",90,"night",3,NA,NA,6
"199",59,73,3,-0.0209043796179551,3,62,-0.004708891,"High Temp High NTU",90,"night",3,NA,NA,6
"200",60,74,3,-0.0178819306501161,3,63,-0.001816714,"High Temp High NTU",90,"night",3,NA,NA,6
"201",61,75,3,-0.0161525587602138,3,64,-0.000572514,"High Temp High NTU",90,"night",3,NA,NA,6
"202",62,76,3,-0.0169252475604026,3,65,-0.001381932,"High Temp High NTU",90,"night",3,NA,NA,6
"203",63,77,3,-0.0170148312030419,3,66,-0.001344255,"High Temp High NTU",90,"night",3,NA,NA,6
"204",64,78,3,-0.0173201682300847,3,67,-0.00171154,"High Temp High NTU",90,"night",3,NA,NA,6
"205",65,79,3,-0.0242918563496766,3,68,-0.014720423,"High Temp High NTU",90,"night",3,NA,NA,6
"206",66,80,3,-0.0492824268302817,3,69,-0.03460354,"High Temp High NTU",90,"night",3,NA,NA,6
"207",67,81,3,-0.0499128659851256,3,70,-0.035639299,"High Temp High NTU",90,"night",3,NA,NA,6
"208",68,82,3,-0.048496295848253,3,71,-0.034311549,"High Temp High NTU",90,"night",3,NA,NA,6
"209",69,83,3,-0.0483792270313282,3,72,-0.03416357,"High Temp High NTU",90,"night",3,NA,NA,6
"210",1,12,4,-0.00990568545080749,4,1,0.032742776,"High Temp",90,"day",1,NA,NA,6
"211",2,13,4,-0.0177838912564636,4,2,0.025915413,"High Temp",90,"day",1,NA,NA,6
"212",3,14,4,-0.0210287696919671,4,3,0.022239337,"High Temp",90,"day",1,NA,NA,6
"213",4,15,4,-0.0181625812775853,4,4,0.024322264,"High Temp",90,"day",1,NA,NA,6
"214",5,16,4,-0.0185679977692927,4,5,0.023795148,"High Temp",90,"day",1,NA,NA,6
"215",6,18,4,-0.0132548148677502,4,7,0.028116941,"High Temp",90,"day",1,NA,NA,6
"216",7,19,4,-0.0144491047948327,4,8,0.027745622,"High Temp",90,"day",1,NA,NA,6
"217",8,20,4,-0.0154521632694699,4,9,0.026916606,"High Temp",90,"day",1,NA,NA,6
"218",9,21,4,-0.0259488051998538,4,10,0.016420649,"High Temp",90,"day",1,NA,NA,6
"219",10,23,4,-0.00926871032193338,4,12,0.033434036,"High Temp",90,"day",1,NA,NA,6
"220",11,24,4,-0.0190060311215821,4,13,0.026803698,"High Temp",90,"night",1,NA,NA,6
"221",12,25,4,-0.0176113942438351,4,14,0.028666166,"High Temp",90,"night",1,NA,NA,6
"222",13,26,4,-0.015960505939568,4,15,0.030406215,"High Temp",90,"night",1,NA,NA,6
"223",14,27,4,-0.0153357192910021,4,16,0.03093879,"High Temp",90,"night",1,NA,NA,6
"224",15,28,4,-0.0433765693258128,4,17,0.00266846,"High Temp",90,"night",1,NA,NA,6
"225",16,29,4,-0.0409525127118415,4,18,0.008342387,"High Temp",90,"night",1,NA,NA,6
"226",17,30,4,-0.0408643104683236,4,19,0.008619255,"High Temp",90,"night",1,NA,NA,6
"227",18,31,4,-0.0413472532927539,4,20,0.00815306,"High Temp",90,"night",1,NA,NA,6
"228",19,32,4,-0.0417268803622846,4,21,0.007248485,"High Temp",90,"night",1,NA,NA,6
"229",20,33,4,-0.0409348686991053,4,22,0.008351322,"High Temp",90,"night",1,NA,NA,6
"230",21,34,4,-0.0415161152005237,4,23,0.00750261,"High Temp",90,"night",1,NA,NA,6
"231",22,35,4,-0.0294486027436142,4,24,0.025855254,"High Temp",90,"night",1,NA,NA,6
"232",23,36,4,-0.00683965371891609,4,25,0.037784098,"High Temp",90,"day",2,NA,NA,6
"233",24,37,4,-0.0265325754465256,4,26,0.019798625,"High Temp",90,"day",2,NA,NA,6
"234",25,38,4,-0.0249261879651898,4,27,0.016198871,"High Temp",90,"day",2,NA,NA,6
"235",26,39,4,-0.0242976555711253,4,28,0.017447026,"High Temp",90,"day",2,NA,NA,6
"236",27,40,4,-0.0240729271241454,4,29,0.017803665,"High Temp",90,"day",2,NA,NA,6
"237",28,41,4,-0.025635537235694,4,30,0.015506017,"High Temp",90,"day",2,NA,NA,6
"238",29,42,4,-0.0269533158566096,4,31,0.013247201,"High Temp",90,"day",2,NA,NA,6
"239",30,43,4,-0.0251862130725467,4,32,0.016700351,"High Temp",90,"day",2,NA,NA,6
"240",31,44,4,-0.0245951261584736,4,33,0.016820484,"High Temp",90,"day",2,NA,NA,6
"241",32,45,4,-0.0226091423326837,4,34,0.017973413,"High Temp",90,"day",2,NA,NA,6
"242",33,46,4,-0.00645026803109814,4,35,0.034979047,"High Temp",90,"day",2,NA,NA,6
"243",34,47,4,-0.00944323966837078,4,36,0.033330329,"High Temp",90,"day",2,NA,NA,6
"244",35,48,4,-0.0212429521122922,4,37,0.024592014,"High Temp",90,"night",2,NA,NA,6
"245",36,49,4,-0.0192277658567908,4,38,0.02632631,"High Temp",90,"night",2,NA,NA,6
"246",37,50,4,-0.0184521033502838,4,39,0.027207626,"High Temp",90,"night",2,NA,NA,6
"247",38,51,4,-0.0183352497357609,4,40,0.027267928,"High Temp",90,"night",2,NA,NA,6
"248",39,52,4,-0.0187575327762115,4,41,0.026759111,"High Temp",90,"night",2,NA,NA,6
"249",40,53,4,-0.018554221168804,4,42,0.027080036,"High Temp",90,"night",2,NA,NA,6
"250",41,54,4,-0.0189201025526994,4,43,0.026296113,"High Temp",90,"night",2,NA,NA,6
"251",42,55,4,-0.0188331828866002,4,44,0.026629505,"High Temp",90,"night",2,NA,NA,6
"252",43,56,4,-0.0195939348494156,4,45,0.025782571,"High Temp",90,"night",2,NA,NA,6
"253",44,57,4,-0.0195238491092016,4,46,0.025974036,"High Temp",90,"night",2,NA,NA,6
"254",45,58,4,-0.0192896536380043,4,47,0.026310896,"High Temp",90,"night",2,NA,NA,6
"255",46,59,4,-0.0195336203667122,4,48,0.025881455,"High Temp",90,"night",2,NA,NA,6
"256",47,60,4,-0.00813339297549763,4,49,0.035035787,"High Temp",90,"day",3,NA,NA,6
"257",48,61,4,-0.00368964773416851,4,50,0.038878566,"High Temp",90,"day",3,NA,NA,6
"258",49,62,4,-0.00541655786721422,4,51,0.037166062,"High Temp",90,"day",3,NA,NA,6
"259",50,63,4,-0.00460458116702396,4,52,0.037387082,"High Temp",90,"day",3,NA,NA,6
"260",51,64,4,-0.00550561870486899,4,53,0.036899006,"High Temp",90,"day",3,NA,NA,6
"261",52,65,4,-0.00710739220584118,4,54,0.036073781,"High Temp",90,"day",3,NA,NA,6
"262",53,66,4,-0.00862138459990442,4,55,0.034054823,"High Temp",90,"day",3,NA,NA,6
