"","Cycle","Chamber","MO2 no Background Correction","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","X.3","X.4","Trial"
"22",34,7,0.00579435208281155,7,24,0.008543409,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"23",35,7,0.00109472350591884,7,25,0.010083805,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"24",36,7,0.00477145613337524,7,26,0.031654097,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"25",37,7,0.00278373765375412,7,27,0.024333325,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"26",38,7,-0.0120777890870296,7,28,0.020907481,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"27",39,7,0.00171033084037554,7,29,0.027578343,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"28",41,7,0.00144314982627103,7,31,0.025534833,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"29",42,7,0.00938069020181419,7,32,0.029047721,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"30",44,7,-5.05319439393474e-05,7,34,0.02684619,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"31",45,7,0.013119026877275,7,35,0.032262411,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"32",47,7,-0.00243810273113965,7,37,0.029963503,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"33",48,7,0.00799318534045526,7,38,0.022738068,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"34",49,7,0.00629954598985409,7,39,0.009145794,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"35",50,7,0.00689729406071821,7,40,0.014312917,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"36",51,7,0.0116048866024781,7,41,0.02382673,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"37",52,7,0.00190664668689061,7,42,0.006502369,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"38",53,7,0.00657332838876006,7,43,0.013861482,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"39",54,7,0.0139943255995823,7,44,0.022736751,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"40",55,7,-0.000147961330894793,7,45,0.004178486,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"41",56,7,0.00583361083111701,7,46,0.013158571,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"42",57,7,0.0138978252216342,7,47,0.019599588,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"43",58,7,-0.000362568329529708,7,48,0.003225316,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"44",59,7,0.00829869419949908,7,49,0.011819649,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"45",60,7,0.0119984440168096,7,50,0.023375321,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"46",61,7,-0.00599192209245381,7,51,0.01450044,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"47",62,7,0.000783255796762777,7,52,0.021358868,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"48",63,7,0.000558961340437409,7,53,0.023728964,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"49",64,7,-0.00675599851498223,7,54,0.027252657,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"50",65,7,-0.00605806172422747,7,55,0.015891258,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"51",66,7,0.00144240434861376,7,56,0.018959135,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"52",68,7,0.00172612509585421,7,58,0.019007489,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"53",69,7,0.00280606158336466,7,59,0.023328075,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"54",71,7,-0.00423214047991401,7,61,0.017738887,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"55",72,7,0.004789834235648,7,62,0.006637948,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"56",73,7,0.00203842529083867,7,63,0.018630145,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"57",74,7,0.00593691772737874,7,64,0.010900973,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"58",75,7,0.00661519985765398,7,65,0.011247167,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"59",76,7,0.00224049748502537,7,66,0.020091842,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"60",77,7,0.006489403408759,7,67,0.010577681,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"61",78,7,0.00671416241793647,7,68,0.010383094,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"62",79,7,0.0107565973709613,7,69,0.019506868,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"63",80,7,0.00695127194597334,7,70,0.00493278,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"64",81,7,0.00700145392328238,7,71,0.010115111,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"65",82,7,0.015587409186931,7,72,0.015489505,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
