,Hour,Chamber,MO2 no Background Correction,NA,Cycle,MO2,Treatment,Genotype,Time.of.Day,Day.of.Exp,X,X.1,X.2,X.3,X.4,Trial
58,61,4,-0.026737099,4,71,0.004838496,High Temp,60,night,3,NA,NA,NA,NA,,8
59,62,4,-0.005264387,4,72,-0.00979434,High Temp,60,night,3,NA,NA,NA,NA,,8
60,63,4,-0.008353475,4,73,0.013517507,High Temp,60,night,3,NA,NA,NA,NA,,8
61,64,4,-0.019811527,4,74,0.010431403,High Temp,60,night,3,NA,NA,NA,NA,,8
62,65,4,-0.006097979,4,75,-0.002092522,High Temp,60,night,3,NA,NA,NA,NA,,8
63,66,4,-0.005926562,4,76,0.012649089,High Temp,60,night,3,NA,NA,NA,NA,,8
64,67,4,-0.00587561,4,77,0.012864209,High Temp,60,night,3,NA,NA,NA,NA,,8
65,68,4,-0.007277947,4,78,0.012854242,High Temp,60,night,3,NA,NA,NA,NA,,8
66,69,4,-0.008429337,4,79,0.011176554,High Temp,60,night,3,NA,NA,NA,NA,,8
67,7,4,-0.010663251,4,17,0.004157573,High Temp,60,day,1,NA,NA,NA,NA,,8
68,70,4,-0.009280472,4,80,0.010000651,High Temp,60,night,3,NA,NA,NA,NA,,8
69,71,4,-0.007726917,4,81,0.009335632,High Temp,60,night,3,NA,NA,NA,NA,,8
70,72,4,-0.007226969,4,82,0.011506572,High Temp,60,night,3,NA,NA,NA,NA,,8
71,8,4,-0.016302211,4,18,0.007922648,High Temp,60,day,1,NA,NA,NA,NA,,8
72,9,4,-0.014376373,4,19,0.001873029,High Temp,60,day,1,NA,NA,NA,NA,,8
