"","X.3","Cycle","Chamber","MO2.no.Background.Correction","NA.","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","Trial"
"19",19,31,1,-0.019498247077555,1,19,-0.009112207,"High Temp High NTU",97,"night",1,NA,NA,"",7
"20",20,32,1,-0.0197739844583237,1,20,-0.009385635,"High Temp High NTU",97,"night",1,NA,NA,"",7
"21",21,33,1,-0.0196172613961551,1,21,-0.009230224,"High Temp High NTU",97,"night",1,NA,NA,"",7
"22",22,34,1,-0.0194428710286089,1,22,-0.009057294,"High Temp High NTU",97,"night",1,NA,NA,"",7
"23",23,35,1,-0.019873607222336,1,23,-0.009484423,"High Temp High NTU",97,"night",1,NA,NA,"",7
"24",24,36,1,-0.020640992503687,1,24,-0.010245381,"High Temp High NTU",97,"night",1,NA,NA,"",7
"25",25,37,1,-0.0167249115419136,1,25,-0.006362098,"High Temp High NTU",97,"day",2,NA,NA,"",7
"26",26,38,1,-0.00849612375340589,1,26,0.001797772,"High Temp High NTU",97,"day",2,NA,NA,"",7
"27",27,39,1,-0.0060708042979933,1,27,0.004202779,"High Temp High NTU",97,"day",2,NA,NA,"",7
"28",28,40,1,-0.00476383368130682,1,28,0.005498803,"High Temp High NTU",97,"day",2,NA,NA,"",7
"29",29,41,1,-0.0151817903084403,1,29,-0.004831901,"High Temp High NTU",97,"day",2,NA,NA,"",7
"30",30,42,1,-0.00481264561825309,1,30,0.0054504,"High Temp High NTU",97,"day",2,NA,NA,"",7
"31",31,43,1,-0.0155053401283925,1,31,-0.005152741,"High Temp High NTU",97,"day",2,NA,NA,"",7
"32",32,44,1,-0.0144670461109326,1,32,-0.004123143,"High Temp High NTU",97,"day",2,NA,NA,"",7
"33",33,45,1,-0.0138539850188183,1,33,-0.003515216,"High Temp High NTU",97,"day",2,NA,NA,"",7
"34",34,46,1,-0.0127222184379836,1,34,-0.002392929,"High Temp High NTU",97,"day",2,NA,NA,"",7
"35",35,47,1,-0.0160267638378392,1,35,-0.005669798,"High Temp High NTU",97,"day",2,NA,NA,"",7
"36",36,48,1,-0.0142701254914689,1,36,-0.003927872,"High Temp High NTU",97,"day",2,NA,NA,"",7
"37",37,49,1,-0.0213242996302867,1,37,-0.010922966,"High Temp High NTU",97,"night",2,NA,NA,"",7
"38",38,50,1,-0.017602722134763,1,38,-0.007232557,"High Temp High NTU",97,"night",2,NA,NA,"",7
"39",39,51,1,-0.0189145866871333,1,39,-0.008533434,"High Temp High NTU",97,"night",2,NA,NA,"",7
"40",40,52,1,-0.01842945695692,1,40,-0.008052368,"High Temp High NTU",97,"night",2,NA,NA,"",7
"41",41,53,1,-0.0188600584276782,1,41,-0.008479363,"High Temp High NTU",97,"night",2,NA,NA,"",7
"42",42,54,1,-0.0186909329620671,1,42,-0.008311654,"High Temp High NTU",97,"night",2,NA,NA,"",7
"43",43,55,1,-0.0181771385750279,1,43,-0.007802163,"High Temp High NTU",97,"night",2,NA,NA,"",7
"44",44,56,1,-0.0176774408302602,1,44,-0.00730665,"High Temp High NTU",97,"night",2,NA,NA,"",7
"45",45,57,1,-0.018704926789046,1,45,-0.00832553,"High Temp High NTU",97,"night",2,NA,NA,"",7
"46",46,58,1,-0.0199874153196099,1,46,-0.009597278,"High Temp High NTU",97,"night",2,NA,NA,"",7
"47",47,59,1,-0.0183322367700808,1,47,-0.007955962,"High Temp High NTU",97,"night",2,NA,NA,"",7
"48",48,60,1,-0.0189906179038724,1,48,-0.008608829,"High Temp High NTU",97,"night",2,NA,NA,"",7
"49",49,61,1,-0.0166889456440526,1,49,-0.006326434,"High Temp High NTU",97,"day",3,NA,NA,"",7
"50",50,62,1,-0.00838877898565406,1,50,0.001904217,"High Temp High NTU",97,"day",3,NA,NA,"",7
"51",51,63,1,-0.0138076845878433,1,51,-0.003469304,"High Temp High NTU",97,"day",3,NA,NA,"",7
"52",52,64,1,-0.0159837729209325,1,52,-0.005627167,"High Temp High NTU",97,"day",3,NA,NA,"",7
"53",53,65,1,-0.0155135788587874,1,53,-0.005160911,"High Temp High NTU",97,"day",3,NA,NA,"",7
"54",54,66,1,-0.00583899901267478,1,54,0.004432642,"High Temp High NTU",97,"day",3,NA,NA,"",7
"55",55,67,1,-0.0129723521906451,1,55,-0.002640967,"High Temp High NTU",97,"day",3,NA,NA,"",7
"56",56,68,1,-0.0210003900471553,1,56,-0.010601769,"High Temp High NTU",97,"day",3,NA,NA,"",7
"57",57,69,1,-0.0427325877305141,1,57,-0.032151955,"High Temp High NTU",97,"day",3,NA,NA,"",7
"58",58,70,1,-0.0160860884879474,1,58,-0.005728625,"High Temp High NTU",97,"day",3,NA,NA,"",7
"59",59,71,1,-0.0128914285289534,1,59,-0.002560721,"High Temp High NTU",97,"day",3,NA,NA,"",7
"60",60,72,1,-0.0111296859634233,1,60,-0.000813734,"High Temp High NTU",97,"day",3,NA,NA,"",7
"61",61,73,1,-0.0182808155261483,1,61,-0.007904971,"High Temp High NTU",97,"night",3,NA,NA,"",7
"62",62,74,1,-0.0165733723551582,1,62,-0.006211828,"High Temp High NTU",97,"night",3,NA,NA,"",7
"63",63,75,1,-0.0160116226897628,1,63,-0.005654783,"High Temp High NTU",97,"night",3,NA,NA,"",7
"64",64,76,1,-0.0169256418986503,1,64,-0.006561147,"High Temp High NTU",97,"night",3,NA,NA,"",7
"65",65,77,1,-0.0160232288468821,1,65,-0.005666292,"High Temp High NTU",97,"night",3,NA,NA,"",7
"66",66,78,1,-0.016840510805674,1,66,-0.006476729,"High Temp High NTU",97,"night",3,NA,NA,"",7
"67",67,79,1,-0.0166682761411456,1,67,-0.006305937,"High Temp High NTU",97,"night",3,NA,NA,"",7
"68",68,80,1,-0.0170842216140821,1,68,-0.006718399,"High Temp High NTU",97,"night",3,NA,NA,"",7
"69",69,81,1,-0.0167597862243856,1,69,-0.006396681,"High Temp High NTU",97,"night",3,NA,NA,"",7
"70",70,82,1,-0.0170458170302205,1,70,-0.006680316,"High Temp High NTU",97,"night",3,NA,NA,"",7
"71",71,83,1,-0.0173544689322411,1,71,-0.006986383,"High Temp High NTU",97,"night",3,NA,NA,"",7
"72",72,84,1,-0.0166956729986709,1,72,-0.006333105,"High Temp High NTU",97,"night",3,NA,NA,"",7
"73",1,13,2,0.00020866929486485,2,1,0.011806587,"High Temp  ",97,"day",1,NA,NA,NA,7
"74",2,14,2,-0.00665875064071347,2,2,0.004996587,"High Temp  ",97,"day",1,NA,NA,NA,7
"75",3,15,2,-0.00489083123426008,2,3,0.006749725,"High Temp  ",97,"day",1,NA,NA,NA,7
"76",4,16,2,-0.00607406455986497,2,4,0.005576385,"High Temp  ",97,"day",1,NA,NA,NA,7
"77",5,17,2,-0.00689515999013189,2,5,0.004762155,"High Temp  ",97,"day",1,NA,NA,NA,7
"78",6,18,2,-0.00759587301998275,2,6,0.004067301,"High Temp  ",97,"day",1,NA,NA,NA,7
"79",7,19,2,-0.00746299939063822,2,7,0.004199063,"High Temp  ",97,"day",1,NA,NA,NA,7
"80",8,20,2,-0.00380299632496617,2,8,0.007828464,"High Temp  ",97,"day",1,NA,NA,NA,7
"81",9,21,2,-0.00934955006613205,2,9,0.002328286,"High Temp  ",97,"day",1,NA,NA,NA,7
"82",10,22,2,-0.00990838197880254,2,10,0.001774127,"High Temp  ",97,"day",1,NA,NA,NA,7
"83",11,23,2,-0.00707609794277637,2,11,0.00458273,"High Temp  ",97,"day",1,NA,NA,NA,7
"84",12,24,2,-0.00752730525275298,2,12,0.004135295,"High Temp  ",97,"day",1,NA,NA,NA,7
"85",13,25,2,-0.0212850373689073,2,13,-0.009507406,"High Temp  ",97,"night",1,NA,NA,NA,7
"86",14,26,2,-0.0182055271919356,2,14,-0.006453644,"High Temp  ",97,"night",1,NA,NA,NA,7
"87",15,27,2,-0.0187518575576034,2,15,-0.006995407,"High Temp  ",97,"night",1,NA,NA,NA,7
"88",16,28,2,-0.0188953767683993,2,16,-0.007137726,"High Temp  ",97,"night",1,NA,NA,NA,7
"89",17,29,2,-0.019208247481944,2,17,-0.007447981,"High Temp  ",97,"night",1,NA,NA,NA,7
"90",18,30,2,-0.0191556859569254,2,18,-0.007395858,"High Temp  ",97,"night",1,NA,NA,NA,7
"91",19,31,2,-0.0197347002608497,2,19,-0.007970032,"High Temp  ",97,"night",1,NA,NA,NA,7
"92",20,32,2,-0.0203278001825635,2,20,-0.008558172,"High Temp  ",97,"night",1,NA,NA,NA,7
"93",21,33,2,-0.0195698928442574,2,21,-0.007806602,"High Temp  ",97,"night",1,NA,NA,NA,7
"94",22,34,2,-0.0197271533130843,2,22,-0.007962548,"High Temp  ",97,"night",1,NA,NA,NA,7
"95",23,35,2,-0.0195472823669415,2,23,-0.007784181,"High Temp  ",97,"night",1,NA,NA,NA,7
"96",24,36,2,-0.0199801284972708,2,24,-0.008213408,"High Temp  ",97,"night",1,NA,NA,NA,7
"97",25,37,2,-0.00369411878375864,2,25,0.007936431,"High Temp  ",97,"day",2,NA,NA,NA,7
"98",26,38,2,-0.0114726772152265,2,26,0.000222911,"High Temp  ",97,"day",2,NA,NA,NA,7
"99",27,39,2,-0.0127303907075588,2,27,-0.001024286,"High Temp  ",97,"day",2,NA,NA,NA,7
"100",28,40,2,-0.0106949120836898,2,28,0.000994173,"High Temp  ",97,"day",2,NA,NA,NA,7
"101",29,41,2,-0.0114364786929446,2,29,0.000258807,"High Temp  ",97,"day",2,NA,NA,NA,7
"102",30,42,2,0.00125015972414509,2,30,0.01283937,"High Temp  ",97,"day",2,NA,NA,NA,7
"103",31,43,2,-0.0155470486325753,2,31,-0.003817394,"High Temp  ",97,"day",2,NA,NA,NA,7
"104",32,44,2,-0.01312599911544,2,32,-0.001416587,"High Temp  ",97,"day",2,NA,NA,NA,7
"105",33,45,2,-0.0146982591577796,2,33,-0.002975701,"High Temp  ",97,"day",2,NA,NA,NA,7
"106",34,46,2,-0.0160786642959069,2,34,-0.004344564,"High Temp  ",97,"day",2,NA,NA,NA,7
"107",35,47,2,-0.0138508163903732,2,35,-0.002135344,"High Temp  ",97,"day",2,NA,NA,NA,7
"108",36,48,2,-0.0142613194547962,2,36,-0.002542415,"High Temp  ",97,"day",2,NA,NA,NA,7
"109",37,49,2,-0.0268671338861594,2,37,-0.015042829,"High Temp  ",97,"night",2,NA,NA,NA,7
"110",38,50,2,-0.0234323892731003,2,38,-0.011636803,"High Temp  ",97,"night",2,NA,NA,NA,7
"111",39,51,2,-0.0245362178807536,2,39,-0.012731403,"High Temp  ",97,"night",2,NA,NA,NA,7
"112",40,52,2,-0.0239438531019406,2,40,-0.012143991,"High Temp  ",97,"night",2,NA,NA,NA,7
"113",41,53,2,-0.0232306103212918,2,41,-0.011436712,"High Temp  ",97,"night",2,NA,NA,NA,7
"114",42,54,2,-0.0227489562827006,2,42,-0.010959085,"High Temp  ",97,"night",2,NA,NA,NA,7
"115",43,55,2,-0.0231071616404723,2,43,-0.011314295,"High Temp  ",97,"night",2,NA,NA,NA,7
"116",44,56,2,-0.0231311843584613,2,44,-0.011338117,"High Temp  ",97,"night",2,NA,NA,NA,7
"117",45,57,2,-0.0237989991393662,2,45,-0.012000348,"High Temp  ",97,"night",2,NA,NA,NA,7
"118",46,58,2,-0.0234676733342126,2,46,-0.011671792,"High Temp  ",97,"night",2,NA,NA,NA,7
"119",47,59,2,-0.0245352537688205,2,47,-0.012730447,"High Temp  ",97,"night",2,NA,NA,NA,7
"120",48,60,2,-0.0241225908405639,2,48,-0.012321234,"High Temp  ",97,"night",2,NA,NA,NA,7
"121",49,61,2,-0.0142408061538471,2,49,-0.002522073,"High Temp  ",97,"day",3,NA,NA,NA,7
"122",50,62,2,-0.0161662832500722,2,50,-0.004431451,"High Temp  ",97,"day",3,NA,NA,NA,7
"123",51,63,2,-0.0165257131994766,2,51,-0.004787875,"High Temp  ",97,"day",3,NA,NA,NA,7
"124",52,64,2,-0.0156566526520449,2,52,-0.003926081,"High Temp  ",97,"day",3,NA,NA,NA,7
"125",53,65,2,-0.0156844463001696,2,53,-0.003953643,"High Temp  ",97,"day",3,NA,NA,NA,7
"126",54,66,2,-0.0153662875021481,2,54,-0.003638144,"High Temp  ",97,"day",3,NA,NA,NA,7
"127",55,67,2,-0.0171216201937677,2,55,-0.0053788,"High Temp  ",97,"day",3,NA,NA,NA,7
"128",56,68,2,-0.0157780114379736,2,56,-0.004046425,"High Temp  ",97,"day",3,NA,NA,NA,7
"129",57,69,2,-0.00995897569289143,2,57,0.001723956,"High Temp  ",97,"day",3,NA,NA,NA,7
"130",58,70,2,-0.0154115171214185,2,58,-0.003682995,"High Temp  ",97,"day",3,NA,NA,NA,7
"131",59,71,2,-0.0123934468780364,2,59,-0.00069016,"High Temp  ",97,"day",3,NA,NA,NA,7
"132",60,72,2,-0.0169274474749292,2,60,-0.005186251,"High Temp  ",97,"day",3,NA,NA,NA,7
"133",61,73,2,-0.0361454825324405,2,61,-0.0242436,"High Temp  ",97,"night",3,NA,NA,NA,7
"134",62,74,2,-0.0335488426072247,2,62,-0.021668671,"High Temp  ",97,"night",3,NA,NA,NA,7
"135",63,75,2,-0.0324322762656551,2,63,-0.02056144,"High Temp  ",97,"night",3,NA,NA,NA,7
"136",64,76,2,-0.0325063511975774,2,64,-0.020634896,"High Temp  ",97,"night",3,NA,NA,NA,7
"137",65,77,2,-0.0320540421112565,2,65,-0.020186369,"High Temp  ",97,"night",3,NA,NA,NA,7
"138",66,78,2,-0.0320560520688953,2,66,-0.020188362,"High Temp  ",97,"night",3,NA,NA,NA,7
"139",67,79,2,-0.0320540364514194,2,67,-0.020186363,"High Temp  ",97,"night",3,NA,NA,NA,7
"140",68,80,2,-0.0320312605192556,2,68,-0.020163778,"High Temp  ",97,"night",3,NA,NA,NA,7
"141",69,81,2,-0.0324454633524905,2,69,-0.020574517,"High Temp  ",97,"night",3,NA,NA,NA,7
"142",70,82,2,-0.0321934679878752,2,70,-0.020324629,"High Temp  ",97,"night",3,NA,NA,NA,7
"143",71,83,2,-0.0328773476761577,2,71,-0.021002791,"High Temp  ",97,"night",3,NA,NA,NA,7
"144",72,84,2,-0.0315786412547775,2,72,-0.019714943,"High Temp  ",97,"night",3,NA,NA,NA,7
"145",1,13,3,-0.00563727768835744,3,1,0.009854859,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"146",2,14,3,-0.0181828497688318,3,2,-0.002565257,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"147",3,15,3,-0.0249118690880666,3,3,-0.009226986,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"148",4,16,3,-0.0184314181057586,3,4,-0.00281134,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"149",5,17,3,-0.0200135050110566,3,5,-0.004377606,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"150",6,18,3,-0.0235178393783745,3,6,-0.007846897,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"151",7,19,3,-0.0226249665449969,3,7,-0.006962953,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"152",8,20,3,-0.0159443791397005,3,8,-0.000349171,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"153",9,21,3,-0.0158083609591987,3,9,-0.000214513,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"154",10,22,3,-0.0223863701160836,3,10,-0.006726742,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"155",11,23,3,-0.0140478798309143,3,11,0.001528363,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"156",12,24,3,-0.0213986341576312,3,12,-0.005748884,"High Temp High NTU",101,"day",1,NA,NA,NA,7
"157",13,25,3,-0.0512938721293606,3,13,-0.035345169,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"158",14,26,3,-0.0305719556221089,3,14,-0.014830472,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"159",15,27,3,-0.0352655339348749,3,15,-0.019477114,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"160",16,28,3,-0.0386253225144366,3,16,-0.022803305,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"161",17,29,3,-0.0401736954931764,3,17,-0.024336194,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"162",18,30,3,-0.0403986627374369,3,18,-0.024558912,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"163",19,31,3,-0.0445089711520928,3,19,-0.028628117,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"164",20,32,3,-0.0394732743527509,3,20,-0.023642778,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"165",21,33,3,-0.0385674349238313,3,21,-0.022745996,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"166",22,34,3,-0.0365991467654275,3,22,-0.020797391,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"167",23,35,3,-0.0390469347165439,3,23,-0.023220701,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"168",24,36,3,-0.0365966423625137,3,24,-0.020794912,"High Temp High NTU",101,"night",1,NA,NA,NA,7
"169",25,37,3,-0.018215284953482,3,25,-0.002597368,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"170",26,38,3,-0.0306822622577663,3,26,-0.014939676,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"171",27,39,3,-0.0284083651671762,3,27,-0.012688517,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"172",28,40,3,-0.0298193960251567,3,28,-0.014085438,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"173",29,41,3,-0.0296757349022488,3,29,-0.013943213,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"174",30,42,3,-0.00600156610442689,3,30,0.009494214,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"175",31,43,3,-0.0325322321266948,3,31,-0.016771146,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"176",32,44,3,-0.0348311686987968,3,32,-0.019047093,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"177",33,45,3,-0.0361413570361597,3,33,-0.020344179,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"178",34,46,3,-0.0355872525543268,3,34,-0.019795616,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"179",35,47,3,-0.0559468943595753,3,35,-0.039951661,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"180",36,48,3,-0.0268418412234377,3,36,-0.011137659,"High Temp High NTU",101,"day",2,NA,NA,NA,7
"181",37,49,3,-0.0561556010364444,3,37,-0.040158281,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"182",38,50,3,-0.0414191069907471,3,38,-0.025569152,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"183",39,51,3,-0.0494412641573137,3,39,-0.033511087,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"184",40,52,3,-0.0434652670549201,3,40,-0.02759485,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"185",41,53,3,-0.0458570538464975,3,41,-0.029962719,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"186",42,54,3,-0.0502586540033991,3,42,-0.034320303,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"187",43,55,3,-0.0477408712158661,3,43,-0.031827698,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"188",44,56,3,-0.0531098363920503,3,44,-0.037142974,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"189",45,57,3,-0.0453030076500718,3,45,-0.029414213,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"190",46,58,3,-0.0573160863760271,3,46,-0.041307161,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"191",47,59,3,-0.0514670118231259,3,47,-0.035516578,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"192",48,60,3,-0.0505696351977902,3,48,-0.034628175,"High Temp High NTU",101,"night",2,NA,NA,NA,7
"193",49,61,3,-0.0350988931018677,3,49,-0.01931214,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"194",50,62,3,-0.0457568112082807,3,50,-0.029863479,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"195",51,63,3,-0.0416828343337202,3,51,-0.025830242,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"196",52,64,3,-0.0489905361333178,3,52,-0.033064867,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"197",53,65,3,-0.040888466313805,3,53,-0.025043818,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"198",54,66,3,-0.0417180241670374,3,54,-0.02586508,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"199",55,67,3,-0.00913688772911974,3,55,0.006390245,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"200",56,68,3,-0.0329804793196383,3,56,-0.01721491,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"201",57,69,3,-0.0506879887061032,3,57,-0.034745345,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"202",58,70,3,-0.0623714548665093,3,58,-0.046311976,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"203",59,71,3,-0.0440234812263867,3,59,-0.028147482,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"204",60,72,3,-0.0451032480484279,3,60,-0.029216451,"High Temp High NTU",101,"day",3,NA,NA,NA,7
"205",61,73,3,-0.0673316185536146,3,61,-0.051222538,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"206",62,74,3,-0.0722043231055689,3,62,-0.056046516,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"207",63,75,3,-0.0703266883095688,3,63,-0.054187657,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"208",64,76,3,-0.0699065156079488,3,64,-0.053771686,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"209",65,77,3,-0.0629290318650419,3,65,-0.046863977,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"210",66,78,3,-0.0738625038453915,3,66,-0.057688115,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"211",67,79,3,-0.0816119102189072,3,67,-0.065360027,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"212",68,80,3,-0.0964420751031954,3,68,-0.08004189,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"213",69,81,3,-0.0799856390339606,3,69,-0.063750019,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"214",70,82,3,-0.0981297950488904,3,70,-0.081712733,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"215",71,83,3,-0.0737219712618043,3,71,-0.057548987,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"216",72,84,3,-0.0761151233517714,3,72,-0.059918208,"High Temp High NTU",101,"night",3,NA,NA,NA,7
"217",1,13,4,-0.00146458892490488,4,1,0.010257432,"High Temp",101,"day",1,NA,NA,NA,7
"218",2,14,4,-0.0123872913689844,4,2,-0.000556044,"High Temp",101,"day",1,NA,NA,NA,7
"219",3,15,4,-0.0139498605417074,4,3,-0.002102987,"High Temp",101,"day",1,NA,NA,NA,7
"220",4,16,4,-0.0183743632027593,4,4,-0.006483245,"High Temp",101,"day",1,NA,NA,NA,7
"221",5,17,4,-0.0226008146445686,4,5,-0.010667432,"High Temp",101,"day",1,NA,NA,NA,7
"222",6,18,4,-0.018515265100707,4,6,-0.006622738,"High Temp",101,"day",1,NA,NA,NA,7
"223",7,19,4,-0.015357673464925,4,7,-0.003496722,"High Temp",101,"day",1,NA,NA,NA,7
"224",8,20,4,-0.0129023764322473,4,8,-0.001065978,"High Temp",101,"day",1,NA,NA,NA,7
"225",9,21,4,-0.0107751187434423,4,9,0.001040007,"High Temp",101,"day",1,NA,NA,NA,7
"226",10,22,4,-0.0110066457870055,4,10,0.000810795,"High Temp",101,"day",1,NA,NA,NA,7
"227",11,23,4,-0.0071000936975027,4,11,0.004678282,"High Temp",101,"day",1,NA,NA,NA,7
"228",12,24,4,-0.0100269480007257,4,12,0.001780696,"High Temp",101,"day",1,NA,NA,NA,7
"229",13,25,4,-0.0220734343270385,4,13,-0.010145325,"High Temp",101,"night",1,NA,NA,NA,7
"230",14,26,4,-0.0204166898042941,4,14,-0.008505148,"High Temp",101,"night",1,NA,NA,NA,7
"231",15,27,4,-0.0199313576815947,4,15,-0.008024669,"High Temp",101,"night",1,NA,NA,NA,7
"232",16,28,4,-0.0199296055802352,4,16,-0.008022935,"High Temp",101,"night",1,NA,NA,NA,7
"233",17,29,4,-0.0203000776505913,4,17,-0.008389702,"High Temp",101,"night",1,NA,NA,NA,7
"234",18,30,4,-0.0195931889000861,4,18,-0.007689882,"High Temp",101,"night",1,NA,NA,NA,7
"235",19,31,4,-0.0193354239616028,4,19,-0.007434695,"High Temp",101,"night",1,NA,NA,NA,7
"236",20,32,4,-0.0194493395720926,4,20,-0.007547471,"High Temp",101,"night",1,NA,NA,NA,7
"237",21,33,4,-0.0194565852299611,4,21,-0.007554645,"High Temp",101,"night",1,NA,NA,NA,7
"238",22,34,4,-0.019916756990733,4,22,-0.008010215,"High Temp",101,"night",1,NA,NA,NA,7
"239",23,35,4,-0.0196417920353814,4,23,-0.007737999,"High Temp",101,"night",1,NA,NA,NA,7
"240",24,36,4,-0.0201809059667239,4,24,-0.008271722,"High Temp",101,"night",1,NA,NA,NA,7
"241",25,37,4,-0.00627234400459622,4,25,0.005497754,"High Temp",101,"day",2,NA,NA,NA,7
"242",26,38,4,-0.0317994250351428,4,26,-0.019774056,"High Temp",101,"day",2,NA,NA,NA,7
"243",27,39,4,-0.0328802377127712,4,27,-0.020844061,"High Temp",101,"day",2,NA,NA,NA,7
"244",28,40,4,-0.028036751526461,4,28,-0.016049009,"High Temp",101,"day",2,NA,NA,NA,7
