"","X","AutoResp.Cycle.Loop","Chamber","MO2.no.Background.Correction","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial"
"128",56,68,2,-0.0151830602637787,56,0.008576596,"29 NTU",67,"day",3,9
"129",57,69,2,-0.0173983506514389,57,0.00628066,"29 NTU",67,"day ",3,9
"130",58,70,2,-0.00454169794428655,58,0.019660714,"29 NTU",67,"day",3,9
"131",59,71,2,-0.00752537186280898,59,0.01655057,"29 NTU",67,"day ",3,9
"132",60,72,2,-0.0149567297193108,60,0.008815024,"29 NTU",67,"day",3,9
"133",61,73,2,-0.0383653807959709,61,-0.01553322,"29 NTU",67,"night",3,9
"134",62,74,2,-0.0376391564619514,62,-0.014774107,"29 NTU",67,"night",3,9
"135",63,75,2,-0.0377825251312646,63,-0.014930445,"29 NTU",67,"night",3,9
"136",64,76,2,-0.0389156734180226,64,-0.016106693,"29 NTU",67,"night",3,9
"137",65,77,2,-0.0489946857972202,65,-0.026611612,"29 NTU",67,"night",3,9
"138",66,78,2,-0.0503812502254852,66,-0.028048773,"29 NTU",67,"night",3,9
"139",67,79,2,-0.0472501635517124,67,-0.024792904,"29 NTU",67,"night",3,9
"140",68,80,2,-0.0460804672870495,68,-0.023574456,"29 NTU",67,"night",3,9
"141",69,81,2,-0.046557564120303,69,-0.024074395,"29 NTU",67,"night",3,9
"142",70,82,2,-0.0474869837916205,70,-0.02503769,"29 NTU",67,"night",3,9
"143",71,83,2,-0.0449509746451506,71,-0.022401176,"29 NTU",67,"night",3,9
"144",72,84,2,-0.0483187118859704,72,-0.025906377,"29 NTU",67,"night",3,9
"145",1,13,3,-0.0249425092042653,1,0.003596017,"15 NTU",67,"day",1,9
"146",2,14,3,-0.026281612641859,2,0.008804465,"15 NTU",67,"day",1,9
"147",3,15,3,-0.0190695394322414,3,0.016115691,"15 NTU",67,"day",1,9
"148",4,16,3,-0.00382815886437308,4,0.017183663,"15 NTU",67,"day",1,9
"149",5,17,3,-0.00462307010410618,5,0.015970522,"15 NTU",67,"day",1,9
"150",6,18,3,-0.00793890071762309,6,0.002003214,"15 NTU",67,"day",1,9
"151",7,19,3,-0.00613613196173095,7,0.007664502,"15 NTU",67,"day",1,9
"152",8,20,3,0.000442996656380534,8,0.017898861,"15 NTU",67,"day",1,9
"153",9,21,3,-0.0092885327563089,9,0.005204756,"15 NTU",67,"day",1,9
"154",10,22,3,-0.0704040497616992,10,0.01686338,"15 NTU",67,"day",1,9
"155",11,23,3,0.0520636821322357,11,0.007956426,"15 NTU",67,"day",1,9
"156",12,24,3,-0.00627021004921104,12,0.013401661,"15 NTU",67,"day",1,9
"157",13,25,3,-0.0115305971073059,13,-0.026644874,"15 NTU",67,"night",1,9
"158",14,26,3,-0.00903297980416497,14,-0.021808119,"15 NTU",67,"night",1,9
"159",15,27,3,-0.0124903443679115,15,-0.026789485,"15 NTU",67,"night",1,9
"160",16,28,3,-0.00981355612294581,16,-0.0235249,"15 NTU",67,"night",1,9
"161",17,29,3,-0.00798568166694534,17,-0.017464008,"15 NTU",67,"night",1,9
"162",18,30,3,-0.00866491757482865,18,-0.029639343,"15 NTU",67,"night",1,9
"163",19,31,3,-0.0068306591092507,19,-0.023964115,"15 NTU",67,"night",1,9
"164",20,32,3,-0.010067807194414,20,-0.025097595,"15 NTU",67,"night",1,9
"165",21,33,3,-0.00779941594236602,21,-0.025627165,"15 NTU",67,"night",1,9
"166",22,34,3,-0.00629877553514272,22,-0.017360483,"15 NTU",67,"night",1,9
"167",23,35,3,-0.00668553314036334,23,-0.029214161,"15 NTU",67,"night",1,9
"168",24,36,3,-0.00702706510295174,24,-0.024379237,"15 NTU",67,"night",1,9
"169",25,37,3,-0.00357839943919356,25,-0.007193226,"15 NTU",67,"day ",2,9
"170",26,38,3,-0.00319586825084575,26,-0.003446968,"15 NTU",67,"day",2,9
"171",27,39,3,-0.00459143368505981,27,0.006414424,"15 NTU",67,"day ",2,9
"172",28,40,3,-0.00488161202514406,28,0.01065123,"15 NTU",67,"day",2,9
"173",29,41,3,-0.00858338199029999,29,-0.006339047,"15 NTU",67,"day ",2,9
"174",30,42,3,-0.00166039624328331,30,0.009251743,"15 NTU",67,"day",2,9
"175",31,43,3,-0.0024232018092547,31,0.006452078,"15 NTU",67,"day ",2,9
"176",32,44,3,-0.00150115121686241,32,0.005997183,"15 NTU",67,"day",2,9
"177",33,45,3,-0.00563468707367002,33,0.013069284,"15 NTU",67,"day ",2,9
"178",34,46,3,-0.00360697009779373,34,0.01346956,"15 NTU",67,"day",2,9
"179",35,47,3,-0.00638426952985493,35,0.007936055,"15 NTU",67,"day ",2,9
"180",36,48,3,-0.00507574277398085,36,0.007995995,"15 NTU",67,"day",2,9
"181",37,49,3,-0.0101363399414935,37,-0.020448532,"15 NTU",67,"night ",2,9
"182",38,50,3,-0.0081415852193044,38,-0.02351264,"15 NTU",67,"night ",2,9
"183",39,51,3,-0.0110403011239006,39,-0.028518348,"15 NTU",67,"night ",2,9
"184",40,52,3,-0.009127051575119,40,-0.019715484,"15 NTU",67,"night ",2,9
"185",41,53,3,-0.0159049839441785,41,-0.038721222,"15 NTU",67,"night ",2,9
"186",42,54,3,-0.017145816168193,42,-0.036229252,"15 NTU",67,"night ",2,9
"187",43,55,3,-0.017884609306935,43,-0.039957429,"15 NTU",67,"night ",2,9
"188",44,56,3,-0.0170024017622265,44,-0.044150371,"15 NTU",67,"night ",2,9
"189",45,57,3,-0.0184211016934704,45,-0.043422594,"15 NTU",67,"night ",2,9
"190",46,58,3,-0.0186301355235511,46,-0.050092661,"15 NTU",67,"night ",2,9
"191",47,59,3,-0.0160114074560221,47,-0.041353759,"15 NTU",67,"night ",2,9
"192",48,60,3,-0.017458563170978,48,-0.043433546,"15 NTU",67,"night ",2,9
"193",49,61,3,0.0128855002682111,49,-0.002414377,"15 NTU",67,"day ",3,9
"194",50,62,3,-0.00150006429699203,50,-0.000362601,"15 NTU",67,"day",3,9
"195",51,63,3,-0.0137103561521284,51,-0.003013356,"15 NTU",67,"day ",3,9
"196",52,64,3,0.00194344515415147,52,0.001791863,"15 NTU",67,"day",3,9
"197",53,65,3,-0.00291929201394463,53,-0.00715728,"15 NTU",67,"day ",3,9
"198",54,66,3,-0.00369326599490247,54,0.001499977,"15 NTU",67,"day",3,9
"199",55,67,3,-0.00467572352433408,55,0.002282998,"15 NTU",67,"day ",3,9
"200",56,68,3,-0.00907683569655084,56,0.001871405,"15 NTU",67,"day",3,9
"201",57,69,3,-0.0124759635525501,57,-0.000895011,"15 NTU",67,"day ",3,9
"202",58,70,3,0.000511536728512293,58,0.015226858,"15 NTU",67,"day",3,9
"203",59,71,3,-0.00393060289348728,59,0.01147939,"15 NTU",67,"day ",3,9
"204",60,72,3,-0.00937740839137189,60,0.00215869,"15 NTU",67,"day",3,9
"205",61,73,3,-0.0222692991610313,61,-0.027178948,"15 NTU",67,"night",3,9
"206",62,74,3,-0.0137251402620103,62,-0.026264279,"15 NTU",67,"night",3,9
"207",63,75,3,-0.0165642778632013,63,-0.026452653,"15 NTU",67,"night",3,9
"208",64,76,3,-0.0157283180664263,64,-0.027869936,"15 NTU",67,"night",3,9
"209",65,77,3,-0.0229239478506571,65,-0.040527502,"15 NTU",67,"night",3,9
"210",66,78,3,-0.0224682995775086,66,-0.042259163,"15 NTU",67,"night",3,9
"211",67,79,3,-0.022719939736152,67,-0.038336108,"15 NTU",67,"night",3,9
"212",68,80,3,-0.022396983449052,68,-0.036867978,"15 NTU",67,"night",3,9
"213",69,81,3,-0.0221691265927493,69,-0.037470364,"15 NTU",67,"night",3,9
"214",70,82,3,-0.0233785662768613,70,-0.038631055,"15 NTU",67,"night",3,9
"215",71,83,3,-0.0218291355644712,71,-0.035454272,"15 NTU",67,"night",3,9
"216",72,84,3,-0.0235936821924054,72,-0.039677752,"15 NTU",67,"night",3,9
"217",1,13,4,-0.0101189249009903,1,0.030211576,"0 NTU",67,"day",1,9
"218",2,14,4,-0.00809133998336965,2,0.032336674,"0 NTU",67,"day",1,9
"219",3,15,4,-0.00594496785694276,3,0.034558327,"0 NTU",67,"day",1,9
"220",4,16,4,-0.00840792206745549,4,0.031989795,"0 NTU",67,"day",1,9
"221",5,17,4,-0.0164956488982955,5,0.023583797,"0 NTU",67,"day",1,9
"222",6,18,4,-0.0204795675419498,6,0.019428603,"0 NTU",67,"day",1,9
"223",7,19,4,-0.0165782083013037,7,0.023493099,"0 NTU",67,"day",1,9
"224",8,20,4,-0.010011086652273,8,0.030331746,"0 NTU",67,"day",1,9
"225",9,21,4,-0.0106453263886902,9,0.029672263,"0 NTU",67,"day",1,9
"226",10,22,4,-0.00904432806145309,10,0.031331196,"0 NTU",67,"day",1,9
"227",11,23,4,-0.00865147684086495,11,0.03174857,"0 NTU",67,"day",1,9
"228",12,24,4,-0.00993093598178696,12,0.030412554,"0 NTU",67,"day",1,9
"229",13,25,4,-0.0183436507185615,13,0.021661267,"0 NTU",67,"night",1,9
"230",14,26,4,-0.0164145990245214,14,0.023673742,"0 NTU",67,"night",1,9
"231",15,27,4,-0.0185534844907947,15,0.021438872,"0 NTU",67,"night",1,9
"232",16,28,4,-0.0177364288966863,16,0.022296618,"0 NTU",67,"night",1,9
"233",17,29,4,-0.0143056188845988,17,0.025861025,"0 NTU",67,"night",1,9
"234",18,30,4,-0.0168531541378681,18,0.023214139,"0 NTU",67,"night",1,9
"235",19,31,4,-0.0155472683457418,19,0.02457392,"0 NTU",67,"night",1,9
"236",20,32,4,-0.0187662473115858,20,0.021218704,"0 NTU",67,"night",1,9
"237",21,33,4,-0.0159232340371114,21,0.024184013,"0 NTU",67,"night",1,9
"238",22,34,4,-0.0148376631551062,22,0.025309236,"0 NTU",67,"night",1,9
"239",23,35,4,-0.0156696754434879,23,0.024444907,"0 NTU",67,"night",1,9
"240",24,36,4,-0.0161512865386726,24,0.023941401,"0 NTU",67,"night",1,9
"241",25,37,4,-0.0199734120489456,25,0.019949991,"0 NTU",67,"day ",2,9
"242",26,38,4,-0.0206904608655373,26,0.019206642,"0 NTU",67,"day",2,9
"243",27,39,4,-0.0216228845102075,27,0.018221624,"0 NTU",67,"day ",2,9
"244",28,40,4,-0.0199914971966883,28,0.019929302,"0 NTU",67,"day",2,9
"245",29,41,4,-0.0124040899058955,29,0.027833046,"0 NTU",67,"day ",2,9
"246",30,42,4,-0.00863096045812311,30,0.031765047,"0 NTU",67,"day",2,9
"247",31,43,4,-0.00890062824550334,31,0.031484034,"0 NTU",67,"day ",2,9
"248",32,44,4,-0.010222362553804,32,0.03010629,"0 NTU",67,"day",2,9
"249",33,45,4,-0.0123620149317322,33,0.02787899,"0 NTU",67,"day ",2,9
"250",34,46,4,-0.00759133325642065,34,0.032844666,"0 NTU",67,"day",2,9
"251",35,47,4,-0.0109913223278276,35,0.029307509,"0 NTU",67,"day ",2,9
"252",36,48,4,-0.0117470063569556,36,0.028519026,"0 NTU",67,"day",2,9
"253",37,49,4,-0.0201824390643738,37,0.019754668,"0 NTU",67,"night ",2,9
"254",38,50,4,-0.0170643438276797,38,0.022998663,"0 NTU",67,"night ",2,9
"255",39,51,4,-0.0194501154372795,39,0.020511334,"0 NTU",67,"night ",2,9
"256",40,52,4,-0.0179676102817012,40,0.022056113,"0 NTU",67,"night ",2,9
"257",41,53,4,-0.0359564017725164,41,0.003308993,"0 NTU",67,"night ",2,9
"258",42,54,4,-0.0483623295718174,42,-0.009588893,"0 NTU",67,"night ",2,9
"259",43,55,4,-0.0502304438768588,43,-0.011536975,"0 NTU",67,"night ",2,9
"260",44,56,4,-0.0509692570320438,44,-0.012309036,"0 NTU",67,"night ",2,9
"261",45,57,4,-0.0492751790353996,45,-0.010536931,"0 NTU",67,"night ",2,9
"262",46,58,4,-0.0529208582864686,46,-0.014338368,"0 NTU",67,"night ",2,9
"263",47,59,4,-0.0464595955281304,47,-0.007607792,"0 NTU",67,"night ",2,9
"264",48,60,4,-0.0471904105217907,48,-0.008355463,"0 NTU",67,"night ",2,9
"265",49,61,4,-0.0124834138253371,49,0.027751551,"0 NTU",67,"day ",3,9
"266",50,62,4,-0.0106483178923719,50,0.029665678,"0 NTU",67,"day",3,9
"267",51,63,4,-0.00614795851120486,51,0.034347247,"0 NTU",67,"day ",3,9
"268",52,64,4,-0.0117411395168391,52,0.028520418,"0 NTU",67,"day",3,9
"269",53,65,4,-0.0243148316323356,53,0.015432972,"0 NTU",67,"day ",3,9
"270",54,66,4,-0.0188823169879527,54,0.021090673,"0 NTU",67,"day",3,9
"271",55,67,4,-0.0213142671922512,55,0.018561682,"0 NTU",67,"day ",3,9
"272",56,68,4,-0.021260544964568,56,0.018611433,"0 NTU",67,"day",3,9
"273",57,69,4,-0.0144826337255024,57,0.025678545,"0 NTU",67,"day ",3,9
"274",58,70,4,-0.00598779892150504,58,0.034519355,"0 NTU",67,"day",3,9
"275",59,71,4,-0.0105491977052897,59,0.029765349,"0 NTU",67,"day ",3,9
"276",60,72,4,-0.0117055809089138,60,0.028565087,"0 NTU",67,"day",3,9
"277",61,73,4,-0.0218136786785134,61,0.018059228,"0 NTU",67,"night",3,9
"278",62,74,4,-0.0173961025068383,62,0.022652908,"0 NTU",67,"night",3,9
"279",63,75,4,-0.0181493763701669,63,0.021866784,"0 NTU",67,"night",3,9
"280",64,76,4,-0.0190486524326789,64,0.020931779,"0 NTU",67,"night",3,9
"281",65,77,4,-0.0412626210845898,65,-0.002207732,"0 NTU",67,"night",3,9
"282",66,78,4,-0.0451809601642,66,-0.006271675,"0 NTU",67,"night",3,9
"283",67,79,4,-0.0449140078310042,67,-0.006002075,"0 NTU",67,"night",3,9
"284",68,80,4,-0.0443522861254743,68,-0.00541105,"0 NTU",67,"night",3,9
"285",69,81,4,-0.0449494000352605,69,-0.006039378,"0 NTU",67,"night",3,9
"286",70,82,4,-0.0439326618660267,70,-0.004973805,"0 NTU",67,"night",3,9
"287",71,83,4,-0.0454049408281825,71,-0.006512735,"0 NTU",67,"night",3,9
"288",72,84,4,-0.0456292001573971,72,-0.006740409,"0 NTU",67,"night",3,9
"289",1,13,5,-0.00532238496165724,1,0.01409583,"29 NTU",80,"day",1,9
"290",2,14,5,0.00155698170457711,2,0.021250698,"29 NTU",80,"day",1,9
"291",3,15,5,-0.00625445467107021,3,0.013125344,"29 NTU",80,"day",1,9
"292",4,16,5,-0.00281242632824417,4,0.016703461,"29 NTU",80,"day",1,9
"293",5,17,5,-0.00655342914365178,5,0.012808851,"29 NTU",80,"day",1,9
"294",6,18,5,-0.0046543115148446,6,0.014792082,"29 NTU",80,"day",1,9
"295",7,19,5,-8.18698801992259e-05,7,0.019545916,"29 NTU",80,"day",1,9
"296",8,20,5,-5.35440823318116e-05,8,0.019581795,"29 NTU",80,"day",1,9
"297",9,22,5,-0.00825262296723895,10,0.011045961,"29 NTU",80,"day",1,9
"298",10,23,5,0.00234781846498703,11,0.022079747,"29 NTU",80,"day",1,9
"299",11,24,5,-0.0107019007059723,12,0.008495864,"29 NTU",80,"day",1,9
"300",12,25,5,-0.0160511347097678,13,0.002934131,"29 NTU",80,"night",1,9
"301",13,26,5,-0.0151301127086208,14,0.003888939,"29 NTU",80,"night",1,9
"302",14,27,5,-0.0165609236305956,15,0.002406593,"29 NTU",80,"night",1,9
"303",15,28,5,-0.0131590171512609,16,0.005945771,"29 NTU",80,"night",1,9
"304",16,29,5,-0.0151510198899907,17,0.003875978,"29 NTU",80,"night",1,9
"305",17,30,5,-0.0138612833486717,18,0.005215934,"29 NTU",80,"night",1,9
"306",18,31,5,-0.0170284645516312,19,0.001911925,"29 NTU",80,"night",1,9
"307",19,32,5,-0.0131844072276145,20,0.005920188,"29 NTU",80,"night",1,9
"308",20,33,5,-0.01054562088802,21,0.008665627,"29 NTU",80,"night",1,9
"309",21,34,5,-0.0182989420025588,22,0.000600769,"29 NTU",80,"night",1,9
"310",22,35,5,-0.0097667432709038,23,0.009477281,"29 NTU",80,"night",1,9
"311",23,36,5,-0.0177840694764219,24,0.001125761,"29 NTU",80,"night",1,9
"312",24,37,5,0.000327800253532899,25,0.019976415,"29 NTU",80,"day ",2,9
"313",25,38,5,0.00174491993844575,26,0.021451279,"29 NTU",80,"day",2,9
"314",26,39,5,-0.0082111951505202,27,0.011088952,"29 NTU",80,"day ",2,9
"315",27,40,5,0.00189404395542457,28,0.021603015,"29 NTU",80,"day",2,9
"316",28,41,5,-0.00879324772354701,29,0.010486149,"29 NTU",80,"day ",2,9
"317",29,43,5,-0.00504322658550905,31,0.014387368,"29 NTU",80,"day ",2,9
