"","Chamber","X.1","X","AutoResp.Cycle.Loop","MO2.no.Background.Correction","Hour","Treatment","Time.of.Day","Day","MO2","Genotype","Trial","Max.Dark.MO2","MO2.from.Dark.Max"
"36",1,36,36,48,-0.00061655967712607,36,50,"day",2,0.010940175,50,4,-0.0107941014534714,0.0101775417763453
"37",1,37,37,49,-0.0109966484009432,37,50,"night",2,0.000151246,50,4,-0.0107941014534714,-0.0002025469474718
"38",1,38,38,50,-0.0107941014534714,38,50,"night",2,0.000361537,50,4,-0.0107941014534714,0
"39",1,39,39,51,-0.01308478116935,39,50,"night",2,-0.002030524,50,4,-0.0107941014534714,-0.0022906797158786
"40",1,40,40,52,-0.0181008555367983,40,50,"night",2,-0.007243494,50,4,-0.0107941014534714,-0.0073067540833269
"41",1,41,41,53,-0.019136790284212,41,50,"night",2,-0.008322369,50,4,-0.0107941014534714,-0.0083426888307406
"42",1,42,42,54,-0.0160329311504375,42,50,"night",2,-0.005089905,50,4,-0.0107941014534714,-0.0052388296969661
"43",1,43,43,55,-0.0180163742565295,43,50,"night",2,-0.007155906,50,4,-0.0107941014534714,-0.0072222728030581
"44",1,44,44,56,-0.0147965584369488,44,50,"night",2,-0.00380426,50,4,-0.0107941014534714,-0.0040024569834774
"45",1,45,45,57,-0.0170453003351847,45,50,"night",2,-0.006145713,50,4,-0.0107941014534714,-0.0062511988817133
"46",1,46,46,58,-0.0138384174532363,46,50,"night",2,-0.002805368,50,4,-0.0107941014534714,-0.0030443159997649
"47",1,47,47,59,-0.0173659656327474,47,50,"night",2,-0.006478818,50,4,-0.0107941014534714,-0.006571864179276
"48",1,48,48,60,-0.0145375274508916,48,50,"night",2,-0.003533692,50,4,-0.0107941014534714,-0.0037434259974202
"49",1,49,49,61,0.00169992686267674,49,50,"day",3,0.01335327,50,4,-0.0107941014534714,0.0124940283161481
"50",1,50,50,62,0.0040418899171877,50,50,"day",3,0.015785466,50,4,-0.0107941014534714,0.0148359913706591
"51",1,51,51,63,-0.00542826304753305,51,50,"day",3,0.005927206,50,4,-0.0107941014534714,0.00536583840593835
"52",1,52,52,64,0.00198144591098211,52,50,"day",3,0.013647462,50,4,-0.0107941014534714,0.0127755473644535
"53",1,53,53,65,-0.00013612231072524,53,50,"day",3,0.011441022,50,4,-0.0107941014534714,0.0106579791427462
"54",1,54,54,66,0.0101867900873416,54,50,"day",3,0.022177716,50,4,-0.0107941014534714,0.020980891540813
"55",1,55,55,67,0.000908563765496663,55,50,"day",3,0.012525065,50,4,-0.0107941014534714,0.0117026652189681
"56",1,56,56,68,0.00933980751664397,56,50,"day",3,0.021300398,50,4,-0.0107941014534714,0.0201339089701154
"57",1,57,57,69,0.00170938482935727,57,50,"day",3,0.013361973,50,4,-0.0107941014534714,0.0125034862828287
"58",1,58,58,70,0.00276171191995632,58,50,"day",3,0.014449727,50,4,-0.0107941014534714,0.0135558133734277
"59",1,59,59,71,0.00374865945932755,59,50,"day",3,0.015482494,50,4,-0.0107941014534714,0.014542760912799
"60",1,60,60,72,-0.000634197876916395,60,50,"day",3,0.010917469,50,4,-0.0107941014534714,0.010159903576555
"61",1,61,61,73,-0.0299576059705666,61,50,"night",3,-0.019583546,50,4,-0.0107941014534714,-0.0191635045170952
"62",1,62,62,74,-0.0300883034534775,62,50,"night",3,-0.019719053,50,4,-0.0107941014534714,-0.0192942020000061
"63",1,63,63,75,-0.0253512381486993,63,50,"night",3,-0.014787761,50,4,-0.0107941014534714,-0.0145571366952279
"64",1,64,64,76,-0.0290170874650708,64,50,"night",3,-0.018605035,50,4,-0.0107941014534714,-0.0182229860115994
"65",1,65,65,77,-0.0257941837965926,65,50,"night",3,-0.015248267,50,4,-0.0107941014534714,-0.0150000823431212
"66",1,66,66,78,-0.028314123964011,66,50,"night",3,-0.017871136,50,4,-0.0107941014534714,-0.0175200225105396
"67",1,67,67,79,-0.0277628776027421,67,50,"night",3,-0.017300321,50,4,-0.0107941014534714,-0.0169687761492707
"68",1,68,68,80,-0.0260919483839872,68,50,"night",3,-0.015558733,50,4,-0.0107941014534714,-0.0152978469305158
"69",1,69,69,81,-0.0259692672029459,69,50,"night",3,-0.015433727,50,4,-0.0107941014534714,-0.0151751657494745
"70",1,70,70,82,-0.0240177330603507,70,50,"night",3,-0.013400279,50,4,-0.0107941014534714,-0.0132236316068793
"71",1,71,71,83,-0.0255325405826149,71,50,"night",3,-0.014979171,50,4,-0.0107941014534714,-0.0147384391291435
"72",2,72,1,13,-0.00443908819019584,1,29,"day",1,0.013660191,50,4,-0.00553594081387947,0.00109685262368363
"73",2,73,2,14,-0.00536498104311936,2,29,"day",1,0.012695658,50,4,-0.00553594081387947,0.00017095977076011
"74",2,74,3,15,-0.0104293175642347,3,29,"day",1,0.007419795,50,4,-0.00553594081387947,-0.00489337675035523
"75",2,75,4,16,0.013151545753604,4,29,"day",1,0.031954235,50,4,-0.00553594081387947,0.0186874865674835
"76",2,76,5,17,0.00252320983828102,5,29,"day",1,0.020905327,50,4,-0.00553594081387947,0.00805915065216049
"77",2,77,6,18,0.0174434479998267,6,29,"day",1,0.036425069,50,4,-0.00553594081387947,0.0229793888137062
"78",2,78,7,19,-0.000148873537766602,7,29,"day",1,0.018118556,50,4,-0.00553594081387947,0.00538706727611287
"79",2,79,8,20,0.00578833676797063,8,29,"day",1,0.024301493,50,4,-0.00553594081387947,0.0113242775818501
"80",2,80,9,21,0.00790948350589316,9,29,"day",1,0.026498306,50,4,-0.00553594081387947,0.0134454243197726
"81",2,81,10,22,0.0163357739968624,10,29,"day",1,0.035272412,50,4,-0.00553594081387947,0.0218717148107419
"82",2,82,11,23,-0.00436613842307205,11,29,"day",1,0.013725055,50,4,-0.00553594081387947,0.00116980239080742
"83",2,83,12,24,0.00194015113680139,12,29,"day",1,0.020292858,50,4,-0.00553594081387947,0.00747609195068086
"84",2,84,13,25,-0.0219411409072981,13,29,"night",1,-0.004543062,50,4,-0.00553594081387947,-0.0164052000934186
"85",2,85,14,26,-0.00951376133099761,14,29,"night",1,0.008385655,50,4,-0.00553594081387947,-0.00397782051711814
"86",2,86,15,27,-0.010937569438185,15,29,"night",1,0.006905897,50,4,-0.00553594081387947,-0.00540162862430553
"87",2,87,16,28,-0.00848647790182877,16,29,"night",1,0.0094538,50,4,-0.00553594081387947,-0.0029505370879493
"88",2,88,17,29,-0.00869153792342267,17,29,"night",1,0.00924023,50,4,-0.00553594081387947,-0.0031555971095432
"89",2,89,18,30,-0.00894360889149396,18,29,"night",1,0.008977869,50,4,-0.00553594081387947,-0.00340766807761449
"90",2,90,19,31,-0.0064746069905599,19,29,"night",1,0.011547432,50,4,-0.00553594081387947,-0.000938666176680429
"91",2,91,20,32,-0.0091990270270932,20,29,"night",1,0.00871139,50,4,-0.00553594081387947,-0.00366308621321373
"92",2,92,21,33,-0.00586108827656932,21,29,"night",1,0.012185777,50,4,-0.00553594081387947,-0.00032514746268985
"93",2,93,22,34,-0.0100189496305785,22,29,"night",1,0.007857846,50,4,-0.00553594081387947,-0.00448300881669903
"94",2,94,23,35,-0.00553594081387947,23,29,"night",1,0.012523513,50,4,-0.00553594081387947,0
"95",2,95,24,36,-0.0109140016064028,24,29,"night",1,0.006925984,50,4,-0.00553594081387947,-0.00537806079252333
"96",2,96,25,37,0.00645483710641657,25,29,"day",2,0.02499433,50,4,-0.00553594081387947,0.011990777920296
"97",2,97,26,38,-0.00422907599555317,26,29,"day",2,0.013876,50,4,-0.00553594081387947,0.0013068648183263
"98",2,98,27,39,0.00149963293704425,27,29,"day",2,0.019834495,50,4,-0.00553594081387947,0.00703557375092372
"99",2,99,28,40,-3.82980362850818e-05,28,29,"day",2,0.018234879,50,4,-0.00553594081387947,0.00549764277759439
"100",2,100,29,41,-0.00118618568906863,29,29,"day",2,0.017043607,50,4,-0.00553594081387947,0.00434975512481084
"101",2,101,30,42,0.00387671931395363,30,29,"day",2,0.022308191,50,4,-0.00553594081387947,0.0094126601278331
"102",2,102,31,43,-0.00360120715184475,31,29,"day",2,0.01452461,50,4,-0.00553594081387947,0.00193473366203472
"103",2,103,32,44,-0.00186237612157507,32,29,"day",2,0.016333305,50,4,-0.00553594081387947,0.0036735646923044
"104",2,104,33,45,0.00157304583392735,33,29,"day",2,0.019915007,50,4,-0.00553594081387947,0.00710898664780682
"105",2,105,34,46,-0.00246216509617187,34,29,"day",2,0.015709566,50,4,-0.00553594081387947,0.0030737757177076
"106",2,106,35,47,0.00074313916808318,35,29,"day",2,0.019052417,50,4,-0.00553594081387947,0.00627907998196265
"107",2,107,36,48,-0.00211572969395762,36,29,"day",2,0.016074667,50,4,-0.00553594081387947,0.00342021111992185
"108",2,108,37,49,-0.0128355717101559,37,29,"night",2,0.00493168,50,4,-0.00553594081387947,-0.00729963089627643
"109",2,109,38,50,-0.0206504851459023,38,29,"night",2,-0.00320004,50,4,-0.00553594081387947,-0.0151145443320228
"110",2,110,39,51,-0.0183703897650985,39,29,"night",2,-0.0008283,50,4,-0.00553594081387947,-0.012834448951219
"111",2,111,40,52,-0.0227381654858679,40,29,"night",2,-0.005373106,50,4,-0.00553594081387947,-0.0172022246719884
"112",2,112,41,53,-0.0235790376341554,41,29,"night",2,-0.006251918,50,4,-0.00553594081387947,-0.0180430968202759
"113",2,113,42,54,-0.0207980245806068,42,29,"night",2,-0.00335479,50,4,-0.00553594081387947,-0.0152620837667273
"114",2,114,43,55,-0.0229178604608077,43,29,"night",2,-0.005564407,50,4,-0.00553594081387947,-0.0173819196469282
"115",2,115,44,56,-0.018809228322943,44,29,"night",2,-0.001285354,50,4,-0.00553594081387947,-0.0132732875090635
"116",2,116,45,57,-0.0217584750162507,45,29,"night",2,-0.004357325,50,4,-0.00553594081387947,-0.0162225342023712
"117",2,117,46,58,-0.0188149958240773,46,29,"night",2,-0.001291243,50,4,-0.00553594081387947,-0.0132790550101978
"118",2,118,47,59,-0.0227134850369387,47,29,"night",2,-0.00534894,50,4,-0.00553594081387947,-0.0171775442230592
"119",2,119,48,60,-0.0183168289098298,48,29,"night",2,-0.000772538,50,4,-0.00553594081387947,-0.0127808880959503
"120",2,120,49,61,-0.00155817928069193,49,29,"day",3,0.016659108,50,4,-0.00553594081387947,0.00397776153318754
"121",2,121,50,62,0.0018068875005745,50,29,"day",3,0.020157279,50,4,-0.00553594081387947,0.00734282831445397
"122",2,122,51,63,-0.00191158754920008,51,29,"day",3,0.016281253,50,4,-0.00553594081387947,0.00362435326467939
"123",2,123,52,64,0.000745467040878489,52,29,"day",3,0.019048339,50,4,-0.00553594081387947,0.00628140785475796
"124",2,124,53,65,-0.00442810464998171,53,29,"day",3,0.013666388,50,4,-0.00553594081387947,0.00110783616389776
"125",2,125,54,66,0.00347246379202907,54,29,"day",3,0.021885592,50,4,-0.00553594081387947,0.00900840460590854
"126",2,126,55,67,-0.00236108153792648,55,29,"day",3,0.015819622,50,4,-0.00553594081387947,0.00317485927595299
"127",2,127,56,68,0.00124274370344759,56,29,"day",3,0.019569176,50,4,-0.00553594081387947,0.00677868451732706
"128",2,128,57,69,-0.00164901623885262,57,29,"day",3,0.016561536,50,4,-0.00553594081387947,0.00388692457502685
"129",2,129,58,70,-0.00101191748703198,58,29,"day",3,0.017218663,50,4,-0.00553594081387947,0.00452402332684749
"130",2,130,59,71,0.000457241203095961,59,29,"day",3,0.018751237,50,4,-0.00553594081387947,0.00599318201697543
"131",2,131,60,72,-0.00434112386948741,60,29,"day",3,0.013753788,50,4,-0.00553594081387947,0.00119481694439206
"132",2,132,61,73,-0.0260800434510827,61,29,"night",3,-0.008852218,50,4,-0.00553594081387947,-0.0205441026372032
"133",2,133,62,74,-0.0275966909544549,62,29,"night",3,-0.010431819,50,4,-0.00553594081387947,-0.0220607501405754
"134",2,134,63,75,-0.021411990628295,63,29,"night",3,-0.003992947,50,4,-0.00553594081387947,-0.0158760498144155
"135",2,135,64,76,-0.0275423476735791,64,29,"night",3,-0.010374353,50,4,-0.00553594081387947,-0.0220064068596996
"136",2,136,65,77,-0.0234269836132121,65,29,"night",3,-0.006090844,50,4,-0.00553594081387947,-0.0178910427993326
"137",2,137,66,78,-0.026124699958661,66,29,"night",3,-0.008898896,50,4,-0.00553594081387947,-0.0205887591447815
"138",2,138,67,79,-0.0252145003315028,67,29,"night",3,-0.007953099,50,4,-0.00553594081387947,-0.0196785595176233
"139",2,139,68,80,-0.0244853422037953,68,29,"night",3,-0.007192659,50,4,-0.00553594081387947,-0.0189494013899158
"140",2,140,69,81,-0.0231654623640178,69,29,"night",3,-0.005819364,50,4,-0.00553594081387947,-0.0176295215501383
"141",2,141,70,82,-0.020740215087338,70,29,"night",3,-0.003293015,50,4,-0.00553594081387947,-0.0152042742734585
"142",2,142,71,83,-0.0220942588647981,71,29,"night",3,-0.00470658,50,4,-0.00553594081387947,-0.0165583180509186
"143",3,143,1,13,0.00857937494822324,1,15,"day",1,0.021763355,50,4,-0.00773438633521033,0.0163137612834336
"144",3,144,2,14,0.00696511572813102,2,15,"day",1,0.02007683,50,4,-0.00773438633521033,0.0146995020633413
"145",3,145,3,15,0.00596957667946233,3,15,"day",1,0.019037082,50,4,-0.00773438633521033,0.0137039630146727
"146",3,146,4,16,0.0066476361081429,4,15,"day",1,0.019746489,50,4,-0.00773438633521033,0.0143820224433532
"147",3,147,5,17,0.00443777397891158,5,15,"day",1,0.017434104,50,4,-0.00773438633521033,0.0121721603141219
"148",3,148,6,18,7.51306651418188e-05,6,15,"day",1,0.01291006,50,4,-0.00773438633521033,0.00780951700035215
"149",3,149,7,19,-0.00180319789395976,7,15,"day",1,0.010951443,50,4,-0.00773438633521033,0.00593118844125057
"150",3,150,8,20,-0.00173815093434471,8,15,"day",1,0.011019514,50,4,-0.00773438633521033,0.00599623540086562
"151",3,151,9,21,-0.00102472327589386,9,15,"day",1,0.011758313,50,4,-0.00773438633521033,0.00670966305931647
"152",3,152,10,22,0.00388594715112393,10,15,"day",1,0.016869818,50,4,-0.00773438633521033,0.0116203334863343
"153",3,153,11,23,0.000370526159854835,11,15,"day",1,0.013211495,50,4,-0.00773438633521033,0.00810491249506516
"154",3,154,12,24,0.00148557496105002,12,15,"day",1,0.014373857,50,4,-0.00773438633521033,0.00921996129626035
"155",3,155,13,25,-0.0223864137635915,13,15,"night",1,-0.010457349,50,4,-0.00773438633521033,-0.0146520274283812
"156",3,156,14,26,-0.0268305260524701,14,15,"night",1,-0.015084784,50,4,-0.00773438633521033,-0.0190961397172598
"157",3,157,15,27,-0.0270054305547632,15,15,"night",1,-0.015264465,50,4,-0.00773438633521033,-0.0192710442195529
"158",3,158,16,28,-0.0288628269123287,16,15,"night",1,-0.017197625,50,4,-0.00773438633521033,-0.0211284405771184
"159",3,159,17,29,-0.0302541086406545,17,15,"night",1,-0.018644873,50,4,-0.00773438633521033,-0.0225197223054442
"160",3,160,18,30,-0.0272293171686551,18,15,"night",1,-0.015499532,50,4,-0.00773438633521033,-0.0194949308334448
"161",3,161,19,31,-0.0260937380994682,19,15,"night",1,-0.014316385,50,4,-0.00773438633521033,-0.0183593517642579
"162",3,162,20,32,-0.0285773868796047,20,15,"night",1,-0.016900685,50,4,-0.00773438633521033,-0.0208430005443944
"163",3,163,21,33,-0.0277204231034392,21,15,"night",1,-0.016007582,50,4,-0.00773438633521033,-0.0199860367682289
"164",3,164,22,34,-0.0277096481860059,22,15,"night",1,-0.015995646,50,4,-0.00773438633521033,-0.0199752618507956
"165",3,165,23,35,-0.026774323841259,23,15,"night",1,-0.015024796,50,4,-0.00773438633521033,-0.0190399375060487
"166",3,166,24,36,-0.0259678293557935,24,15,"night",1,-0.014186733,50,4,-0.00773438633521033,-0.0182334430205832
"167",3,167,25,37,-0.00829539541563901,25,15,"day",2,0.00420048,50,4,-0.00773438633521033,-0.00056100908042868
"168",3,168,26,38,-0.00333375815835918,26,15,"day",2,0.009362907,50,4,-0.00773438633521033,0.00440062817685115
"169",3,169,27,39,-0.00208275483129879,27,15,"day",2,0.010663847,50,4,-0.00773438633521033,0.00565163150391154
"170",3,170,28,40,-0.00187868534215587,28,15,"day",2,0.010877763,50,4,-0.00773438633521033,0.00585570099305446
"171",3,171,29,41,-0.00393421283266238,29,15,"day",2,0.008739028,50,4,-0.00773438633521033,0.00380017350254795
"172",3,172,30,42,-0.00624742614405836,30,15,"day",2,0.006323974,50,4,-0.00773438633521033,0.00148696019115197
"173",3,173,31,43,-0.00377342830517392,31,15,"day",2,0.008904529,50,4,-0.00773438633521033,0.00396095803003641
"174",3,174,32,44,-0.00177141433246224,32,15,"day",2,0.010987019,50,4,-0.00773438633521033,0.00596297200274809
"175",3,175,33,45,-0.00187210845922953,33,15,"day",2,0.010883177,50,4,-0.00773438633521033,0.0058622778759808
"176",3,176,34,46,-0.00118741046694056,34,15,"day",2,0.011592746,50,4,-0.00773438633521033,0.00654697586826977
"177",3,177,35,47,-0.0018095568666669,35,15,"day",2,0.0109472,50,4,-0.00773438633521033,0.00592482946854343
"178",3,178,36,48,-0.000600180080902187,36,15,"day",2,0.012205824,50,4,-0.00773438633521033,0.00713420625430814
"179",3,179,37,49,-0.0107975252965754,37,15,"night",2,0.001604714,50,4,-0.00773438633521033,-0.00306313896136507
"180",3,180,38,50,-0.010564718933338,38,15,"night",2,0.001846989,50,4,-0.00773438633521033,-0.00283033259812767
"181",3,181,39,51,-0.0190588271716914,39,15,"night",2,-0.007002494,50,4,-0.00773438633521033,-0.0113244408364811
"182",3,182,40,52,-0.02199826411237,40,15,"night",2,-0.010048397,50,4,-0.00773438633521033,-0.0142638777771597
"183",3,183,41,53,-0.0228034977285981,41,15,"night",2,-0.010887537,50,4,-0.00773438633521033,-0.0150691113933878
"184",3,184,42,54,-0.0218729725791599,42,15,"night",2,-0.009921271,50,4,-0.00773438633521033,-0.0141385862439496
"185",3,185,43,55,-0.0218783287073962,43,15,"night",2,-0.009927931,50,4,-0.00773438633521033,-0.0141439423721859
"186",3,186,44,56,-0.0196007205072684,44,15,"night",2,-0.007556376,50,4,-0.00773438633521033,-0.0118663341720581
"187",3,187,45,57,-0.0203748743253188,45,15,"night",2,-0.008363658,50,4,-0.00773438633521033,-0.0126404879901085
"188",3,188,46,58,-0.0192279765145984,46,15,"night",2,-0.007167674,50,4,-0.00773438633521033,-0.0114935901793881
"189",3,189,47,59,-0.0203914588172243,47,15,"night",2,-0.008379455,50,4,-0.00773438633521033,-0.012657072482014
"190",3,190,48,60,-0.0208545006759554,48,15,"night",2,-0.008861535,50,4,-0.00773438633521033,-0.0131201143407451
"191",3,191,49,61,0.00177463256866154,49,15,"day",3,0.014677712,50,4,-0.00773438633521033,0.00950901890387187
"192",3,192,50,62,-0.00180730710751584,50,15,"day",3,0.010950493,50,4,-0.00773438633521033,0.00592707922769449
"193",3,193,51,63,-0.00382071582220288,51,15,"day",3,0.008848347,50,4,-0.00773438633521033,0.00391367051300745
"194",3,194,52,64,-0.00138541504780605,52,15,"day",3,0.011389456,50,4,-0.00773438633521033,0.00634897128740428
"195",3,195,53,65,-0.00204076773960286,53,15,"day",3,0.01070688,50,4,-0.00773438633521033,0.00569361859560747
"196",3,196,54,66,-0.000787381854440759,54,15,"day",3,0.01201293,50,4,-0.00773438633521033,0.00694700448076957
"197",3,197,55,67,-0.0012875256910019,55,15,"day",3,0.011493642,50,4,-0.00773438633521033,0.00644686064420843
"198",3,198,56,68,-0.0138135567854586,56,15,"day",3,-0.001529129,50,4,-0.00773438633521033,-0.00607917045024827
"199",3,199,57,69,0.000828297732022401,57,15,"day",3,0.013695204,50,4,-0.00773438633521033,0.00856268406723273
"200",3,200,58,70,7.08851351638874e-05,58,15,"day",3,0.012901272,50,4,-0.00773438633521033,0.00780527147037422
"201",3,201,59,71,0.00321094211752911,59,15,"day",3,0.016171382,50,4,-0.00773438633521033,0.0109453284527394
"202",3,202,60,72,-0.00293491155070346,60,15,"day",3,0.009773482,50,4,-0.00773438633521033,0.00479947478450687
"203",3,203,61,73,-0.00860351158517055,61,15,"night",3,0.00388879,50,4,-0.00773438633521033,-0.00086912524996022
"204",3,204,62,74,-0.00773438633521033,62,15,"night",3,0.004790276,50,4,-0.00773438633521033,0
"205",3,205,63,75,-0.0100832319942485,63,15,"night",3,0.002351137,50,4,-0.00773438633521033,-0.00234884565903817
"206",3,206,64,76,-0.0120432741368601,64,15,"night",3,0.000311552,50,4,-0.00773438633521033,-0.00430888780164977
"207",3,207,65,77,-0.0107097163200383,65,15,"night",3,0.001699004,50,4,-0.00773438633521033,-0.00297532998482797
"208",3,208,66,78,-0.0119567553802623,66,15,"night",3,0.000402342,50,4,-0.00773438633521033,-0.00422236904505197
"209",3,209,67,79,-0.0108359526690565,67,15,"night",3,0.001565984,50,4,-0.00773438633521033,-0.00310156633384617
"210",3,210,68,80,-0.0109409254630705,68,15,"night",3,0.001457358,50,4,-0.00773438633521033,-0.00320653912786017
"211",3,211,69,81,-0.00984133298738823,69,15,"night",3,0.002599193,50,4,-0.00773438633521033,-0.0021069466521779
"212",3,212,70,82,-0.00887746863160221,70,15,"night",3,0.003604948,50,4,-0.00773438633521033,-0.00114308229639188
"213",3,213,71,83,-0.0100186613348212,71,15,"night",3,0.002413631,50,4,-0.00773438633521033,-0.00228427499961087
"214",4,214,1,13,0.00437552651324743,1,0,"day",1,0.017412585,50,4,0.000942908674682347,0.00343261783856508
"215",4,215,2,14,0.00127683502858571,2,0,"day",1,0.014191682,50,4,0.000942908674682347,0.000333926353903363
"216",4,216,3,15,-0.000512374318753838,3,0,"day",1,0.01233111,50,4,0.000942908674682347,-0.00145528299343618
"217",4,217,4,16,0.000102062988142822,4,0,"day",1,0.012971712,50,4,0.000942908674682347,-0.000840845686539525
"218",4,218,5,17,-0.000619128427380848,5,0,"day",1,0.0122191,50,4,0.000942908674682347,-0.0015620371020632
"219",4,219,6,18,0.000870783610889376,6,0,"day",1,0.013771107,50,4,0.000942908674682347,-7.2125063792971e-05
"220",4,220,7,19,-0.000318604562035804,7,0,"day",1,0.012529639,50,4,0.000942908674682347,-0.00126151323671815
"221",4,221,8,20,-0.000459510335130341,8,0,"day",1,0.012385276,50,4,0.000942908674682347,-0.00140241900981269
"222",4,222,9,21,0.01426592715099,9,0,"day",1,0.027682574,50,4,0.000942908674682347,0.0133230184763077
"223",4,223,10,22,0.0029470627837262,10,0,"day",1,0.015922686,50,4,0.000942908674682347,0.00200415410904385
"224",4,224,11,23,0.000759686906169854,11,0,"day",1,0.013650121,50,4,0.000942908674682347,-0.000183221768512493
"225",4,225,12,24,0.0021662679746576,12,0,"day",1,0.015113525,50,4,0.000942908674682347,0.00122335929997525
"226",4,226,13,25,-0.0287196223082285,13,0,"night",1,-0.016965037,50,4,0.000942908674682347,-0.0296625309829108
"227",4,227,14,26,-0.0247354646555466,14,0,"night",1,-0.012823275,50,4,0.000942908674682347,-0.0256783733302289
"228",4,228,15,27,-0.0244129493467722,15,0,"night",1,-0.012486375,50,4,0.000942908674682347,-0.0253558580214545
"229",4,229,16,28,-0.0262205982907025,16,0,"night",1,-0.01436854,50,4,0.000942908674682347,-0.0271635069653848
"230",4,230,17,29,-0.0237146897487513,17,0,"night",1,-0.011764416,50,4,0.000942908674682347,-0.0246575984234336
"231",4,231,18,30,-0.0245219644605932,18,0,"night",1,-0.012604358,50,4,0.000942908674682347,-0.0254648731352755
"232",4,232,19,31,-0.0233679509251178,19,0,"night",1,-0.011406079,50,4,0.000942908674682347,-0.0243108595998001
