"","Chamber","X.1","X","AutoResp.Cycle.Loop","MO2.no.Background.Correction","NA.","Hour","Treatment","Time.of.Day","Day","MO2","Genotype","Trial","Max.Dark.MO2","MO2.from.Dark.Max"
"21",1,21,21,34,-0.0300970299973051,1,21,50,"night",1,-0.02835863,97,3,0.00830389560845484,-0.0384009256057599
"22",1,22,22,35,-0.0252573319293388,1,22,50,"night",1,-0.023337484,97,3,0.00830389560845484,-0.0335612275377936
"23",1,23,23,36,-0.0244969566049569,1,23,50,"night",1,-0.022533234,97,3,0.00830389560845484,-0.0328008522134117
"24",1,24,24,37,-0.0198153892013889,1,24,50,"night",1,-0.017673013,97,3,0.00830389560845484,-0.0281192848098437
"25",1,25,25,38,-0.0107017484730335,1,25,50,"day",2,-0.008188918,97,3,0.00830389560845484,-0.0190056440814883
"26",1,26,26,39,-0.0107721210149191,1,26,50,"day",2,-0.008269585,97,3,0.00830389560845484,-0.0190760166233739
"27",1,27,27,40,-0.0012674503945649,1,27,50,"day",2,0.001633826,97,3,0.00830389560845484,-0.00957134600301974
"28",1,28,28,41,-0.00984518360578088,1,28,50,"day",2,-0.007317655,97,3,0.00830389560845484,-0.0181490792142357
"29",1,29,29,42,-0.00910944004669012,1,29,50,"day",2,-0.006550029,97,3,0.00830389560845484,-0.017413335655145
"30",1,30,30,43,-0.0130340851881048,1,30,50,"day",2,-0.010635491,97,3,0.00830389560845484,-0.0213379807965596
"31",1,31,31,44,-0.014097279502741,1,31,50,"day",2,-0.011724138,97,3,0.00830389560845484,-0.0224011751111958
"32",1,32,32,45,-0.0135827812775755,1,32,50,"day",2,-0.011211346,97,3,0.00830389560845484,-0.0218866768860303
"33",1,33,33,46,-0.0123874174822408,1,33,50,"day",2,-0.009962497,97,3,0.00830389560845484,-0.0206913130906956
"34",1,34,34,47,-0.0111093443589838,1,34,50,"day",2,-0.008625046,97,3,0.00830389560845484,-0.0194132399674386
"35",1,35,35,48,-0.0136731961889727,1,35,50,"day",2,-0.011291616,97,3,0.00830389560845484,-0.0219770917974275
"36",1,36,36,49,-0.00687021549407865,1,36,50,"day",2,-0.004201568,97,3,0.00830389560845484,-0.0151741111025335
"37",1,37,37,50,-0.0212241454201599,1,37,50,"night",2,-0.019121277,97,3,0.00830389560845484,-0.0295280410286147
"38",1,38,38,51,-0.017807487402854,1,38,50,"night",2,-0.015569587,97,3,0.00830389560845484,-0.0261113830113088
"39",1,39,39,52,-0.039309943544505,1,39,50,"night",2,-0.037931144,97,3,0.00830389560845484,-0.0476138391529598
"40",1,40,40,53,-0.0108853631528869,1,40,50,"night",2,-0.008346018,97,3,0.00830389560845484,-0.0191892587613417
"41",1,41,41,54,-0.00843243784924204,1,41,50,"night",2,-0.005808434,97,3,0.00830389560845484,-0.0167363334576969
"42",1,42,42,55,-0.0116506749458717,1,42,50,"night",2,-0.009141159,97,3,0.00830389560845484,-0.0199545705543265
"43",1,43,43,56,0.00830389560845484,1,43,50,"night",2,0.011563209,97,3,0.00830389560845484,0
"44",1,44,44,57,-0.0121143665337484,1,44,50,"night",2,-0.009642606,97,3,0.00830389560845484,-0.0204182621422032
"45",1,45,45,58,-0.00858102870676836,1,45,50,"night",2,-0.00598143,97,3,0.00830389560845484,-0.0168849243152232
"46",1,46,46,59,-0.011650255823064,1,46,50,"night",2,-0.009167187,97,3,0.00830389560845484,-0.0199541514315188
"47",1,47,47,60,-0.00889115223741591,1,47,50,"night",2,-0.006301334,97,3,0.00830389560845484,-0.0171950478458707
"48",1,48,48,61,-0.0125089458442288,1,48,50,"night",2,-0.010063169,97,3,0.00830389560845484,-0.0208128414526836
"49",1,49,49,62,-0.00859486532401044,1,49,50,"day",3,-0.00599001,97,3,0.00830389560845484,-0.0168987609324653
"50",1,50,50,63,-0.00621558540643055,1,50,50,"day",3,-0.003533865,97,3,0.00830389560845484,-0.0145194810148854
"51",1,51,51,64,-0.00630427022868895,1,51,50,"day",3,-0.003625345,97,3,0.00830389560845484,-0.0146081658371438
"52",1,52,52,65,-0.00715334386272242,1,52,50,"day",3,-0.004513694,97,3,0.00830389560845484,-0.0154572394711773
"53",1,53,53,66,-0.00712483380997004,1,53,50,"day",3,-0.004484333,97,3,0.00830389560845484,-0.0154287294184249
"54",1,54,54,67,-0.00608864938590188,1,54,50,"day",3,-0.003400157,97,3,0.00830389560845484,-0.0143925449943567
"55",1,55,55,68,-0.011097691396187,1,55,50,"day",3,-0.008623877,97,3,0.00830389560845484,-0.0194015870046418
"56",1,56,56,69,-0.0133571634425272,1,56,50,"day",3,-0.010964465,97,3,0.00830389560845484,-0.021661059050982
"57",1,57,57,70,-0.0259919539455011,1,57,50,"day",3,-0.024152927,97,3,0.00830389560845484,-0.0342958495539559
"58",1,58,58,71,-0.0133526798565869,1,58,50,"day",3,-0.01096807,97,3,0.00830389560845484,-0.0216565754650417
"59",1,59,59,72,-0.0166909681146861,1,59,50,"day",3,-0.01444028,97,3,0.00830389560845484,-0.0249948637231409
"60",1,60,60,73,-0.00902293625173136,1,60,50,"day",3,-0.006444553,97,3,0.00830389560845484,-0.0173268318601862
"61",1,61,61,74,-0.0201868337644625,1,61,50,"night",3,-0.018052912,97,3,0.00830389560845484,-0.0284907293729173
"62",1,62,62,75,-0.0191147862588292,1,62,50,"night",3,-0.016927025,97,3,0.00830389560845484,-0.027418681867284
"63",1,63,63,76,-0.0192433594668361,1,63,50,"night",3,-0.017061518,97,3,0.00830389560845484,-0.0275472550752909
"64",1,64,64,77,-0.0148227022480195,1,64,50,"night",3,-0.012459636,97,3,0.00830389560845484,-0.0231265978564743
"65",1,65,65,78,-0.0188438171473763,1,65,50,"night",3,-0.016647302,97,3,0.00830389560845484,-0.0271477127558311
"66",1,66,66,79,-0.018330637397627,1,66,50,"night",3,-0.016112888,97,3,0.00830389560845484,-0.0266345330060818
"67",1,67,67,80,-0.0158273614009118,1,67,50,"night",3,-0.013517158,97,3,0.00830389560845484,-0.0241312570093666
"68",1,68,68,81,-0.0176994340842683,1,68,50,"night",3,-0.015453284,97,3,0.00830389560845484,-0.0260033296927231
"69",1,69,69,82,-0.0192935110139971,1,69,50,"night",3,-0.017119635,97,3,0.00830389560845484,-0.0275974066224519
"70",1,70,70,83,-0.0177432421919081,1,70,50,"night",3,-0.015497421,97,3,0.00830389560845484,-0.0260471378003629
"71",1,71,71,84,-0.0189957080100439,1,71,50,"night",3,-0.016809429,97,3,0.00830389560845484,-0.0272996036184987
"72",1,72,72,85,-0.0141004269679489,1,72,50,"night",3,-0.01171086,97,3,0.00830389560845484,-0.0224043225764037
"73",2,73,1,14,0.00162397377240905,2,1,29,"day",1,0.003083011,97,3,-0.00455838511314008,0.00618235888554913
"74",2,74,2,15,0.000186700905088508,2,2,29,"day",1,0.001594352,97,3,-0.00455838511314008,0.00474508601822859
"75",2,75,3,16,-0.00134689803058817,2,3,29,"day",1,-4.3e-06,97,3,-0.00455838511314008,0.00321148708255191
"76",2,76,4,17,-0.000608644267078534,2,4,29,"day",1,0.000777367,97,3,-0.00455838511314008,0.00394974084606155
"77",2,77,5,18,0.000201008399699711,2,5,29,"day",1,0.001607977,97,3,-0.00455838511314008,0.00475939351283979
"78",2,78,6,19,-0.000198835100432737,2,6,29,"day",1,0.001198663,97,3,-0.00455838511314008,0.00435955001270734
"79",2,79,7,20,-0.000427660337475366,2,7,29,"day",1,0.000953348,97,3,-0.00455838511314008,0.00413072477566471
"80",2,80,8,21,-0.00182408684469564,2,8,29,"day",1,-0.000490169,97,3,-0.00455838511314008,0.00273429826844444
"81",2,81,9,22,-0.00197312970633272,2,9,29,"day",1,-0.000648346,97,3,-0.00455838511314008,0.00258525540680736
"82",2,82,10,23,-0.0131177807578599,2,10,29,"day",1,-0.012253415,97,3,-0.00455838511314008,-0.00855939564471982
"83",2,83,11,24,0.00488105122366826,2,11,29,"day",1,0.006482939,97,3,-0.00455838511314008,0.00943943633680834
"84",2,84,12,25,-0.0012778266201811,2,12,29,"day",1,6.97817e-05,97,3,-0.00455838511314008,0.00328055849295898
"85",2,85,13,26,-0.0138005879789981,2,13,29,"night",1,-0.012933406,97,3,-0.00455838511314008,-0.00924220286585802
"86",2,86,14,27,-0.0103950980450529,2,14,29,"night",1,-0.009398521,97,3,-0.00455838511314008,-0.00583671293191282
"87",2,87,15,28,-0.00872276667285454,2,15,29,"night",1,-0.007647263,97,3,-0.00455838511314008,-0.00416438155971446
"88",2,88,16,29,-0.00803974097082731,2,16,29,"night",1,-0.006946086,97,3,-0.00455838511314008,-0.00348135585768723
"89",2,89,17,30,-0.00455838511314008,2,17,29,"night",1,-0.003319007,97,3,-0.00455838511314008,0
"90",2,90,18,31,-0.00898594116427696,2,18,29,"night",1,-0.007934613,97,3,-0.00455838511314008,-0.00442755605113688
"91",2,91,19,32,-0.00566513352428465,2,19,29,"night",1,-0.004473591,97,3,-0.00455838511314008,-0.00110674841114457
"92",2,92,20,33,-0.00814154216117086,2,20,29,"night",1,-0.007056562,97,3,-0.00455838511314008,-0.00358315704803078
"93",2,93,21,34,-0.00582078831021463,2,21,29,"night",1,-0.004635448,97,3,-0.00455838511314008,-0.00126240319707455
"94",2,94,22,35,-0.00730539272988797,2,22,29,"night",1,-0.006187409,97,3,-0.00455838511314008,-0.00274700761674789
"95",2,95,23,36,-0.00590041078769596,2,23,29,"night",1,-0.004715845,97,3,-0.00455838511314008,-0.00134202567455588
"96",2,96,24,37,-0.00756039256298954,2,24,29,"night",1,-0.006456502,97,3,-0.00455838511314008,-0.00300200744984946
"97",2,97,25,38,-0.00398278237015893,2,25,29,"day",2,-0.002730385,97,3,-0.00455838511314008,0.000575602742981149
"98",2,98,26,39,-0.000186749846221108,2,26,29,"day",2,0.00120869,97,3,-0.00455838511314008,0.00437163526691897
"99",2,99,27,40,-0.0043379085669662,2,27,29,"day",2,-0.003105129,97,3,-0.00455838511314008,0.000220476546173879
"100",2,100,28,41,-2.9190874152819e-05,2,28,29,"day",2,0.001370045,97,3,-0.00455838511314008,0.00452919423898726
"101",2,101,29,42,-0.00294092540799854,2,29,29,"day",2,-0.001654739,97,3,-0.00455838511314008,0.00161745970514154
"102",2,102,30,43,-0.00280998594449269,2,30,29,"day",2,-0.00151654,97,3,-0.00455838511314008,0.00174839916864739
"103",2,103,31,44,-0.00330524191151912,2,31,29,"day",2,-0.002022713,97,3,-0.00455838511314008,0.00125314320162096
"104",2,104,32,45,-0.00390995019086597,2,32,29,"day",2,-0.002667177,97,3,-0.00455838511314008,0.000648434922274109
"105",2,105,33,46,-0.010703344972207,2,33,29,"day",2,-0.009736293,97,3,-0.00455838511314008,-0.00614495985906692
"106",2,106,34,47,-0.00753400498844807,2,34,29,"day",2,-0.006428993,97,3,-0.00455838511314008,-0.00297561987530799
"107",2,107,35,48,-0.00968890397938172,2,35,29,"day",2,-0.008670044,97,3,-0.00455838511314008,-0.00513051886624164
"108",2,108,36,49,-0.00354278450068939,2,36,29,"day",2,-0.002260702,97,3,-0.00455838511314008,0.00101560061245069
"109",2,109,37,50,-0.0125280935696687,2,37,29,"night",2,-0.011602407,97,3,-0.00455838511314008,-0.00796970845652862
"110",2,110,38,51,-0.0304464737247035,2,38,29,"night",2,-0.030263538,97,3,-0.00455838511314008,-0.0258880886115634
"111",2,111,39,52,-0.0222336153478103,2,39,29,"night",2,-0.021698293,97,3,-0.00455838511314008,-0.0176752302346702
"112",2,112,40,53,-0.0215521672211664,2,40,29,"night",2,-0.020988555,97,3,-0.00455838511314008,-0.0169937821080263
"113",2,113,41,54,-0.0217516683399926,2,41,29,"night",2,-0.021195394,97,3,-0.00455838511314008,-0.0171932832268525
"114",2,114,42,55,-0.0231617256719825,2,42,29,"night",2,-0.022668148,97,3,-0.00455838511314008,-0.0186033405588424
"115",2,115,43,56,-0.0191990210039201,2,43,29,"night",2,-0.018539491,97,3,-0.00455838511314008,-0.01464063589078
"116",2,116,44,57,-0.0217455828294493,2,44,29,"night",2,-0.021184976,97,3,-0.00455838511314008,-0.0171871977163092
"117",2,117,45,58,-0.0186780815180266,2,45,29,"night",2,-0.018008967,97,3,-0.00455838511314008,-0.0141196964048865
"118",2,118,46,59,-0.0192459525716788,2,46,29,"night",2,-0.018590035,97,3,-0.00455838511314008,-0.0146875674585387
"119",2,119,47,60,-0.0191389320455454,2,47,29,"night",2,-0.018486388,97,3,-0.00455838511314008,-0.0145805469324053
"120",2,120,48,61,-0.0194326602916751,2,48,29,"night",2,-0.01878483,97,3,-0.00455838511314008,-0.014874275178535
"121",2,121,49,62,-0.0129267357782782,2,49,29,"day",3,-0.012049029,97,3,-0.00455838511314008,-0.00836835066513812
"122",2,122,50,63,-0.0160935219890038,2,50,29,"day",3,-0.015335222,97,3,-0.00455838511314008,-0.0115351368758637
"123",2,123,51,64,-0.01460881236735,2,51,29,"day",3,-0.013785023,97,3,-0.00455838511314008,-0.0100504272542099
"124",2,124,52,65,-0.0168247950912405,2,52,29,"day",3,-0.01609898,97,3,-0.00455838511314008,-0.0122664099781004
"125",2,125,53,66,-0.00735579513007531,2,53,29,"day",3,-0.006237979,97,3,-0.00455838511314008,-0.00279741001693523
"126",2,126,54,67,-0.0088004197682477,2,54,29,"day",3,-0.007744119,97,3,-0.00455838511314008,-0.00424203465510762
"127",2,127,55,68,-0.0133986486423816,2,55,29,"day",3,-0.012533624,97,3,-0.00455838511314008,-0.00884026352924152
"128",2,128,56,69,-0.0228258581011025,2,56,29,"day",3,-0.02233296,97,3,-0.00455838511314008,-0.0182674729879624
"129",2,129,57,70,-0.00777358674940829,2,57,29,"day",3,-0.006675438,97,3,-0.00455838511314008,-0.00321520163626821
"130",2,130,58,71,-0.0150658991476163,2,58,29,"day",3,-0.014270206,97,3,-0.00455838511314008,-0.0105075140344762
"131",2,131,59,72,-0.0105589509881146,2,59,29,"day",3,-0.009575212,97,3,-0.00455838511314008,-0.00600056587497452
"132",2,132,60,73,-0.0132300418217178,2,60,29,"day",3,-0.012346452,97,3,-0.00455838511314008,-0.00867165670857772
"133",2,133,61,74,-0.0247725199179465,2,61,29,"night",3,-0.024341016,97,3,-0.00455838511314008,-0.0202141348048064
"134",2,134,62,75,-0.0262326393590718,2,62,29,"night",3,-0.025855257,97,3,-0.00455838511314008,-0.0216742542459317
"135",2,135,63,76,-0.0252732183711253,2,63,29,"night",3,-0.024867697,97,3,-0.00455838511314008,-0.0207148332579852
"136",2,136,64,77,-0.0234668120216853,2,64,29,"night",3,-0.022979169,97,3,-0.00455838511314008,-0.0189084269085452
"137",2,137,65,78,-0.0235179185027869,2,65,29,"night",3,-0.02303629,97,3,-0.00455838511314008,-0.0189595333896468
"138",2,138,66,79,-0.0221306882085335,2,66,29,"night",3,-0.021587052,97,3,-0.00455838511314008,-0.0175723030953934
"139",2,139,67,80,-0.0218142693742618,2,67,29,"night",3,-0.021268593,97,3,-0.00455838511314008,-0.0172558842611217
"140",2,140,68,81,-0.0221794398109424,2,68,29,"night",3,-0.021639773,97,3,-0.00455838511314008,-0.0176210546978023
"141",2,141,69,82,-0.0232775196596494,2,69,29,"night",3,-0.022788329,97,3,-0.00455838511314008,-0.0187191345465093
"142",2,142,70,83,-0.021596239708033,2,70,29,"night",3,-0.021035296,97,3,-0.00455838511314008,-0.0170378545948929
"143",2,143,71,84,-0.0229986995034118,2,71,29,"night",3,-0.022502537,97,3,-0.00455838511314008,-0.0184403143902717
"144",2,144,72,85,-0.021094704863771,2,72,29,"night",3,-0.020515294,97,3,-0.00455838511314008,-0.0165363197506309
"145",3,145,1,14,-0.00663935652779305,3,1,15,"day",1,0.003616323,97,3,-0.0105365446367633,0.00389718810897025
"146",3,146,2,15,-0.0060276541068553,3,2,15,"day",1,0.004256422,97,3,-0.0105365446367633,0.004508890529908
"147",3,147,3,16,-0.0105852883876789,3,3,15,"day",1,-0.000498831,97,3,-0.0105365446367633,-4.87437509155992e-05
"148",3,148,4,17,-0.00687531281677418,3,4,15,"day",1,0.00339485,97,3,-0.0105365446367633,0.00366123181998912
"149",3,149,5,18,-0.0194886573650757,3,5,15,"day",1,-0.009761649,97,3,-0.0105365446367633,-0.0089521127283124
"150",3,150,6,19,-0.0152631086397771,3,6,15,"day",1,-0.005344109,97,3,-0.0105365446367633,-0.0047265640030138
"151",3,151,7,20,-0.0167670982951262,3,7,15,"day",1,-0.006916505,97,3,-0.0105365446367633,-0.0062305536583629
"152",3,152,8,21,-0.0188526005317613,3,8,15,"day",1,-0.009084272,97,3,-0.0105365446367633,-0.008316055894998
"153",3,153,9,22,-0.0142268425597944,3,9,15,"day",1,-0.004266336,97,3,-0.0105365446367633,-0.0036902979230311
"154",3,154,10,23,-0.0192988103299633,3,10,15,"day",1,-0.009553407,97,3,-0.0105365446367633,-0.0087622656932
"155",3,155,11,24,-0.0192726307051497,3,11,15,"day",1,-0.009525289,97,3,-0.0105365446367633,-0.0087360860683864
"156",3,156,12,25,-0.0111009301123449,3,12,15,"day",1,-0.001023244,97,3,-0.0105365446367633,-0.000564385475581599
"157",3,157,13,26,-0.0398020881797658,3,13,15,"night",1,-0.030855567,97,3,-0.0105365446367633,-0.0292655435430025
"158",3,158,14,27,-0.034129050071576,3,14,15,"night",1,-0.024958043,97,3,-0.0105365446367633,-0.0235925054348127
"159",3,159,15,28,-0.0266250280466483,3,15,15,"night",1,-0.017139211,97,3,-0.0105365446367633,-0.016088483409885
"160",3,160,16,29,-0.0220226405327923,3,16,15,"night",1,-0.012354343,97,3,-0.0105365446367633,-0.011486095896029
"161",3,161,17,30,-0.0248105698374212,3,17,15,"night",1,-0.015251383,97,3,-0.0105365446367633,-0.0142740252006579
"162",3,162,18,31,-0.0296488064919242,3,18,15,"night",1,-0.020287965,97,3,-0.0105365446367633,-0.0191122618551609
"163",3,163,19,32,-0.0236595148298978,3,19,15,"night",1,-0.014048896,97,3,-0.0105365446367633,-0.0131229701931345
"164",3,164,20,33,-0.0240200851368768,3,20,15,"night",1,-0.014434564,97,3,-0.0105365446367633,-0.0134835405001135
"165",3,165,21,34,-0.025112928723143,3,21,15,"night",1,-0.015557916,97,3,-0.0105365446367633,-0.0145763840863797
"166",3,166,22,35,-0.0253743389575544,3,22,15,"night",1,-0.015841777,97,3,-0.0105365446367633,-0.0148377943207911
"167",3,167,23,36,-0.0242213561347109,3,23,15,"night",1,-0.014640234,97,3,-0.0105365446367633,-0.0136848114979476
"168",3,168,24,37,-0.0255891283222833,3,24,15,"night",1,-0.01606956,97,3,-0.0105365446367633,-0.01505258368552
"169",3,169,25,38,-0.0149066121839576,3,25,15,"day",2,-0.004963534,97,3,-0.0105365446367633,-0.0043700675471943
"170",3,170,26,39,-0.010287468465466,3,26,15,"day",2,-0.000183264,97,3,-0.0105365446367633,0.0002490761712973
"171",3,171,27,40,-0.0166066257156041,3,27,15,"day",2,-0.006747948,97,3,-0.0105365446367633,-0.0060700810788408
"172",3,172,28,41,-0.0133378202804316,3,28,15,"day",2,-0.003347751,97,3,-0.0105365446367633,-0.0028012756436683
"173",3,173,29,42,-0.0146132938903905,3,29,15,"day",2,-0.004671121,97,3,-0.0105365446367633,-0.0040767492536272
"174",3,174,30,43,-0.0130128720549507,3,30,15,"day",2,-0.003010068,97,3,-0.0105365446367633,-0.0024763274181874
"175",3,175,31,44,-0.0136202035386836,3,31,15,"day",2,-0.003631111,97,3,-0.0105365446367633,-0.0030836589019203
"176",3,176,32,45,-0.0126459518299809,3,32,15,"day",2,-0.002633109,97,3,-0.0105365446367633,-0.0021094071932176
"177",3,177,33,46,-0.0183196404816295,3,33,15,"day",2,-0.008575193,97,3,-0.0105365446367633,-0.0077830958448662
"178",3,178,34,47,-0.0179904102466221,3,34,15,"day",2,-0.008196778,97,3,-0.0105365446367633,-0.0074538656098588
"179",3,179,35,48,-0.0186794814573242,3,35,15,"day",2,-0.008902725,97,3,-0.0105365446367633,-0.0081429368205609
"180",3,180,36,49,-0.0146522285570539,3,36,15,"day",2,-0.004716404,97,3,-0.0105365446367633,-0.0041156839202906
"181",3,181,37,50,-0.064077637440093,3,37,15,"night",2,-0.056149361,97,3,-0.0105365446367633,-0.0535410928033297
"182",3,182,38,51,-0.0560675905448903,3,38,15,"night",2,-0.04780279,97,3,-0.0105365446367633,-0.045531045908127
"183",3,183,39,52,-0.0527725472875862,3,39,15,"night",2,-0.044347274,97,3,-0.0105365446367633,-0.0422360026508229
"184",3,184,40,53,-0.0572686508797849,3,40,15,"night",2,-0.049044479,97,3,-0.0105365446367633,-0.0467321062430216
"185",3,185,41,54,-0.0536430148786851,3,41,15,"night",2,-0.045248643,97,3,-0.0105365446367633,-0.0431064702419218
"186",3,186,42,55,-0.050992527477677,3,42,15,"night",2,-0.042509582,97,3,-0.0105365446367633,-0.0404559828409137
"187",3,187,43,56,-0.0537907874668262,3,43,15,"night",2,-0.045419658,97,3,-0.0105365446367633,-0.0432542428300629
"188",3,188,44,57,-0.0473831275183951,3,44,15,"night",2,-0.038748395,97,3,-0.0105365446367633,-0.0368465828816318
"189",3,189,45,58,-0.054782501246041,3,45,15,"night",2,-0.046476134,97,3,-0.0105365446367633,-0.0442459566092777
"190",3,190,46,59,-0.0544487170514202,3,46,15,"night",2,-0.046118945,97,3,-0.0105365446367633,-0.0439121724146569
"191",3,191,47,60,-0.0553679011595756,3,47,15,"night",2,-0.047083563,97,3,-0.0105365446367633,-0.0448313565228123
"192",3,192,48,61,-0.054447541022692,3,48,15,"night",2,-0.046120598,97,3,-0.0105365446367633,-0.0439109963859287
"193",3,193,49,62,-0.0217540707072797,3,49,15,"day",3,-0.012148941,97,3,-0.0105365446367633,-0.0112175260705164
"194",3,194,50,63,-0.0297780248191523,3,50,15,"day",3,-0.020465886,97,3,-0.0105365446367633,-0.019241480182389
"195",3,195,51,64,-0.0258238643323723,3,51,15,"day",3,-0.016351344,97,3,-0.0105365446367633,-0.015287319695609
"196",3,196,52,65,-0.0257122087748885,3,52,15,"day",3,-0.016248643,97,3,-0.0105365446367633,-0.0151756641381252
"197",3,197,53,66,-0.00715078123900388,3,53,15,"day",3,0.00307661,97,3,-0.0105365446367633,0.00338576339775942
"198",3,198,54,67,-0.00287304525308404,3,54,15,"day",3,0.0075261,97,3,-0.0105365446367633,0.00766349938367926
"199",3,199,55,68,-0.00633738435509573,3,55,15,"day",3,0.003902197,97,3,-0.0105365446367633,0.00419916028166757
"200",3,200,56,69,-0.0103010920770443,3,56,15,"day",3,-0.000197539,97,3,-0.0105365446367633,0.000235452559719001
"201",3,201,57,70,-0.00680081512063238,3,57,15,"day",3,0.003400706,97,3,-0.0105365446367633,0.00373572951613092
"202",3,202,58,71,-0.0253172782736664,3,58,15,"day",3,-0.015847441,97,3,-0.0105365446367633,-0.0147807336369031
"203",3,203,59,72,-0.0268315056843057,3,59,15,"day",3,-0.017408976,97,3,-0.0105365446367633,-0.0162949610475424
"204",3,204,60,73,-0.0226258862772622,3,60,15,"day",3,-0.013009319,97,3,-0.0105365446367633,-0.0120893416404989
"205",3,205,61,74,-0.0575859863287695,3,61,15,"night",3,-0.049389443,97,3,-0.0105365446367633,-0.0470494416920062
"206",3,206,62,75,-0.0108932269510438,3,62,15,"night",3,-0.000781358,97,3,-0.0105365446367633,-0.0003566823142805
"207",3,207,63,76,-0.0112811048540994,3,63,15,"night",3,-0.001182633,97,3,-0.0105365446367633,-0.0007445602173361
"208",3,208,64,77,-0.0122816817974624,3,64,15,"night",3,-0.002229665,97,3,-0.0105365446367633,-0.0017451371606991
"209",3,209,65,78,-0.0117956682966689,3,65,15,"night",3,-0.001724072,97,3,-0.0105365446367633,-0.0012591236599056
"210",3,210,66,79,-0.0122274918575469,3,66,15,"night",3,-0.002172059,97,3,-0.0105365446367633,-0.0016909472207836
"211",3,211,67,80,-0.0120871693420505,3,67,15,"night",3,-0.002028383,97,3,-0.0105365446367633,-0.0015506247052872
"212",3,212,68,81,-0.0123462032765986,3,68,15,"night",3,-0.00229255,97,3,-0.0105365446367633,-0.0018096586398353
"213",3,213,69,82,-0.0116978625743866,3,69,15,"night",3,-0.001622778,97,3,-0.0105365446367633,-0.0011613179376233
"214",3,214,70,83,-0.0110474612286616,3,70,15,"night",3,-0.000943387,97,3,-0.0105365446367633,-0.0005109165918983
"215",3,215,71,84,-0.0105365446367633,3,71,15,"night",3,-0.000411079,97,3,-0.0105365446367633,0
"216",3,216,72,85,-0.0119608407564518,3,72,15,"night",3,-0.001889952,97,3,-0.0105365446367633,-0.0014242961196885
"217",4,217,1,14,0.00824209403032219,4,1,0,"day",1,0.008942046,97,3,-0.0062173289393574,0.0144594229696796
"218",4,218,2,15,0.0090713785885155,4,2,0,"day",1,0.009807181,97,3,-0.0062173289393574,0.0152887075278729
"219",4,219,3,16,0.0101806161743391,4,3,0,"day",1,0.010954085,97,3,-0.0062173289393574,0.0163979451136965
"220",4,220,4,17,0.00842289839554861,4,4,0,"day",1,0.009132163,97,3,-0.0062173289393574,0.014640227334906
"221",4,221,5,18,0.0147749367529649,4,5,0,"day",1,0.015726676,97,3,-0.0062173289393574,0.0209922656923223
"222",4,222,6,19,0.0127282693248054,4,6,0,"day",1,0.013607313,97,3,-0.0062173289393574,0.0189455982641628
